,questions,answers
0,Q. 1. What is meant by the term pH of a solution ? The pH of rain water collected from two cities A and B was found to be 6 and 5 respectively. The water of which city is more acidic ? ,"Ans. pH of a solution is a measure of the H+ concentration in a solution. Lesser the pH, more acidic is the solution. Thus, rain water of city B is more acidic. 2"
1,"Q. 2. Given below are the pH values of different liquids 7.0, 14.0, 4.0 and 2.0. Which of these could be that of (a) Lemon juice (b) Distilled water (c) Sodium hydroxide solution (d) Tomato juice. ",Ans. (a) Lemon juice — pH 2.0 (b) Tomato juice — pH 4.0 (c) Distilled water — pH 7.0 (d) Sodium hydroxide solution — pH 14.0
2,Q. 3. What is alkali ? Give an example. ,"Ans. A base which is soluble in water is known as alkali. Example : NaOH, KOH."
3,"Q. 4. Classify the following into acidic oxides and basic oxides : Na2O, SO2, MgO, CO2 ","Ans. Acidic oxides — SO2, CO2 Basic oxides — Na2O, MgO "
4,Q. 5. Write one word/term for the following : (i) Water soluble base (ii) A substance which dissociates on dissolving in water to produce hydrogen ions. [H+(aq) ions] (iii) A reaction between an acid and a base to form salt and water. (iv) A substance which dissociates on dissolving in water to produce hydroxide ions   (2 marks each),Ans. (i) Alkali (ii) Acid (iii) Neutralization reaction (iv) Base 
5,Q. 6. What is the change in pH values of milk when it changes into curd ? Explain. ,"Ans. pH decreases. It is due to the formation of lactic acid in curd. Since, acids generally have a low pH value, when milk changes to curd its pH will decrease. "
6,"Q. 7. Why does distilled water not conduct electricity, whereas rain water does ? ","Ans. Distilled water does not have free ions to conduct electricity. As rain water contains salts which ionises to form free mobile ion, so they conduct electricity."
7,Q. 8. Explain why sour substances are effective in cleaning Copper vessels ? ,"Ans. Copper metal slowly reacts with water, carbon dioxide and oxygen present in air to form basic copper carbonate which is green in colour. Its layer slowly gets deposited on the surface of the metal. Now as lemon is acidic, hence when we rub the tarnished copper vessel with lemon, the basic copper oxide or copper carbonate reacts with the acid present in lemon to form a salt which is washed away with water."
8,Q. 9. What is the reaction called when an acid reacts with base to produce salt and water ? Give example also. ,Ans. Neutralisation Reaction. Example : NaOH + HCl → NaCl + H2O Sodium Hydrochloric Sodium Water hydroxide acid chloride
9,Q. 10. Why pickles and curd are not stored in Copper and brass utensils ? ,"Ans. Sour substances like pickles and curd are acidic in nature, i.e., they have acids in them. So, when they are kept in brass or copper vessels, they react with them and form poisonous or better to say toxic elements which may prove harmful for human body. So, they are not kept in metal containers. 2"
10,Q. 11. What is the role of toothpastes in preventing cavities ? ,"Ans. Fluoride is a very safe and effective way to help prevent tooth decay, so it is an important ingredient in toothpaste and mouthwashes. It works by making the enamel more resistant to acids produced by the bacteria living on the teeth and gums."
11,"Q. 12. Explain why, an aqueous solution of sodium sulphate is neutral while an aqueous of sodium carbonate is basic in nature. ",Ans. Sodium sulphate is a neutral salt because it is made from strong acid and strong base. Sodium carbonate is a basic salt because it is made from strong base and weak acid.  2
