questions,answers
What is Ozone ? How does it protect the organisms on the earth ? What is ozone and how does it affect any ecosystem ?,Ozone is a triatomic molecule of oxygen (O3). It forms a protective blanket over the earth’s atmosphere and its depletion causes harmful effects on human. It absorbs the UV-radiation coming from the sun.
Write any four effects of ozone depletion on our health. ,Effects of ozone depletion on health can be : (i) Skin cancer (ii) Damage to eyes (iii) Effect on immunity (iv) Can change the structure of DNA. 
How can you help in reducing the problem of waste disposal ? Write any two methods. ,"Segregation of waste at the point of its generation for convenient disposal. Change in attitude producing less waste by adopting 3 R's policy. 				 1×2  Detailed Answer : We can help in reducing the problem of waste disposal by these methods : (i) By separating biodegradable substances from nonbiodegradable substances. (ii) By reducing, reusing and recycling nonbiodegradable substances."
We often observe domestic waste decomposing in the bylanes of residential colonies. Suggest ways to make people realize that improper disposal of waste is harmful to the environment. ,"(i) Banners and signboards, educating people about the ill effects of improper disposal of wastes can be erected / hanged in residential colonies. (ii) Street plays highlighting the ill effects of improper disposal of wastes can be organized. "
Industrialization is the one of the main cause of deterioration of environment.” List any four reasons in favour of this statement.  (),"(i) Noise and air pollution are increasing. (ii) Waste leads to water pollution. (iii) SO2, NO2 etc. emitted by the industries are toxic. ½ (iv) Radioactive radiations emitted by nuclear power stations are toxic to living organisms."
"It is said, there is a need to put a blanket ban on the products containing aerosols. What are aerosols ? Why is there a demand to put a ban on them ? ","An aerosol can be defined as a dispersion of solid and liquid particles suspended in gas. Atmospheric aerosols, unsurprisingly, refer to solid and liquid particles suspended in air. Aerosols are produced by dozens of different processes that occur on land and water surfaces, and in the atmosphere itself. There is a demand to put a ban on them because of their deteriorating effect on Earth’s ozone layer.1+1"
"Give any two ways in which biodegradable substances would affect the environment. [Board Term II, Set (2018), 2012]","(i) They produce foul smell during decomposition process. (ii) They may produce harmful gases such as ammonia, methane and carbon dioxide. "
"“The maximum concentration of harmful chemicals accumulates in human beings.” State the phenomenon involved and justify this statement. [Board Term II, Set (2018), 2012]","Bio-magnification. Non-degradable chemicals accumulates progressively at each trophic level. Since the man is at the apex of all the food chains, the concentration of harmful chemicals may be more in human beings.  1½"
‘Traditional use of forest areas is not useful in maintaining biodiversity. Do you agree with this statement ? Explain with the help of an example. ,"The Great Himalayan National Park contains within its reserved area, alpine meadows which were grazed by sheep in summer. But now without regular grazing by sheep, the grass first grows very tall and then falls over, preventing fresh growth. 2"
List two environment friendly practices or habits which need to be followed by every member of a family/ community. Explain how these practices will support the “Save the Environment” mission. ,(i) Gardening and planting trees. (ii) Use of gunny bags / paper bags in place of polythene. (iii) Use of compost and vermicompost in place of fertilizers. (iv) Separation of biodegradable and non-biodegradable substances. (Any two) 1+1
"Write the harmful effects of using plastic bags, on the environment. Suggest alternatives to plastic bags.  ","Plastic bags are non-biodegradable wastes, they are not degraded, they begin to stink, emitting foul gases, spoil the beauty of places and contaminate soil, water and air with toxins. Cloth bags are used instead of plastic bags because they are stronger, more durable and washable. 1+1"
Why do enzymes which break down carbohydrates in foods does not break down coal ?,"Enzymes are specific in their action. Specific enzymes are needed for the breakdown of a particular substance. So, enzymes which digest carbohydrates in food are specific for acting only on the carbohydrates and hence cannot act on other substances like coal."
In some states of our country there is a ban on the use of polythene bags for shopping. Why ? List three advantages of using jute or cloth bags over polythene bags. ,"There is a ban on the use of polythene bags for shopping in some states of our country because they cannot be degraded naturally by the action of microorganisms. Because of their nonbiodegradability, they stay in the soil for a long time and continue to poison it with toxic by-products that keep leaching from them. Also, they do not allow water to seep in, as they are waterproof. These polythene bags when accidentally eaten by stray animals can harm them and can even cause their death. The three advantages of using jute or cloth bags over polythene bags are as follows : (i) Cloth or jute bags are environment-friendly; they are biodegradable. (ii) They are renewable and can be easily recycled. (iii) They have more strength than polythene bags because they are thick and can be used again and again. ½x4"
Why is Government of India imposing a ban on the use of polythene bags ? Suggest two alternatives to use these bags and explain how this ban is likely to improve the environment. ,"Government of India is imposing a ban on the use of polythene bags because they cannot be degraded naturally by the action of microorganisms. Because of their non-biodegradability, they stay in the soil for a long time and continue to poison it with toxic by-products that keep leaching from them. Also, they do not allow water to seep in, as they are waterproof. These polythene bags, when accidentally eaten by stray animals, can harm them and can even lead to their death. Jute and cloth bags can be used in place of polythene bags. They are environment-friendly as they are biodegradable. They are renewable and can be easily recycled. Thus, using jute and cloth bags will help to reduce pollution."
What is ozone ? Show the reactions of formation of ozone from oxygen in the atmosphere. ,Ozone (O3) is a molecule formed by three atoms of oxygen. U.V. O2  → O+O O + O 2 → O3 Ozone
