questions,answers
What is Ozone ? ,"Ozone is a molecule formed by three atoms of oxygen, which shields the surface of the earth from ultraviolet radiations. "
State the essential function performed by Ozone at the higher levels of the atmosphere. ,It shields the surface of the earth from ultraviolet  radiation from the sun. 
Why is ozone layer getting depleted at the higher levels of the atmosphere ? ,Ozone layer is getting depleted at the higher levels of the atmosphere due to effect of chlorofluorocarbons  which are used as refrigerants and in fire extinguishers.
Name the chemical compound which depletes ozone layer. ,"When CFC’S reach upper layers of the atmosphere, they cause depletion of ozone layer, and allow harmful UV radiations to reach the surface of the earth to create health hazards. "
The depletion of ozone layer is a cause of concern. Why ? ,Ultraviolet rays from the sun penetrate down the earth and cause health hazards/skin cancer in human being.  1
What is the function of ozone in the upper,Ozone layer protects the earth from harmful radiations like high energy ultraviolet radiations from passing through it. 
Which chemical is used in fire extinguishers ? How it is harmful ? ,Chlorofluorocarbons It depletes ozone layer. 
What is biodegradable substance ? ,Substances that can be broken down by microorganisms in natural simple harmless substances. 1
Why are some substance non–biodegradable ? ,Some substances are non-biodegradable because they cannot be broken down into simpler harmless substance in nature.
Why should biodegradable and nonbiodegradable wastes be discarded in two different dustbins ? ,Hawk. Biomagnification. 
Which disease is caused in human beings due to depletion of ozone layer in the atmosphere ? ,Skin cancer is caused in human being due to depletion of ozone layer in the atmosphere.
List two non-biodegradable wastes generated daily in kitchen which can be recycled. ,Polythene bags and plastic containers.  Separation should be done actually to save our resources for future benefits and to save our environment from pollution. Q.18. Mention one negative effect of our affluent life
What happens during the first step of ozone  ,Oxygen in the presence of ultraviolet rays splits oxygen molecule into two oxygen atoms. 
Write the full name of the group of compounds mainly responsible for the depletion of ozone layer. ,Chlorofluorocarbons. style on the environment.
State a way to prevent accumulation of harmful chemicals in our bodies. ,To minimize the use of chemicals / pesticides in agriculture.  1
Why is excessive use of CFCs a cause of concern?  ,Carbon monoxide.
