questions,answers
What do you observe when you add a few drops of acetic acid to a test-tube containing :   phenolphthalein  distilled water  universal indicator  Sodium hydrogen carbonate powder, No change/remains colourless  No change  Turns pink/orange  Evolution of colourless gas
A student is studying the properties of acetic acid in his school laboratory. List two physical and two chemical properties which he must observe and note in his record book. ,Physical Properties :  Smell like vinegar  Colourless liquid. Chemical Properties :  Turns blue litmus red  Gives brisk effervescence with sodium carbonate
"Out of the following list of chemicals, select those which are required to study the prescribed four properties of acetic acid in the laboratory. Litmus solutions , water, alcohol, sodium chloride, sodium hydrogen carbonate, calcium hydroxide solution. ","Blue litmus solution, water, sodium hydrogen carbonate and calcium hydroxide solution."
"Write the names of apparatus/chemicals required to study the following properties of ethanoic acid in the laboratory. The properties are : Nature, odour, solubility and action on sodium hydrogen carbonate. ","Litmus water, blue litmus water, test-tubes, Passing tubes.  2"
A student is studying the properties of acetic acid. List two physical properties of acetic acid he observes. What happens when he adds a pinch of sodium hydrogen carbonate to this acid ? Write any two observations. ,"Acetic acid is colourless liquid. It is miscible/soluble in water.  On adding a pinch of sodium hydrogen carbonate, Brisk effervescence is observed. Evolution of a colourless/odourless gas. "
What precautions should be taken while studying the properties of ethanoic acid ?, Handle ethanoic acid carefully.  Add only small amount  of NaHCO3 or Na2CO3 to ethanoic acid to control the intensity of CO2 evolved.
What type of reaction takes place between CH3COOH and NaOH solution ? Where do you find the use of ethanoic acid in day to day food products ?,"Neutralization reaction. It is used in the form of vinegar, which is a dilute solution of ethanoic acid in water."
"A student takes 2 ml acetic acid, in a dry test-tube and add a pinch of sodium hydrogen carbonate to it. Write down the observation made by the students ?",A colourless and odourless gas is evolved. It turns lime water milky and this gas extinguish­ es the burning splinter.
"When you add about 2 ml of acetic acid to a testtube containing an equal amount of distilled water and leave the test-tube to settle after shaking its contents, what will you observe in the test-tube after about 5 minutes ?","When acetic acid and distilled water are mixed, they form a clear solution because acetic acid is completely miscible with water."
"A student adds a few drops of ethanoic acid to test tubes X, Y and Z containing aqueous solutions of sodium chloride, sodium hydroxide and sodium carbonate respectively. If he now brings a burning splinter near the mouth of the test-tubes immediately after adding ethanoic acid in each one of them, in which of the test tube or test-tubes the flame will be extinguished?","Only test tube Z will be extinguished. The flame will be extinguished when test tube Z is brought near a burning splinter due to evolution of carbon dioxide gas, which does not support combustion"
"Among the two test-tubes I and II, one contains acetic acid and another contains water. Which of the given properties of acetic acid can be used to identify acetic acid from it?    Colour change with universal indicator  Reaction with NaHCO3  Colour of the solution  Transparent nature","The two properties of acetic acid can be used to identify acetic acid in the test tube, containing acetic acid and water are: Acetic acid reacts with NaHCO3 and the colour change with universal indicator. 2"
Write the reaction between soap molecules and ions present in hard water.,Ca2  + 2Na+—stearate  ↓ → Ca2  + 2NaHCO3  CaSO4  + 2Na+ – stearate ↓ → Ca2  + Na2SO4 1+1
