,questions,answers
0,Q. 1. What is the advantage of a four chambered heart in humans? ,Ans. The four-chambered heart allows us to send our deoxygenated blood to the the lungs and our clean blood to the rest of the body without mixing the two. The blood coming from the left side of the heart is oxygenated and ready to fuel the muscles. The blood coming to the right side of the heart is collected from all over the body is deoxygenated and carried towards the lungs for oxygenation. 2 (1 mark each)  1 (2 marks each)
1,Q. 2. Why is blood circulation in human heart called double circulation? ,Ans. The blood circulation in human heart is called double circulation because the blood passes through the heart twice in one complete cycle of the body-once through the right half in the form of deoxygenated blood and once through the left half in the form of oxygenated blood.
2,Q. 3. Why do Veins have thin walls as compared to arteries? ,Ans. The walls of the arteries are found to be thicker than that of a Vein because the blood that is carried from the heart to the capillaries has more high pressure. As the blood flowing through the veins does not have much pressure as in that of the arteries their walls are thinner as compared to artery walls.
3,Q. 4. Differentiate between blood and Lymph. ,"Ans. S. No. (i) Blood is pumped Lymph is moved throughout the body by along through the the heart. normal function of the body (ii) Blood contains red blood Lymph is a whitish cells, white blood cells and clear liquid in and platelets. which RBCs are absent"
4,Q. 5. How is the process of transpiration useful to plants ?,"Ans. (i) Upward movement of sap or water from roots to leaves. (ii) Regulates temperature. (iii) Under optimal condition, leaf can transpire its own weight of water in less than an hour. (iv) Phloem tissues helps in transport of food. (v) Foodis transported in both upward and downward directions. (vi) Transport of food in phloem required energy in the form of ATP. (Any two) 1 + 1"
5,Q. 6. State the difference between transport of materials in xylem and phloem.   Explain how water and minerals are transported in plants ? ,Ans. Transport of materials in Xylem : (i) Xylem tissues helps in transport of water and minerals. (ii) Water is transported upwards from roots to aerial parts of plants. (iii) Transport in xylem requires physical forces such as transpiration pull. Transport of materials in Phloem : (i) Phloem tissues helps in transport of food (ii) Food is transported in both upward and downward directions (iii) Transport of food in phloem requires energy in the form of ATP
6,"Q. 7. Name the material transported by the following : (i) Xylem, (ii) Pulmonary artery, (iii) Pulmonary veins, (iv) Phloem. [Board Term I, Set (15), 2011]",Ans. (i) Xylem : Transport water and minerals in plants. (ii) Pulmonary artery : Transport deoxygenated blood from heart to lungs. (iii) Pulmonary veins : Transport oxygenated blood from lungs to heart. (iv) Phloem : Transport synthesised food in plants. ½
7,"Q. 8. Which mechanism plays an important role in transportation of water in plants ? (i) during day time, (ii) at night. [Board Term I, Set (20), 2011]",Ans. (i) Transpirational pull. (ii) Root pressure.
8,"Q. 9. What is translocation ? How it take place in plants ? [Board Term I, Set (24), 2011]","Ans. Transport of soluble product of photosynthesis or food from leaves to other parts of plants is called translocation. For translocation, food molecules enter the part of the phloem called the sieve tubes where they can be transported upwards or downwards to all the parts of the plant including roots. Translocation is achieved by utilising energy from the ATP that provides osmotic pressure required for upward and downward movement of food."
9,"Q. 10. State any two differences between arteries and veins. [Board Term I, Set (28), 2011] ","Ans. Differences between arteries and veins : S. No. [Board Term I, Set (40), 2012] Arteries Veins (i) They are thick walled. They are thin walled. (ii) Arteries valves. (iii) Carry oxygenated blood except pulmonary artery. have no They have valves. Carry deoxygenated blood except pulmonary vein. (Any two) 1 + 1"
10,Q. 11. Why is it necessary to separate oxygenated and deoxygenated blood by mammals and birds ? ,"Ans. Mammals and birds are warm-blooded animals. They constantly use energy to maintain their body temperature. They have higher energy needs and so they require more oxygen to produce energy. Thus, it is important that their oxygenated blood does not get mixed up with deoxygenated blood. 2"
11,Q. 1. Define transpiration. State its two functions.,Ans. The loss of water in the form of vapour from the aerial parts of the plants is known as transpiration. (3 marks each) Functions : (i) It helps in the absorption and upward movement of water and mineral dissolved in it from roots to the leaves. (ii) It also helps in temperature regulation. 
12,Q. 2. (a) How does the transport of materials in xylem and phloem occurs ? (b) What is translocation ? ,Ans. (a) Xylem : (i) Transport of water and mineral. (ii) Upward movement. (Unidirectional) Phloem : (i) Transport of food and hormones. (ii) Upward and downward movements (bidirectional). (b) Transport of soluble food by phloem is called translocation. 
13,Q. 3. Write three points of differences between artery and vein. ,"Ans. S. No. Artery Vein (i) Wall is thick. Wall is thin. (ii) Valves absent. Valves present. (iii) Blood flows from Blood flows from heart to different different organs to organs. heart. (iv) The flow of The flow of blood blood is fast, is slow, steady and jerky and with with less pressure great pressure. (Any three) "
14,Q. 4. Give reasons for the following— (a) Arteries are thick walled blood Vessel. (b) Veins are thin walled blood Vessel (c) Veins have valves in them. ,Ans. (a) Thick walls of arteries help them to resist the pressure of flow of blood in them. Arteries are elastic so as to produce enough pressure to push the blood and help it flow. (b) Veins have thin walls because veins collect the blood from different organs and bring it back to the heart. The blood is no longer under pressure and blood flows only in one direction. (c) Main function of valve is to prevent back flow of blood. Since the blood pressure in veins is very low they have valves that prevent back flow of blood.
15,"Q. 5. (a) What is lymph ? (b) How is composition of lymph different from blood plasma ? (c) List two functions of lymphatic system. [Board Term I, Set (50), 2012]",Ans. (a) Lymph a colourless fluid containing white blood cells. (b) Lymph is colourless and contains less protein than plasma. (c) Functions : (i) Carry digested fat/absorption of fat. (ii) Drains excess fluid from extracellular space back into the blood. 
16,Q. 6. Explain : (i) Blood goes only once through the heart in fishes. (ii) Plants have low energy needs. (iii) What are capillaries ? ,"Ans. (i) Because they do not maintain their own body temperature, therefore they do not require separation of oxygenated and deoxygenated blood. (ii) Because plant bodies have a large proportion of dead cells. (iii) Capillaries are smallest vessels which have one cell thick wall. The exchange of material between the blood and the surroundings take place through capillaries. "
