questions,answers
Define neuron. Name the parts of neuron where : (i) Information is acquired. (ii) Impulse must be converted into chemical signal for onward transmission. ,The units which makes up the nervous system are called neurons. (i) End of dendrite tip of nerve cell. (ii) Dendrite ¾® cell body ¾® axon to its ends.
"Define—sensory neuron, interneuron and motor neuron. ","The sensory Neuron carries impulses from sense Organs to Central Nervous System, the Interneuron make a decision based upon stimuli, and the motor neuron carries impulse from the CNS to the muscle or gland to respond."
What is the need for a system of Control and coordination in an organization ? ,"The maintenance of the body functions in response to changes in the body by working together of various integrated body system is known as coordination. All the movements that occur in response to stimuli are carefully co-ordinated and controlled. In animals, the control and co-ordination () movement are provided by nervous and muscular systems."
(i) What is a reflex action ? (ii) Give example of involuntary action.,"(i) Reflex action is defined as an unconscious and involuntary response of effectors to a stimulus. 1 (ii) Involuntary action : Beating of heart, salivation in the mouth on chewing of tasty food."
"What are receptors ? Name the receptors that are located in (i) tongue, (ii) nose. ",Sense organs are called receptors (i) Tongue ¾® Gustatory receptors (ii) Nose ¾® Olfactory receptors
State the role of brain in reflex action. ,"The sensory area of brain receives information, interprets it and makes a rapid decision → message transmitted to motor area → motor neuron sends information to receptor organ → controlled by medulla in the hind brain."
Name the parts of the brain that perform the following functions : (i) Maintaining the posture and balance of the body. (ii) Regulating blood pressure. (iii) Sensation of hunger or feeling full. CONTROL AND CO-ORDINATION (iv) Seeing,(i) Hind brain (ii) Hind brain (iii) Fore brain (iv) Fore brain. 
Write the main functions of the following : (i) Sensory neuron (ii) Cranium (iii) Vertebral column (iv) Motor neuron. ,(i) To pass information from receptors to brain. (ii) Bony box which protects our brain. (iii) Bony structure that protects the spinal cord. (iv) To transmit information from brain or spinal cord to effector organ. 
Write the name and functions of any two parts of the hind-brain.,"There are three components of hind-brain—pons, cerebellum, medulla oblongata. Functions of Pons : Relay centre, pneumotaxic area of respiratory centre. Functions of Cerebellum : Maintains equilibrium and co-ordinates muscular activities."
"On touching a hot plate, you suddenly withdraw your hand. Which category of neurons became active first and which one next ?","On touching a hot plate, first the sensory neurons gets activated, which take the information to the brain or the spinal cord. Next, the motor neurons become active and bring the impulses from the brain to the muscles. On receiving these impulses, the muscles contract, and the hand is immediately removed from the hot plate."
"Taking the example of heart beat, justify the antagonistic action of the sympathetic and the parasympathetic nerves.",Sympathetic system increases contraction and rhythm and parasympathetic system decreases contraction and rhythm with respect to heart beat. 2
What is the cause of diabetes ? How it can be controlled ? ,"The pancreas, an organ that lies near the stomach, makes a hormone called insulin to help glucose get into the cells of our bodies. When you have diabetes, your body either doesn’t make enough insulin or can’t use its own insulin as it should. This causes sugars to build up in the blood. It can be controlled by taking insulin."
How does our body maintain blood sugar level ? ,"Timing and amount of hormone released are regulated by feed back mechanisms. If sugar level in blood rises, cells of pancreas detect and secrete more insulin which leads to the fall off sugar level."
The hormones of pancreas are antagonistic in nature. How ?,"The hormones of pancreas function in opposite manner. Pancreas releases two hormones, i.e. (i) Insulin (ii) Glucagon Insulin lowers the blood glucose level, while glucagon increases the blood glucose level. Hence, they are antagonistic."
Name the glands present in the wall of the stomach that release secretions for digestion of food. Write the three components of secretion that are released by these glands. ,Gastric gland Three components of secretion of gastric gland— (i) Hydrochloric acid (ii) Mucus (iii) Pepsin  2
"Name the hormone responsible for the regulation of (i) metabolism of carbohydrates, fats and proteins, (ii) balance of calcium and phosphate, (iii) blood pressure, (iv) water and electrolyte balance.",(i) Thyroxine (ii) Parathormone (iii) Adrenaline (iv) Vasopressin or ADH (Antidiuretic hormone)
Name the hormones responsible for : (i) development of moustache and beard in males. (ii) controlling the uterus changes in menstrual cycle. (iii) increasing blood glucose level. (iv) maintaining water and electrolyte balance.,(i) Testosterone (ii) Progesterone (iii) Glucagon (iv)Vasopressin
Answer the following : (a) Which hormone is responsible for the changes noticed in females at puberty ? (b) Dwarfism results due to deficiency of which hormone ? (c) Blood sugar level rises due to deficiency of which hormone ? (d) Iodine is necessary for the synthesis of which hormone ? ,(a) Luteinizing (b) Thyroxine (c) Insulin (d) Thyroxine and Follicle Stimulating hormone
Why is it advisable to use iodised salt ? ,"Iodine is necessary for the making of thyroxine hormone by thyroid gland, therefore, a deficiency of iodine in the diet can cause a deficiency of thyroxine hormone in the body. The deficiency of iodine in the diet of a person produces less thyroxine hormone and cause a disease called Goitre."
Answer the following : (a) Name the endocrine gland associated with brain ? (b) Which gland secretes digestive enzymes as well as hormones ? (c) Name the endocrine gland associated with kidneys ? (d) Which endocrine gland is present in males but not in females ? ,(a) Pituitary gland (b) Pancreas (c) Adrenal (d) Testes.
Draw a neat diagram of human brain and label on it the following parts : (i) Mid brain (ii) Pituitary gland (iii) Cerebellum (iv) Cerebrum   (i) Draw a well-labelled diagram of human brain. (ii) Which is the main thinking part of brain ?  ,(i) Labelled diagram of Human brain : Cerebrum Cranium (skull) Corpus callosum Mid-brain Fore-Brain Hypothalamus Pituitary gland Hind-brain Pons Medulla Cerebellum (ii) Fore-brain.
Define reflex action. Give one example. Show with the help of a flow diagram the path of the reflex action.  ,"Reflex action is a sudden action in response to something in the environment. e.g., pulling out hand from the flame if accidently touched. The path of the reflex action is as follows : Receptors → sensory neuron → spinal cord → motor neuron → effector "
Write three main functions of the nervous system. ,"(i) Collects information from the surroundings. Spinal cord  2 + 1 (ii) Controls and co-ordinates the movement of muscles. (iii) Helps to recognise smell, taste, vision, hearing etc. with the help of sense organs."
Explain the feed back mechanism to regulate the action of the hormones with the help of one suitable example. ,"Hormones should be secreted in precise quantities. The timing and amount of hormone released are regulated by feedback mechanism. For example, if the sugar level in blood rises, they are detected by the cells of the pancreas which respond by producing more insulin. As the blood sugar level, falls, insulin secretion is reduced.  3 CONTROL AND CO-ORDINATION"
Which hormone is known as emergency hormone in our body ? How it helps in coping during emergency. ,Adrenaline is a hormone made by the adrenal medulla. It plays a vital role in helping our body deal with emergencies. Adrenaline is also known as epinephrine. It initiates quick action which makes the individual to think and respond quickly to the stress. The hormone increases metabolic rate. There occurs dilation of blood vessels going to heart and brain. The blood vessels reaching skin and kidneys constrict in order to provide more blood to the heart and the brain. It also increase fat metabolism thereby synthesising more energy.
(a) Identify the glands that secrete : (i) insulin (ii) thyroxin. (b) Explain with an example how the timing and amount of hormone secreted are regulated in the human body. ,"(a) (i) Insulin is secreted by pancreas. (ii) Thyroxin is secreted by thyroid gland. (b) The timing and amount of hormone released are regulated by feedback mechanism. Example : If the sugar level in blood rise, they are detected by the cells (Islets of Langerhans) of pancreas which respond by producing more insulin."
