questions,answers
What are top carnivores ? Give two examples. ,"Organisms which feed upon small carnivores and constitute the fourth trophic level. Examples : Hawk, lion."
Write any two differences between food chain and food web. ,S.No. Food Chain Food Web  Sequential process of Network of food chains one organism con- with intercrosses and suming the other. linkages.  Each organism at a Each organism at a tropic tropic level receives level receives food from food from one group more than one group. of organisms. 
Write any four examples of abiotic factors.,"Four examples of abiotic factors are :  Temperature,  Rain,  Soil,  Wind."
State two advantages of conserving  forests and  wildlife. ,"Conserving forests helps in  retaining sub soil water and  checking floods/ any other Conserving wild life helps in  maintaining ecological balance and  protecting the nature   Detailed Answer : Two advantages of conserving forests are :  Forests maintain balance between abiotic and biotic factors of the environment.  They provide us various products in the form of food, medicines, wood and raw materials for different industries. Advantages of conserving wildlife are ;  For protecting biodiversity.  Some wildlife is essential for the survival of other animals."
Why must we conserve our forest ? List two factors responsible for causing deforestation. ,"Forests help in preventing soil erosion / protect biodiversity / maintain ground water level / help in rainfall / provide raw materials / prevent floods / . Exploitation by industries / increase in population / urbanization / cattle grazing /   Detailed Answer : We must conserve our forests to conserve the biodiversity, ecological stability, habitat for wildlife, purify air and protect our Earth from greenhouse effect. Two factors responsible for causing deforestation :  Over utilisation of forest wood for human needs  Mining."
"With the help of an example of a food chain, prove that the flow of energy in the biosphere in unidirectional.  Energy 10% Energy",Sun 1% → Producer / Plant  Energy Primary consumer/Herbivore 10% Energy Secondary consumer / Carnivore 10% → Top carnivore. The above concept explained with the help of an example highlighting.  At each trophic level only 10% of the energy is passed on to the next and the rest is either utilized for its own metabolic activities or is lost in the environment as heat.  Lost energy is not returned to the previous level/ Solar input.
Differentiate between the food habits of organisms belonging to first and second trophic levels. ,"Difference between food habits of Organisms belonging to first trophic level and second trophic level : — The organisms at the first trophic levels are primary producers who make organic compounds using inorganic inputs like light, water, carbon dioxide etc. E.g. Plants. — The organisms at the second trophic level are primary consumer. They are herbivores who eat plants  for nutrition. E.g., Deer.  1+1"
What are decomposers ? List two important roles they play in the environment. ,"Decomposers are micro-organisms such as bacteria and fungi, that obtain nutrients by breaking down the remains of dead plants and animals. Role of decomposers :  They recycle matter by breaking down the organic remains and waste products of plants and animals.  These recycled matter are washed up and enter the soil from where plants absorb the nutrients again."
List two reasons to show that the existence of decomposers is essential in an ecosystem.  Explain the role of decomposers in the environment.," They help in the breakdown of organic matter or biomass of dead plants and animals into simple inorganic raw materials such as CO2, H2O and nutrients.  They help in the natural replenishment of soil. They help in keeping the environment clean."
State with reason any two possible consequences of elimination of decomposers from the earth. ," The earth would be covered with dead organisms and their excrement.  Decomposers are recyclers of life materials, returning materials to the system for use by living organisms."
