questions,answers
What is Biodiversity ? ,"Biodiversity is the existence of a wide variety of species of plants, animals and micro-organisms in a natural habitat within a particular environment or of genetic variation within a species."
What are the two kinds of natural resources ? ,Water and forest. 
Name two fossil fuels.,Coal and Petroleum.
Name any two inexhaustible resources. ,Air and Water.
Name a clean fuel other than LPG and Natural Gas. ,CNG 
"Name any two forest products, each of which is the basis for some industry. ", Pinewood for match box industry.  Bamboo for paper industry.
Name the tree for which Amrita Devi Bishnoi and others sacrificed their lives. ,Khejri trees.  1 
State the places that are referred as ‘biodiversity hotspots’. ,Forest.
Who are called Stakeholders ? ,Persons having interest or concern for something are called stakeholders.
State an instance where human intervention saved the forests from destruction.,Human intervention saved the Arabari forest range of West Bengal from destruction with active and willing participation of local community. The Sal forest of Arabari underwent a remarkable recovery.
State one reason for the conservation of forest and wildlife. ,The conservation of forest and wildlife is necessary to restore the ecological balance.
"Name the dam on the river Narmada, whose height Government wanted to raise ? ",Sardar Sarovar Dam. 
"List two items which can be easily recycled, but we generally throw them in the dust-bins. ","Steel cans and paper can be easily recycled, but we generally throw them in dustbins."
Write one negative effect of affluent lifestyle of few persons on the environment.  ,Exploitation and consumption of natural resources will ultimately result in their scarcity.
How is solar energy is made useful to the living world ? ,"Plants carry out photosynthesis, which converts the energy of the sun into a form which can be used by the rest of the living world."
What does presence of coliform in water indicate ?,The presence of coliform in water indicates contamination by disease causing micro-organisms.
Name the group of bacteria that confirms the contamination of water. ,Coliform.
Give one example each from your daily life where the domestic waste can be effectively reused and recycled. ,"Reuse : We can reuse the empty bottles of jam, pickles etc. for the storage purposes. Recycle : We can recycle old newspapers, aluminium cans etc."
How does increasing demand for energy adversely affect our environment ? ,"To meet the increased demand for energy, more and more natural resources are exploited. Pollutants are emitted during exploitation and use of natural resources which affect our environment."
“We need to manage our resources”. List two reasons to justify this statement. ,We need to manage natural resources because of the reasons listed below :  A majority of natural resources is limited.  Human population is increasing at a tremendous rate.  Utilization of natural resources is increasing at an exponential rate.  Need to conserve resources for future generations.  ½+½
