questions,answers
What are amphoteric oxides ? Give two examples of amphoteric oxides ? ,"An amphoteric compound is a molecule or ion that can react both as on acid as well as a base. Many metals such as Zinc, Tin, Lead, aluminium and can form amphoteric oxides or hydroxides. Two examples are Al2O3 and ZnO."
Name two metals which will displace hydrogen from dilute acids and two metals which will not. ,Iron and aluminium will displace hydrogen from dilute acids as they are more reactive then hydrogen. Mercury and copper can not displace hydrogen from dilute acids as they are less reactive than hydrogen.
Name two solid metals and two solid non- metals along with their symbols. ,Two solid metals are : (i) Copper (Cu) (ii) Sodium (Na). Two solid non-metals are : (i) Iodine (I) (ii) Silicon (Si)
Name two metals that start floating after sometime when immersed in water and explain why they do so. [Board Term-I Set (37) 2012],The two metals are : (i) Calcium (Ca) (ii) Magnesium (Mg) They start floating because the bubbles of hydrogen gas which are formed during the reaction stick to the surface of the metal.
"Name the following : (i) A metal, which is preserved in kerosene. (ii) A lustrous coloured non-metal. (iii) A metal, which can melt while kept on palm. (iv) A metal, which is a poor conductor of heat. [Board Term-I Set (15) 2012]",(i) Sodium 		(ii) Iodine (iii) Gallium or cesium 		(iv) Lead or mercury.
"Iqbal treated a lustrous, divalent element M with sodium hydroxide. He observed the formation of bubbles in reaction mixture. He made the same observations when this element was treated with hydrochloric acid. Suggest how can he identify the produced gas. Write chemical equations for both the reactions.  ()",Divalent element M is Zinc. Zn + 2NaOH —→ Na2ZnO2 + H2 Zn + 2HCl(dil) —→ ZnCl2 + H2 Hydrogen gas burns with a pop sound.
A metal ‘X’ combines with a non-metal ‘Y’ by the transfer of electrons to form a compound Z. (i) State the type of bond in compound Z. (ii) What can you say about the melting point and boiling point of compound Z ? (iii) Will this compound dissolve in kerosene or petrol ? (iv) Will this compound be a good conductor of electricity ? ,(i) Ionic Bond (ii) High (iii) No (iv) Yes. 
Write two observations that you will make when an iron nail is kept in an aqueous solution of copper sulphate. Write the chemical equation for this reaction. [Board Term-I 2012 Set (31)],Blue colour changes to light green. Reddish brown deposit on the iron nail. → FeSO4(aq) + Cu(s) Fe(s) + CuSO4(aq) 
"Out of the two metals P and Q, P is less reactive than Q. Suggest an activity to arrange these metals in the order of their decreasing reactivity. Support your answer with a suitable chemical equation. [Board Term-I, Set (45) 2012]","Activity : Metal Q is added to salt solution of P, Q being more reactive, displaces metal P from its salt solution. Chemical equation : Metal Q + Salt solution of P → Salt solution of Q + Metal P."
A metal is found in liquid state. It is widely used in instrument for measuring blood pressure. In what form does it occur in nature ? How can we extract this metal from its ore ?,Mercury is the metal which is found in liquid state and is used in instruments for measuring blood pressure. It occurs in nature as sulphide ore in the form of Cinnabar (HgS). Mercury is obtained from purified cinnabar by roasting in the presence of air. Air Heat HgS  → Hg + SO2 METALS AND NON-METALS
