questions,answers
 Define dispersion of light  Name the colour that deviates least and the one which deviates most while passing through a glass prism.   , Dispersion : Breaking up of white light into component colours.  Red colour deviates the least and violet deviates the most.  1+1
What is dispersion ? What happens when light is passed through a glass prism. ,The process of splitting up of white light into its constituent colour as it passes through a refracting medium is known as dispersion of light. It bends towards the base of the prism after passing through it. 
 A beam of white light splits when it passes through a prism. Name this phenomenon and give its reason.  List the colours into which it splits in the decreasing order of their bending on emergence from prism. ," Dispersion. White light consists of seven colours of different wavelengths. These components of light travel with different speeds in glass and get refracted by different angles. Due to this, splitting of white light takes place.  Violet, Indigo, Blue, Green, Yellow, Orange, Red.  1 + 1"
Define angle of deviation. Why do different components of white light split up into spectrum when it passes through a triangular glass prism ? ,The angle between the extended incident ray and the emergent ray is called the angle of deviation. 1 This is because the different colours travel through a glass prism at different speeds. 
What is scattering of light ? Explain with the help of an example. ,The phenomenon of change in the direction of propagation of light caused by the large number of particles present in the atmosphere is called scattering of light. Example : The path of beam of light becomes visible through a colloidal solution due to scattering of light.
Why Spectrum is formed when white light is passed through a glass prism ? ,Each colour has a definite wavelength and for each wavelength the angle of deviation differs. Red is the least deviated and violet is the most deviated colour so different colour deviate at different angles to form spectrum. R' P Q' Patch of white light Recombination t e ligh Whit ht e hit lig Second prism Dispersion First prism P' Light of seven colours
Why do stars appears to twinkle ? Explain. ,"Stars are very distant and approximate pointsized sources. Path of star light changes continuously due to gradual changing of refractive index of the layers of air. Thus, the apparent position of the stars fluctuates and the amount of starlight entering the eye flickers giving the twinkling effect. "
An object placed behind the fire or a hot surface appears to flicker when seen through the air. Give reason why ? ,"The air above hot surface becomes hot and rises. The space is occupied by cool air. The refractive White light index of hot air is less than that of cool air. So, the physical condition of the medium are not constant. Due to changing Refractive Index  of medium, the light appears to come from different directions. It results in fluctuation in apparent position of object."
During sunrise and sunset sky appears red while during the day it appears blue. Explain these natural phenomenon. ,"Ans.		 This is because of scattering of light. 		 Light from the sun near the horizon passes through larger distance in the earth’s atmosphere before reaching our eyes. So, most of the blue light and shorter wavelengths are scattered away by the particles. Therefore, the light that reaches our eyes is of longer wavelengths. This gives rise to the reddish appearance. But during the day shorter wavelength are scattered more by molecules of air and scattered blue light enters our eyes.  1"
Explain why the planets do not twinkle.  ,"Planets, being closer to earth, are seen as extended sources. If we consider a planet as a collection of large number of point-sized sources of light, the total variation in the amount of light entering our eye due to gradual change of refractive index of the atmosphere from all individual, point-sized sources will average out to zero. This nullifies the twinkling effect. "
 Why do parallel rays of different colours deviate differently while passing through a glass prism ?  Name any two phenomenon associated with the formation of a rainbow.  ," Parallel rays of different colours deviate differently while passing through a glass prism because angle of refraction of different colours are different hence there is difference in refractive index.   Total Internal reflection,  Refraction."
Why does the sun look reddish at the time of sunrise and sunset ? Explain. ,"At the time of sunrise or sunset when the sun is near the horizon, the sunlight has to travel the larger distance through the atmosphere to reach us. During this long journey of sunlight, most of the shorter wavelength blue-colour present in it is scattered out and away from our line of sight. So, the light reaching us at the time of sunrise and sunset consists mainly of longer wavelength red colour due to which it appears to be red."
Why do different colours get separated when white light passes through a prism ? How can we recombine the components of white light after a prism has separated them. Explain. ,A spectrum is the band of distinct colours we obtain when the white light is splitted by a prism. We can recombine the component of white light by passing them through a prism placed upside down near the given prism. When we pass white light through two identical prisms held side by side with their refracting edges in opposite directions; the first prism disperses white light but the second prism recombines them. Thus light emerging from second prism is white.
Why danger signs are made in red colour ? ,"Red is the least scattered colour. It is least scattered by fog and smoke and can be seen in the same colour over a long distance. So, danger signs are made in red colour."
Why did the clear sky appear blue ?   Why is the colour of the clear sky blue ? ,"The molecules of air and other fine particles in the atmosphere have size smaller than the wavelength of the visible light. These are more effective in scattering light of shorter wavelength at the blue end than the light of longer wavelength at the red end. Thus, the blue colour is due to the scattering of sunlight through fine particles in air. Red Violet Labelling 1 "
Stars twinkle while the planets do not. Why ? ,"Continuously changing atmosphere refract light from the stars by different amounts from one moment to the other. When atmosphere refracts more starlight towards us, the stars appears to be bright and when the atmosphere refracts less starlight, then the stars appear to be dim. However the planets are nearer to us than the stars, they appears to be comparatively bigger to us so they cannot be considered as a point source, hence no twinkling is seen."
State the cause of dispersion of white light passing through a glass prism. How did Newton show that white light of sun contains seven colours using two identical glass prisms. Draw a ray diagram to show the path of light when two identical glass prisms are arranged together in inverted position with respect to each other and a narrow beam of white light is allowed to fall obliquely on one of the focus of the first prism.  ,"Cause of dispersion of white light : Different colours of light bend through different angles with respect to the incident ray as they pass through a prism. Violet light bends the most and red the least. Thus, the each colour emerges along different paths. White light P1 Screen White light  2"
What is meant by scattering of light ? The sky appears blue and the sun appears reddish at sunrise and sunset. Explain these phenomena with reason.  What is the difference of colours of the sun observed during sunrise/sunset and noon ? Give explanation of each ? , Scattering of light – Phenomenon of spreading of light  by minute particles in a medium.  The sky appears blue because the blue colour of sunlight scatters much more strongly than the red colour by particles in atmosphere/ air due to its shorter wavelength.  At sun-rise and sun-set most of the blue light and shorter wavelengths are scattered away by the particles in the atmosphere as the light from the sun near the horizon passes through thick layers of air and larger distance. The light that reaches us is of longer wavelength  giving a reddish appearance. 
How does refraction of light take place in the atmosphere ? Explain the reason why stars appear to twinkle and the planets do not twinkle.  ,"l Since the atmosphere consists of varying densities the apparent position of the object, as seen through the hot air fluctuates. This wavering of light is an effect on atmospheric refraction. 1 l The twinkling of a star is due to atmosphere refraction of star light. The atmospheric refraction of light occurs in a medium of gradually changing refractive index. The planets are much closer to the earth and are thus seen as extended sources. A planet is considered as a collection of large number of point sized sources of light, the total variation in the amount of light entering our eye from all individual point sized sources will average out to zero, thereby nullifying the twinkling effect."
