questions,answers
Why does bleaching powder smell strongly of chlorine and does not dissolve completely in water ? ,"When exposed to air, bleaching powder gives a smell of chlorine. This is because bleaching powder reacts with carbon dioxide from the atmosphere to produce calcium carbonate and chlorine gas."
What is bleaching powder ? How is it prepared? List two uses of bleaching powder. ,Bleaching powder is calcium oxychloride. It is prepared by the action of chlorine on dry slaked lime. → CaOCl2 + H2O Ca2 + Cl2  Bleaching power Uses :  Used for bleaching cotton and linen in the textile industry and wood pulp in paper industry etc.  It is used for disinfecting the drinking water. ½+½
What is baking powder ? How does it make the cake soft and spongy ? ,Baking Powder is a mixture of sodium hydrogen carbonate and tartaric acid. On heating it liberates CO2 which makes the cake soft and spongy. 1 + 1
How washing soda is prepared from baking soda ? ,Recrystallization of sodium carbonate gives washing Soda. It is a basic salt. Na2CO3 + 10H2O → Na2CO3. 10 H2O.
Give two important uses of washing soda and baking Soda. ,"Uses of Washing Soda :  In glass, Soap and paper industry.  Manufacture of Borax. Uses of Baking Soda :  An ingredient in antacid.  Used in Soda acids, fire extinguishers.  "
Write the chemical formula of baking soda. How is baking soda prepared ? Write the reaction which takes place when it is heated during cooking. ,The chemical formula of baking soda is NaHCO3. ½ It is prepared by using sodium chloride. → NH4Cl + NaCl + H2O + CO2 + NH3  NaHCO3. 1 On heating : 2NaHCO3 Heat → Na2CO3 + H2O + CO2
Name the gas evolved when sodium hydrogen carbonate is made to react with dilute hydrochloric acid. How will you test the gas ? ,"Carbon dioxide . Pass this gas to lime water, it turns lime water milky."
A white powder is added while baking breads and cakes to make them soft and fluffy. What is the name of the powder ? What are the main ingredients in it ? What are the functions of each ingredient ?  ,Baking powder. Baking soda and an edible acid like tartaric acid. ½ Baking soda  is used to release CO2 gas when heated. Tartaric acid is used to avoid the bitter taste by reacting with the Na2CO3 formed.
"Write the chemical name and formula of gypsum. What happens when gypsum is heated at 373 K. Write chemical equation for the reaction.   ACIDS, BASES AND SALTS",CuSO4 + Fe   
State the chemical name of Plaster of Paris. Write a chemical equation to show the reaction between Plaster of Paris and water. ,"CaSO4. H2O  When plaster of paris reacts with water, gypsum is formed. → CaSO4·2H2O CaSO4· H2O + 1 H2O  Plaster of Paris Gypsum"
"Classify the following salts as acidic, basic or neutral :  NaCl  Na2SO4  CaCl2  K2CO3 "," Acidic salt – CaCl2  Basic salt – K2CO3  Neutral salt – NaCl, Na2SO4"
"Classify the following salts into acidic, basic and neutral— Potassium sulphate, ammonium chloride, sodium carbonate, sodium chloride. ","Neutral Salts : Potassium sulphate, sodium chloride Basic Salts : Sodium carbonate Acidic Salts : Ammonium chloride."
"Explain why, an aqueous solution of sodium sulphate is neutral while an aqueous solution of sodium carbonate is basic in nature. ",Sodium sulphate when dissolves in water forms strong acid and strong base so its aqueous solution is neutral while sodium carbonate when dissolves in water forms an alkaline solution which turns red litmus blue. It shows that its aqueous solution is basic in nature.
What is the colour of FeSO4.7H2O crystals ? How does this colour change upon heating ? Give balanced chemical equation for the changes. ,"FeSO4.7H2O is green in colour and loses water of crystallisation when it is heated. It is then decomposed to Fe2O3 , SO2 and SO3. FeSO .7H O → FeSO + 7H O 2FeSO4 ∆ → Fe2O3 + SO2 + SO3"
"Crystals of a substance changed their colour on heating in a closed vessel but regained after sometime, when they were allowed to cool down.   Name one such substance.  Explain the phenomenon involved."," CuSO4.5H2O CuSO .5H O → CuSO + 5H O    Explanation : On heating, crystal looses water of crystallisation and regain it on cooling."
"An aluminium cane is used to store ferrous sulphate solution. It is observed that in few days, holes appeared in the cane. Explain the cause for this observation and write the chemical reaction to support your answer. ",Aluminium is more reactive than iron. Aluminium from the walls can react with ferrous sulphate to form its sulphate and iron is precipitated. → Al23 + 3Fe 2FeSO4 + Al 
 What would be the colour of the solution when copper oxide and dilute hydrochloric acid are mixed ?  Write a chemical equation which represents that the effect of a base is nullified by an acid and viceversa. , It is blue green. → NaCl + H2O  NaOH + HCl 
How will you prove that a given salt is a carbonate of a metal ? ,"To salt, add few drops of dilute HCl or H2SO4, if colourless gas is evolved with brisk effervescence and on passing it through lime water, the lime water turns milky, the gas is CO2 and salt is a carbonate of metal."
 What is meant by the term hydrated salt ?  Give two examples of hydrated salt which are white and state their chemical formula. , Salt that contains water of crystallisation.  Washing soda — Na2CO3.10H2O Gypsum — CaSO4.2H2O 		Plaster of paris — CaSO4. H2O. 
