questions,answers
What is a combination reaction ? State one example giving balanced chemical equation for the reaction.  ,A reaction in which two or more simpler substances combine to form a single product. Example : C + O2 Burn → CO2 → 2H2O 2H2 + O2  
What is a precipitation reaction ? Give an example. ,The Reaction in which an insoluble Substance or precipitate is formed called precipitation reaction. Example : Na2SO4 + BaCl2 → 2NaCl + BaSO4 ↓ 
What does one mean by exothermic and endothermic reactions ? Give examples. ,"Exothermic Reactions : Reaction in which heat is released along with formation of products. Example : CH4 + O2 → CO2 + 2H2O + Heat Endothermic Reaction : The reaction in which the energy required in the form of heat, light or electricity to break reactants are called endothermic reaction. Sunlight 2 AgCl → 2 Ag + Cl2"
"Classify the following reaction as combination,  Decomposition, displacement and displacement reaction : BaCl2 + H2SO4 → BaSO4 + 2HCl double  C + O2 → CO2  3CuSO4 + 2Al → Al23 + 3Cu  ZnCO3 → ZnO + CO2 ", Double displacement reaction.  Combination reaction.  Displacement reaction.  Decomposition reaction. → 2Pb + CO2
 2PbO + C  → MnCl2 + 2H2O + Cl2  MnO2 + 4HCl  What is redox reaction ? Identify the substance oxidised and the substance reduced in the above reactions. ,"Those reactions in which both oxidation and reduction occur simultaneously.  PbO is reduced, C is oxidised.  HCl is oxidised, MnO2 is reduced. "
Identify the type of reaction from the following equation and define it. → CO2 + 2H2O + heat CH4 + 2O2  ,Exothermic reaction : It is a reaction in which heat energy is released along with the formation of products.  2
"State reason for the following :  Potato chips manufacturers fill the packet of chips with nitrogen gas.  Iron articles are shining when new, but get coated with a reddish brown powder, when left for some time. ", To prevent rancidity.  Rusting and corrosion. 
 List any two changes which take place when oily food gets oxidized.  Mention a measure which prevents or slows down its oxidation. ,  Food becomes rancid.  Its taste and smell changes.  Keeping food in air tight containers / flushing the container with an inert gas like Nitrogen . 1 
What happens when Zn strip is dipped in CuSO4 solution ? ,Zinc strip displaces or removes Copper from Copper sulphate solution and this reaction is known as displacement reactions. Zn + CuSO4 → ZnSO4 + Cu
"A student prepares aqueous solutions of the following salts : Copper sulphate, ferrous sulphate, sodium sulphate, barium chloride. Write the colour of each solution thus formed. ",Copper sulphate — Blue Ferrous sulphate — Pale green Sodium sulphate — Milky white Barium chloride — White
