questions,answers
In what ways were the novels in colonial India useful for both the colonizers as well as the nationalists ? ," Colonial administrators found vernacular novels a valuable source of information about native life and customs.  New novels had descriptions about domestic life, people's dress, their religious worship, their beliefs and practices.  Indians used novels as a medium to criticise the defects in their society and suggest remedies.  Through glorified account of the past, these novels helped in creating a sene of national pride among their readers. "
Who wrote the novel ‘Saraswativijayam’ ? Highlight any two messages given to the people through the novel ?,"Potheri : Kunjambu wrote Saraswativijayam in 1892. The messages which the world got after reading this novel was :  Caste should be done away in the society.  The book stresses the importance of education, maths, etc. 1+2"
How did the historical novels in India try to create a sense of Pan-Indian belonging ?  Or 		Analyse any three reasons for making the novels popular in India.  ," In Bengal many historical novels were about Marathas and Rajputs which produced a sense of a Pan-Indian belonging.  They imagined the nation to be a full of adventure, heroism, romance and sacrifice.  The imagined nation of the novel was so powerful that it could inspire actual political movements."
Describe the growth of Hindi novels from their origin to the period of excellence. 				 Or 		Explain briefly the history of Hindi Novel from starting to excellence. , Bhartendu Harishchandra was the pioneer of modern Hindi literature but the first proper modern novel was written by Srinivas Das of Delhi.  The writings of Devkinandan Khatri created a novel with reading public in Hindi.  It was the writing of Premchand that the Hindi novel achieved excellence.
How were the concerns of Oriyan Society depicted in the Oriyan novels of 19th century ? ," The Oriya novel ‘Chaa Mana Atha Guntha’ written by noted novelist Fakir Mohan Senapati dealt with the question of land and its possession. NOVELS, SOCIETY AND HISTORY  This path breaking work showed that the novel could make the rural issues an important part of urban preoccupations."
Describe any three special features of novels written by the Malayalam writers Vaikkom Muhammad Bashir.  ," Vaikkom Muhammad Bashir, a noted Malayalam novelist represented the underprivileged class.  He had little education and most of his writing was based on rich personal experience.  His novels and short stories were written in ordinary language with humour.  He wrote about Muslim households in great details and touched upon unconventional topics like poverty, insanity and life in prison. "
Highlight any three contributions of novel to modern society. ," Over the course of its history in both the west and in India, the novel became part of the lives of different sections of people.  Developments in print technologies helped to make it popular all over the world.  Novels successfully produced a sense of sharing and promote an understanding of different people, different values and different communities."
Explain the issues raised by the Malayalam novel ‘Indulekha’. 			 ," Indulekha concerned the marriage practices of upper-caste Hindus in Kerala, especially the Nambuthiri Brahmins and the Nayars.  It raised the issue of education and human values.  The novel also described that the new young generation wanted new laws regarding marriage and property."
Name the first Hindi Modern novel which became a best seller. State reasons for its popularity.  Or 		 Name the first Hindi Modern novel which became the best seller. Mention its main features. ,"Chandrakanta, written by Devaki Nandan Khatri became the best seller. 		It became popular because : Refer to Q. 19., Short Answer Type Questions."
Explain the contribution of Premchand in the field of novel writing. 		,"Premchand’s novels are filled with all kinds of powerful characters drawn from all levels of society.  His novels include characters such as aristocrats and landlords, middle level peasants and landless labourers, etc. The women characters are strong individuals.  Drawn from various strata of society, his characters create a community based on democratic values. The central character of his novel ‘Rangbhoomi’, Surdas is a visually impaired beggar from a socalled ‘untouchable’ caste.  Godan, Premchand’s best known work is an epic of Indian peasantry. "
What are the main features of novel ‘Sevasadan’ written by Munshi Premchand ? Mention any three. ," Sewasadan deals with poor conditions of women in the society, child marriage and dowry.  It tells us about Indian upper class and the opportunities they got from British government.  The novel was a shift from fantasy to a serious reflection of life."
How do novels connect people of common interests ? Who formed the readerships for novels in Europe from 17th century onwards. ," Novels connect people of common interest in the following ways :  Novels created a common interest among scattered and varied readers.  Readers were drawn into their stories and could identify with the life of fictitious characters.  They could discuss issues such as relationship between love and marriage, proper conduct for men and women.   New group of people as shopkeeper, clerk along with the aristocrats in England and France formed the new readership."
How does ‘Saraswativijayam’ lays stress upon the importance of education for the upliftment of the lower castes ? ," ‘Saraswativijayam’ shows a young man from an ‘untouchable’ caste who leaves his village to escape the cruelty of his Brahmin landlords.  He converts to Christianity, attains higher education and returns as a judge in the local court.  After revealing his true identity, he successfully reforms his village."
“The novel created space for minorities in the society”. Establish the validity of the statement with the help of an example. ,"The novels created space for the minorities in the society which may be seen from the facts given below :  Vaikkom Muhammad Basheer who was one of the early Muslim writers gained wide popularity as a Malayalam novelist.  Vaikkom wrote about the lives of Muslim households.  He brought themes like poverty, insanity and life in prison - the sufferings of the so called ‘minorities’ in the society into light."
Who wrote the novel ‘Pariksha Guru’ ? Explain any two features of it. ,Srinivas Das wrote the novel 'Pariksha Guru'. Features :  It reflects the inner and outer world of the newly emerged middle classes.  It reflects the difficulty faced by characters in adopting the colonised society.  The novel tries to teach the right way to live and remain rooted in traditional values.  The young are urged to cultivate the ‘health habit’ of reading newspapers. 
