questions,answers
French tried to solve educational problems in Vietnam in different ways.” Support the statement with examples. ,"French and Education :  They countered and dismantled the traditional education system.  They established French schools.  Introduced French language for Vietnamese.  Introduce deliberate policy of failing children.  Their text glorified French culture and justified colonial rule.  Their education system introduced of French, Science and Hygiene.  1 × 3 = 3 "
Did Vietnamese teachers blindly follow the curriculum set for them? Explain. ,"Teachers and students did not blindly follow the curriculum. Sometimes there was open opposition, at other times there was silent resistance. As the number of Vietnamese teachers increased in the lower classes, it became difficult to control what was actually taught. While teaching, Vietnamese teachers quietly modified the text and criticised what was stated."
How was the trans-Indo-China rail network built in Indo-China? Explain. ," Construction of trans-Indo-China rail network linked the Northern and Southern parts of Vietnam and China.  The final link with Yunnan in China was completed by 1910.  The second line was built, linking Vietnam to Siam  via the Cambodians capital of Phnom Penh."
"Describe the major protest erupted in Saigon Native Girls School in 1926, in Vietnam. ","The major protest erupted in Saigon Native Girls School in 1926, in Vietnam, when a Vietnamese girl sitting in the front seat was asked to move to the back for a local French student to occupy the front bench to which she refused and was expelled by the Principal.  When angry students protested, they too were expelled, leading to a further spread of open protests. Seeing the situation getting out of control, the Government forced the school to take the students back. The Principal reluctantly agreed after warning the students.  3"
How did Paul Bernard argue in favour of economic development of Vietnam ? Explain. ,"Paul Bernard’s arguments in favour of economic development of Vietnam :  He argued that the purpose of acquiring colonies was to make profits.  Economy was developed and the standard of living of the people improved, they would buy more goods.  The market would consequently expand, leading to better profits for French business.  To reduce rural poverty and increase agricultural productivity it was necessary to carry out land reforms.  To ensure sufficient employment, industrialisation would create more jobs.   3"
Explain any three steps taken by French to solve the problem of plague in Vietnam. ,Steps taken by the French to solve the problem of plague in Vietnam were as follows :  French hired Vietnam workers and paid for each rat they caught.  Money was paid when tail of a rat was given as proof.  Some raised rats to earn money as tails were clipped and rats released so that the process of earning continued. 
Why did the people of Vietnam protest against the spread of Christianity ?," Vietnamese religious beliefs were based on superstitions, whereas Christianity had a relatively more modern outlook.  The Vietnamese had a strong belief in Buddhism and Confucianism.  They began to look down on Christianity as a danger to their religion. THE NATIONALIST MOVEMENT IN INDO-CHINA"
What were the differences of opinion between the two groups in Vietnam regarding the introduction of French educational system ? ," Some policy-makers were in favour of the French language as the medium of instruction because according to them this would promote French culture in Vietnam.  It would create an ‘Asiatic France’ solidly tied to European France.  The educated people in Vietnam would respect French sentiments and ideals, French culture and work for the French.  Another group of thinkers opposed French being the only medium of instruction.  They suggested that Vietnamese be taught in lower classes and French in the higher classes.  The few who learnt French and acquired French culture were to be rewarded with French citizenship.  ½ × 6 = 3"
Explain any three conditions of the contract on the basis of which indentured labour worked. ,Conditions :  No right of labourers was specified.  Employer could bring criminal charges against the labourers.  Employer could punish and jail them. 1 × 3 = 3 
Explain any three steps taken by the French to achieve their aim to exploit the natural resources of Vietnam. ,"Colonies were considered essential to supply natural resources and other essential goods. So the French took following steps :  The French began building canals and draining lands in the Mekong delta to increase cultivation.  Trans Indo-China rail network to link the northern and southern parts of Vietnam and China.  The second line was also built, linking Vietnam to Siam."
Describe any three main features of the Tonkin Free School ?  		What was the ‘Tonkin School’ in Vietnam ? Explain its three features. ,Refer to of Q. 4. Long. Type Ques.
Mention three features of the Resistance Movement against the French domination in Vietnamese schools. , Teachers and students did not blindly follow curriculum.  A major protest erupted in the Saigon Native Girls School in 1926.  Students formed political parties.  They published nationalists journals.  Schools became an important place for political and cultural battles.  1 × 3 = 3  
