questions,answers
Name the minerals formed in beds and layers. ,"Coal, and some forms of iron ore."
"Why are there a wide range of colours, hardness, crystal forms, lustre and density found in minerals ? ",The ranges found in minerals are due to physical and chemical conditions.
How do minerals occur in igneous and metamorphic rocks ? ,"In igneous and metamorphic rocks, minerals may occur in cracks, crevices, faults and joints."
How does mining affect the health of miners ? ,The dust and the noxious fumes inhaled by the mineral makes them vulnerable to pulmonary diseases.
How do minerals occur in sedimentary rocks ? ,"In sedimentary rocks, minerals occur in beds or layers. They have been formed as a result of deposition, accumulation and concentration in horizontal strata."
Which rock consists of single mineral only ? ,Limestone.
What are the two types of minerals according to occurrence in igneous and metamorphic rocks ?,Two types of minerals in igneous and metamorphic rocks are :  Veins  Lodes.
What is a mineral ?,Mineral is a homogeneous naturally occurring substance with a definable internal structure.
What is rock ?,Rocks are combination of homogenous substance called minerals.
"Which sedimentary mineral is formed as a result of evaporation, especially in arid regions ?",Potash salt.
Which Nuclear Power plant is located in Tamil Nadu ?,Kalpakkam.
Which mineral is contained in the Monazite sand ?,Thorium.
Which mineral is largely derived from placer deposits ?,Gold. 
