questions,answers
Why were the large masses of people drawn into political causes in London ? Explain with examples.," Poor people became militant and riotous.  In 1886, there were riot by London poor people demanding relief from poverty. A riot happened once again in 1887 and it was brutally suppressed. This incident is called the Bloody Sunday of 1887.  In 1889, a 12-day dockworker’s strike took place, to gain recognition for the dockworkers union.  State authorities went to great lengths to reduce the possibility, of rebellion and enhance urban  3 aesthetics"
"Why was Bombay called as a Mayapuri or Mayanagri ? [Board Term-I,  2016-17"," Bombay was referred to as mayanagri because Bombay was seen as a city of opportunities and dreams for those who came from the have not section of population.  They found their creative energies well used in the Bombay film industry, it inspired o thers.  People from all field of life joined it as writers, directors, actors, etc.  "
‘Bombay did not experience a planned growth’. Justify the statement with three facts. ,"‘Bombay did not experience a planned growth’.  The Bombay fort area was divided into two parts  The native town  The European section.  In the native towns, most of the Indians lived, the European section was inhabited by the ‘Europeans or the whites.  This racial pattern pattern of inhabitation was common to all the three Presidency cities of India.  "
How did Bombay emerge as an important  colonial city ? How did Bombay come under the British rule ? ,Reasons :  Bombay was the principal port of the East India Company.    It was an important centre for cotton textiles from Gujarat.  It became an important administrative centre of western India.  It emerged as a major industrial centre in the 19 19th century.   
How did the development or expansion of Bombay  differ from London ? State any three points of difference between the  ," Bombay was an over-crowded city, where a person had only 9.5 sq. yards of space whereas it was around 155 sq. yards per person in Lo ndon.  Bombay did not grow according to a plan whereas whereas London grew according to plan.  London had an average density of 8 persons persons per house whereas the density in Bombay was as high as 20 persons. "
Describe any three features of ‘Chawls’ in  Bombay.  “The Chawls of Bombay were a small cosmopolitan community in themselves.” Explain the statement. , Chawls were resided by poor.  Open space in the center of the chawls was used for various activities.  Chawls were headed by a headman like village headman.  People in chawls lived like an integrated   family. 
Mention the three Presidency cities of India ? Why were they referred to as ‘multifunctionality’ cities ? ,"The capitals of the Bombay, Bengal and Madras Presidencies in British India were multifunctional cities’ because they had major ports, warehouses, homes and offices, army camps, as well as educational institutions, museums and libraries. passed in"
When and why was the Rent Act passed Bombay during the British days ? What was its outcome ?  When was the Rent Act passed in Bombay ? What was its aim ? What was the impact ? ,"The Rent Act was passed in Bombay in 1918.  It aimed at controlling rent and keeping them within reasonable limit.  The Act had a reserve impact of producing a severe housing crisis, since the landlords withheld renting out houses from the market.  "
Why did more and more people migrate to Bombay by the early 20 th century ? Explain  three reasons.," The growth of trade in cotton and opium attracted a large number of traders, bankers and artisans to Bombay.  A large number of people migrated to Bombay from Ratnagiri to work in the textile mills.  Bombay was the junction head of two major railways and dominated the maritime trade.  "
Throw light on some of the land reclamation projects of Bombay.,Land reclamation projects of Bombay are :  Building of great sea wall prevented flooding of low-lying areas of Bombay.  Levelling of hills around Bombay.  Dry dock was built between 1914 and 1918 and the excavated earth was used to create the Ballard Estate.
State any three causes of air pollution in Calcutta in the 19 th century. ," Pollution was due to large number of people being dependent on dung and wood as fuel.  Industries and other establishment used steam engines that run on coal and caused air pollution.  Due to marshy land, land, the resulting fog combined with smoke to generate thick smog.  Calcutta had a history of air pollution. Its  inhabitants inhaled grey smoke.  "
“Cities developed at the cost of ecology and environment.” Explain with examples.  Assess the impact of development of cities on ecology and environment. ,"Effects of development of cities on ecology and environment :  Large quantities of refuge and waste products polluted the air and water, while excessive noise became a feature of urban life.  In industrial cities, hundreds of factory chimneys released black smoke into the skies.  Shopkeepers, homeowners and others complained about the black fog that descended in their towns causing, smoke-related illnesses and dirty clothes.  characteristics of the ancient"
State any three characteristics  cities.," Ancient towns and cities appeared along river valleys such as Ur, Nippur and Mohenjodaro.  They were large in scale than other human settlements, performances and exchange of news related to jobs, strikes, riots, etc.  These cities were centres of political power, administrative network, trade and industry, religious institutions and intellectual activities.  "
How did farming methods change due to industrialization ? Explain. ,"   Methods change due to industrialisation : Steel plough used in place of wooden plough. Harrow in place of wooden weeder. Mechanical drill for seed sowing, reaping and threshing machines.  "
