,questions,answers
0,"Q. 1. Explain how novels became a popular medium of entertainment among the middle class during the late 19th century. [Board Term-I, Term-I, , 2016-17]","Ans. Novels became a popular medium of entertainment :  The world created by novels were absorbing, believable and seemingly real.  While reading novels, The readers was was transported to another person’s world and began looking at life as it was experienced by the characters of the novel.  Novels allowed individuals the pleasure of reading in private as well as publicity.  The stories of novels were discussed in homes, meetings or even in offices.  People empathies’ themselves with the novels  5 characters."
1,Q. 2. “Indian novelists in the 19th century wrote for a national cause.” Justify the statement with  examples.,"Ans.       How did novels in India attempt to create a sense of Pan-Indian belonging ? Explain.   In Bengal many historical novels were about Marathas and Rajputs which produced a sense of a Pan-Indian belonging. They imagined the nation to be full full of adventure, heroism, romance and sacrifice. Bhudeb Mukhopadhyay’s Anguriya Binimoy  was the first historical novel written in Bengali whose hero Shivaji engaged in many battles against a clever and treacherous Aurangzeb. The imagined nation of the novel was so powerful that it could inspire actual political movements. Bankim’s ‘Anandmath’ is a novel about a secret Hindu armed force that fight Muslims to establish a Hindu Kingdom. It was a novel that inspired inspired freedom fighters. The novel helped in popularising the sense of belonging to a common nation.  1×5=5 NOVELS, SOCIETY AND HISTORY"
2,"Q. 3. How were novels useful for the Indians ? Explain with examples. [Board Term-I, Term-I, , 2016-17]","Ans.  Indians used the novel as a powerful medium to criticise what they considered defects in their society and to suggest remedies.  Writers like Viresalingam used the novel mainly to propagate their ideas about society among a wider readership.  Novels also helped in establishing a relationship with the past. Through glorified accounts of the past, these novels helped in creating a sense of national pride among their readers.  At the same time, people from all walks of life could read novels so long as they shared a common language. This helped in creating a sense of collective belonging on the basis of one’s language.  Novels also made their readers familiar with the ways in which people in other parts of their land spoke their language. "
3,Q. 4. The early novelists in India played a significant role in spreading social awareness. Justify the statement with examples. ,"Ans.  The novelists played an important role in spreading social awareness by taking themes such as caste oppression, life of the common people, marriage, practices, etc.  They tried to create social awareness on the prevalence of backward social customs which were exploitative in nature.  As early as 1857, Baba Padamanji’s Yamuna Paryatan, used a simple style of storytelling to speak about the plight of widows. In ‘Sevasadan’, Premchand deals mainly with the poor condition of women in societies. Issues like child marriage and dowry are woven into the story of the novel. Social evils like caste oppression was highlighted by Potheri Kunjambu, a lower caste writer from North Kerala who wrote a novel called ‘Saraswativijayam’ in 1892, mounting a strong attack on caste oppression. This man shows a young man from an untouchable caste leaving his village to escape cruelty of his Brahmin landlord. He converts to Christianity, obtains modern education and leads a respectable life with his family.  Hence issues like plight of widows, problems created by the early marriage of the girls and caste oppression were the important social issues which were highlighted through novels.  5"
4,"Q. 5. Analyse the role and involvement of women in the readership and authorship of novels in India. [Board Term-I, Term-I, , , 2014]","Ans.  In the early decades of the 20 th century, women in South India began writing novels and short stories.  A reason for the popularity of novels among women was that it allowed for a new conception of womanhood.  Some women authors also wrote about women who changed the world of both men and women.  Rokeya Hossein wrote a satiric fantasy in English called ‘Sultana’s Dream’  which shows a topsy-turvy world in which women take the place of men.  Hunnah Mullens, a Christian missionary and the author of ‘Karuna O Phulmonir Bibaran’ , wrote the first novel in Bengali, which tells her readers that she wrote in secret."
5,Q. 6. In what way did the colonisers and nationalists use novels as an effective instrument for the attainment of their goals ?  “Novels were useful for both the colonial administrators and Indian nationalists”. Support the statement with examples.  “Novels were useful to different sections of the society.” Support your answer with suitable  examples.,"Ans.  Colonial administrators found ‘vernacular novels’ a valuable source of information on native life and customs, i.e., :  how people were dressed  their religious worship  beliefs and practices  about domestic life Such information was valuable to them in order to govern the Indian society which had a wide cultural variety. The novels contains the well-described domestic life which helped the British administrators to understand the beliefs and practices.  The nationalists used novels as a powerful medium to criticize the defects of the society and suggested remedies. Many novels established links with the past. Glorified account of the past created a sense of material pride. Novels created a feeling of collective belongingness among the people from different walks of life speaking the same language. Example : Virasalingam.  2½+2½=5"
6,Q. 7. How did the colonial administrators find vernacular novels as a valuable source of information to native life and customs ? Explain  with examples.,"Ans.  Colonial administrators found Vernacular novels to be a valuable, available source of information on native life and customs.  As outsiders, the British knew little about life inside Indian households.  Novels helped the colonists understand Indian way of dressing, forms of worship, their beliefs and practices.  Many novels reflected social customs, divisions based on caste and class.  These novels helped the British to to understand the social divisions and used them to their advantage to create further divisions. Lord Bentinck helped the Indian reformers in their mission to get rid of the practices like ‘Sati’ and passed legislation favouring remarriage of widows.  1×5=5"
7,Q. 8. Examine the main features of novel “Sewa Sadan” written by Munshi Premchand. ,"Ans.  Munshi Premchand’s novel ‘Sewasadan’ (The Abode of Service), was published in 1916.  Many critics think that his novel lifted the Hindi novel from the realm of fantasy, moralising and simple entertainment to a serious reflection on the lives of ordinary people and social issues.  Sewasadan deals mainly with the poor condition of women in society.  Issues like child marriage and dowry are woven into the story of the novel.  It also tells us about the ways in which the Indian upper classes used whatever little opportunities they got from colonial authorities to govern themselves. "
8,"Q. 9. “Premchand’s novels are filled with all kinds of powerful characters from all levels of society.” Support the statement by giving suitable  examples. Explain the aspects of Premchand’s writings that [Board Term-I erm-I,, , 2012] make them special. Describe any five main features of novels written by Munshi Premchand. [Board Term-I erm-I,, , 2012] Premchand’s novels were filled with powerful characters drawn from all levels of society. Support the statement with examples. [Board Term-I, Term-I, 2012 , , 2010] Explain the aspects of Premchand’s writings that make them special. [Board Term-I, Term-I, Set-C5JNEVD, 2015]","Ans.  Munshi Premchand drew tradition of Kissagoi storytelling. His novels are filled with all kinds of powerful characters, drawn from all levels of society.  His novels include characters such as aristocrats and landlords, middle level peasants and landless labourers and women from margins of society. He focussed on social issues like child marriage, dowry, suppression of downtrodden classes by landlords.  The women characters are strong individuals coming from lower classes and are not modernized.  His novels look towards the future without forgetting the importance of the past.  Drawn from various strata of society, his characters create a community based in democratic values. Examples :  His novel ‘Rangbhoomi’ about Surdas makes the lives of the most oppressed section of society worthy of literacy reflection.  ‘Godan’, his literary work is an epic on Indian peasantry through the story of Haria and Dhania.  1×5=5"
9,"Q. 10. Summarise the main theme of the novel ‘Godan’ written by Premchand. [Board Term-I erm-I,, , 2013]","Ans. The novel ‘Godan’ by Premchand was published in 1936. It has been revered as one of the greatest Hindi novels of the Indian literature. The main theme of of the novel was based on Indian peasantry. The theme includes :  socio-economic deprivation.  exploitation of rural people.  caste segregation.  varied concept of dharma as held by different people.  impact of industrialization on the various sections sections of Indian community.  condition of women in society, child marriage and dowry. ‘Godan’ is an epic of Indian peasant Hari and his wife Dhania who were cheated by the landlords, money lenders, priests and colonial bureaucrates. They formed a network of oppression, robbed their land and converted them to landless labourers. At the end, the couple died with dignity.  5"
