,questions,answers
0,"Q. 19. “Premchand’s novels are filled with powerful characters from all levels levels of society”. Justify the Term-I, , 2016-17] statement. [Board Term-I,",Ans.  Premchand’s novel ‘Sewasadan’ lifted the Hindi novel from simple entertainment to a serious reflection on the lives of ordinary people and social issues.  Issues like child marriage and dowry are woven into the novel.  Premchand’s characters created a community based on democratic values.  The character in ‘Rangbhoomi’- Surdas is a visually impaired beggar from the most oppressed section of the society.  3
1,Q. 20. What are the main features of novel ‘Sevasadan’ written by Munshi Premchand ? Mention any  three.,"Ans.  Sewasadan deals with poor conditions of women in the society, child m arriage and dowry.  It tells us about Indian upper class and the opportunities they got from British government.  The novel was a shift from fantasy to a serious reflection of life. Explain the contribution of Premchand in the"
2,"Q. 21. [Board Term-I, 2012 field of novel writing.","Ans. Premchand’s novels are filled with all kinds of powerful characters drawn from all levels of society.  His novels include characters such as aristocrats and landlords, middle level peasants and landless labourers, etc. The women characters are strong individuals.  Drawn from various strata of society, his characters create a community based on democratic values. The central character of his novel ‘Rangbhoomi’, Surdas is a visually impaired beggar from a socalled ‘untouchable’ caste.  Godan, Premchand’s best known work is an epic of Indian peasantry. "
3,Q. 22. How did the writings of Devaki Nandan Khatri create a novel reading public in Hindi ?,Ans.  His novel ‘Chandrakanta’ was a romantic novel with dazzling elements of fantasy.  It got immensely popularized as it had Hindi language and the Nagari script.  Written for the ‘pleasure of reading’ it gave insight into the fears and desires of the readers.
4,Q. 23. ‘Several early Hindi novels carried a clear message of social reform.’ Give three examples in support of this statement.,"Ans.  Novels written by Dhanpat Rai or Prem Chand were the clear picture of the reforms.  In the Kannad novel, Indirabai the heroine is given away in marriage very early, but her husband dies soon leaving her to struggle on her own against poverty and face indignities. Indirabai continues her education, remarries and this time gets a progressive, English educated man.  Potheri Kunjambu’s novel ‘Saraswativijayam’ was an attack on caste oppression.  1×3=3"
5,Q. 24. Name the first novel written by Bankim Chandra Chattopadhyaya. Explain his contribution to the Bengali novel. ,"Ans.  ‘Durgeshnandini’  He would host a Jatra in the courtyard where members of family would be gathered.  In his room a group of literary friends would collect to read, discuss and judge."
6,Q. 25. How were the concerns of Oriya society depicted in the Oriyan novels of 19 th century ? ,Ans.  The Oriya novel ‘Chaa Mana Atha Guntha’ written by noted novelist Fakir Mohan Senapati dealt with the question of land and its possession.  This path breaking work showed that the novel could make the rural issues an important part of urban preoccupations.
7,Q. 26. Who wrote the novel ‘Pariksha Guru’ ? Explain any two features of it. ,Ans.  Srinivas Das wrote the novel 'Pariksha Guru'.  Features : and outer world of the newly  It reflects the inner and emerged middle classes.  It reflects the difficulty faced by characters in adopting the colonised society.  The novel tries to teach the right right way to live and remain rooted in traditional values.  The young are urged to cultivate the ‘healthy  habit’ of reading newspapers.  1+2=3 freedom fighters ?
8,Q. 27. How did novels inspire the freedom Explain with two examples.,"Ans.  The novels developed the thinking process of the colonial government regarding Indian customs and culture and provided a solution and highlighted the reality regarding Indian customs and cultures that inspired the freedom fighter.   In Bengal, many historical novels were written about Marathas and Rajputs. These novels produced a sense of pan-Indian belonging.  Anguriya Binimoy also inspired the freedom fighters with the theme of ‘Anandmath’. 1+2=3"
9,Q. 28. Explain the contribution of women novelist in the field of novels in India.,"Ans.  In the earlier stages women began to write stories, poems, etc.  Their writings allowed for a new conception of womenhood.  Stories of love showed women women who could choose or refuse their partners and relationships.  Some women authors wrote about the women who changed the world of both men and women.  1×3=3"
