questions,answers
Name the first novel novel in Malayalam. ,Indulekha  1
Who wrote Indulekha ?,Chandu Menon.
The novel ‘Indulekha’ was published in which year ?,1889.
What was the title of the first modern novel published in Malayalam ?,Indulekha. was ‘Vaikkom Muhammad Basheer’ Basheer’ ?
Who was  ,Basheer had little formal education and based his works in his own rich personal experience rather than on books from the past. He would never sell his books himself which displays fortitude. He also took part in Salt Satyagrah. His stories and short novels were written in ordinary language of conversation.  1
In which language did Vaikkom Mohammad Basheer gained popularity as novelists ? ,Malayalam. “Kissa-goi” ?
"What is referred to as “Kissa-goi”  NOVELS, SOCIETY AND HISTORY",Kissa-goi is the traditional art of storytelling.  1 1956 describe
Which novel written in Bengali in 1956 the community life of the fisher-folks in  detail ?,Titash Ekti Nadir Naam. 
Which major themes were taken up by the women in their novels ? ,Love and romance.
Name the first novel written by Bankim Chandra Chattopadhyay. ,Durgeshnandini.
Who was the author of the novel ‘Anandmatha’ ?,Bankim Chandra Chattopadhyaya.
Which Hindi novel by Premchand does tell the story of Indian peasantry through the characters of Hori and his wife Dhania ? ,Godan.
