,questions,answers
0,"Q. 1. Why do people look at a mix of goals for development ? [Board Term-I, Term-I, Set-NLTM8TU, 2016-17]","Ans. For development, people do look at a mix of goals-which not only focus on seeking/earning more income but also on non-material aspects like equal treatment, respect of other, dignity of labour, a safe and secure work environment, pollution free surroundings etc.  1 "
1,Q. 2. Mention any one development as goal of land less rural labourers.  What is the development goal of rural people of India as per your viewpoint ? ,Ans. Any one development goals of landless rural labourers can be :  Regular income.  Regular job.  Small piece of land.  Equal status in society.  1
2,"Q. 3. In what respect is the criterion used by the UNDP for measuring development of the countries, different from the one used by the World Bank ? [Board Term-I, Term-I, Set-C5JWEVD, 2015]","Ans. UNDP compares countries on educational level, health status and per capita income whereas. World Bank uses only per capita per capita income  1 for measuring development.  What is the most common indicator for"
3,Q. 4 measuring economic development of a country ?  Which is a useful measure for comparison between ries ? countries count Which factor determines the development of a country ? Which income is also called average income ?,Ans. Per Capita Income.
4,Q. 5. What is the advantage of per capita income ? Mention any one. ,Ans. It is the most appropriate criterion of measuring the development of any country country..
5,"Q. 6. How is the average income of a country [Board Term-I erm-I,, KVS-2014 KVS-2014]] calculated ?",Ans. Dividing the total income of the country by its total population.
6,"Q. 7. According to the World Bank , which country would be classified as a low income [Board Termerm-I, I, DDE-2014 DDE-2014]] country ?",Ans. Any country with per capita income of US $ 1035 or less .
7,"Q. 8. If there are 4 families in a country with per capita income of $ 15000. The income of 3 families is $ 10000, $ 20000, and $ 12000. What is the income of the 4th family ? ",Ans. $ 18000.
8,Q. 9. Into how many categories the World Bank has classified the countries ?,Ans. Three.
9,Q. 10. Which area of the world has the largest crude oil reserves ?,Ans. Middle East.
10,Q. 11. Which countries are called rich countries ?,Ans. Countries with per capita income of US $ 12616 and above.
