questions,answers
What is meant meant by the print revolution ? Explain its significance. ,"With the invention of printing press, the printing of books started at a large scale. It was called the Print Revolution. Significance :  With the printing press, a new reading public emerged.  Printing reduced the cost of books.  Books flooded the market, re reaching aching out to an ever  1 + 2 = 3 growing readership."
How had the earliest printing technology developed in the world ? Explain with examples. ," The earliest kind of print technology was developed in China, Japan and Korea. Korea. In China woodblock were used for hand printing.  Upto the 6th century print was used only by the scholar officials but later it became common.  The Buddhist missionaries introduced hand printing technology from China to Japan.  It was Marco Polo, a great explorer, who brought printing knowledge of woodblock from China to Italy.  1 × 3 = 3"
What was an “Accordion Book” ? Describe any two features of hand printing in China.  Or Explain any three features of Chinese ‘Accordion Book’. ,"'Accordion Book' is a traditional Chinese book, folded and stitched at the side.  Chinese Accordion Books were handprinted. They were printed by rubbing paper against the inked surface of wooden blocks.  As both sides of the thin, porous sheet would not be printed, the traditional Chinese ‘Accordion Accordion Book’ was folded and stitched at the side.  These Accordion Books could be duplicated by superbly-skilled craftsmen with remarkable accuracy and the beauty of calligraphy.  1 × 3 = 3"
Where was the earliest earliest kind of print technology developed ? Explain that technology. ," The earliest kind of print technology was developed in China. This was a system of hand printing.  From 594 A.D. onwards, books in China were printed by rubbing paper against the inked surface.  As both sides of the thin and porous sheet could not be printed, the traditional Chinese ‘Accordion book’ was folded and stitched at the side.  Superbly skilled craftsmen could duplicate it with remarkable accuracy which is the beauty of   calligraphy."
Explain the reasons favouring shift from hand printing to mechanical printing in China.   Explain the different stages of development of printing technology in China. ," From 594 A.D. the books were printed in China by rubbing paper against the inked surface of woodblocks.  The imperial court got many textbooks printed for the Civil Services Examination and remained the target user of printed books in China.  By the 17th century urban culture developed in China and it added merchants, wives of rich men, scholars and officials who not only started reading printed books but also began to write their autobiographies.  In the late 19th century, the western powers established mechanical printing press in Shanghai and shifted to mechanical printing.   1 × 3 = 3 The reasons favouring shift from hand printing to mechanical printing in China are :  Textbooks of Civil Service Examination were printed in vast numbers under the sponsorship of the imperial state. From the sixteenth century, the number of examination candidates went up and that increased the volume of print.  By the seventeenth century, century, print was no longer used just by scholar officials. Merchants used print in their everyday life, as they collected trade information.  Reading increasingly became a leisure activity. The new readership preferred fictional narratives, poetry, autobiographies, anthologies of literary masterpieces, and romantic plays.  Rich women began to read, and many women began publishing their poetry and plays. Wives of scholar-officials published their works and courtesans wrote about their lives. The new reading culture was accompanied by a new technology. Western printing techniques and mechanical presses were imported in China and Shanghai became the new hub of the new print culture.  1 × 3 = 3 innovations which have"
Highlight any three innovations improved the printing technology from 19th century onwards.  Write any three innovations in printing technology in the 19th century and 20th century Europe.," By the mid-19th century, Richard M. Hoe of New York had perfected the power driven cylindrical press. This was capable of printing 8,000 sheets per hour.. This press was particularly useful for printing hour newspaper.  In the late 19 th century, the offset press was developed which would print up to six colours at a time.  From the turn of the 20 th century, electricallyoperated presses accelerated the printing operations.  Methods of feeding paper improved, the quality of plates became better, automatic paper reels and photoelectric controls of the colour register were introduced.  The dust cover or the book jackets were   introduced."
‘With the printing press a new public emerged in Europe’. Justify the statement.  How did a new reading public emerge with the printing press ? Explain. , Wider sections of people started having an easy access to books.  Books were printed in large numbers with greater greater ease.  The prices fell and they they became affordable for large public.  The hearing public and reading public became intermingled.  3
How did Johann Gutenberg developed the first printing press ? ,"From his childhood, Gutenberg had seen seen wine and olive presses. Subsequently, he learnt the art of polishing stones, became a master goldsmith, and also acquired the expertise to create lead moulds used for making trinkets. Drawing on this knowledge, Gutenberg adapted existing technology to design his innovation. The olive press provided the model for the printing press, and moulds were used for casting the metal types for the letters of the alphabet. By 1448, Gutenberg perfected the system. The first book printed by him was the Bible. About 180 copies were printed and it took three years to produce them. By the standards of time this was fast production."
How did Gutenberg personalise the printed  books ? Explain., Borders were illuminated by hand with foliage and other patterns.  Books printed for rich had blank space left for decoration.  Each buyer could choose the design.  Verses were highlighted with with hand and with colours.   
Explain any three factors responsible for the invention of new printing techniques. ," The production of hand written manuscript could not satisfy the ever-increasing demand for books.  Copying was expensive, laborious and time taking.  Manuscript were fragile, difficult to handle and could not be cared for or o r read easily. 1 × 3 = 3 "
Describe the development of printing press after Gutenberg.," By 1448, Gutenberg perfected the system of printing press. The first book printed by Gutenberg was Bible. About 180 copies were printed and it took three years to produce them.  In the hundred years between 1450 and 1550, printing presses were set up in most of the countries of Europe.  Printers from Germany Germany travelled to other countries, seeking work and helping start new presses. As the number of printing presses grew, book production boomed.  The second half of the 15th century saw 20 million copies of printed books flooding in the European market. The number went up in the 16th century to   about 200 million copies."
How did print introduce debate and discussion ? Explain in three points.," Print was used to criticize existing practices. Through print, people could be persuaded to think differently differently..  Even those who disagreed with established authorities could now print and circulate their ideas. It shaped new ideas and debates and new ideas emerged from clashes.  The religious reformer Martin Luther wrote Ninety Five Theses’ criticising many of the practices and rituals of the Roman Catholic Church. He challenged the Church to debate his ideas.  Muslims used print to check conversions. conversions.  Hindus used print to encourage people to read  the religious texts in vernacular.  1 × 3 = 3"
"How did the printers manage to attract the people, largely illiterate, towards printed  books ?"," To attract people, the printers started printing popular ballads and folk tales.  To attract people books had been incorporated with lots of illustrations.  Ballads and folk tales were were sung and recited recited to the people in gatherings in the villages."
How did new forms of popular literature appear in print targeting new audience in the 18th century? Explain with examples. ," There were almanacs along with ballads and folktales. In England, Chapbooks were carried by petty pedlars known as chapman and sold for a penny.  Biliotheque Bleue were low-priced books sold in France.  There were the romances printed printed on four to six pages and the more substantial ‘Histories’ which were stories of the past. "
Highlight any three circumstances that led to the intermingling of the hearing culture and the reading culture.  Describe any three circumstances that intermingled the hearing culture and reading culture.," The rate of literacy was very low in Europe till the end of the 20 th century. In order to attract people towards books, the printers started printing popular ballads and folk tales with lot of illustration.  Such books were recited at gatherings and it attracted listeners.  Thus the oral culture culture was printed and and printed material was orally transmitted. That’s how oral and reading culture intermingled.  "
Why did the Roman Catholic Catholic Church begin to keep an Index of prohibited books from the mid 16th century ?  ," Printed religious literature stimulated a variety of interpretations of faith, even among the little educated working class in the early 16 th century.  Menocchio, an Italian miller, reinterpreted the Bible in a way that enraged the Roman Catholic Church.  Such instances worried the Church about people reading the various interpretations of the religion and questioning the Church.  Hence, it imposed severe controls over publishers and booksellers and began maintaining an index  1 × 3 = 3 of Prohibited Books. "
In which three way did the printed books at first closely resembled the written manuscripts ? , Appearance and layout resembled the written manuscripts.  Metal letters imitated the ornamented hand written styles.  Borders were illuminated.  Space for decoration was kept blank.   1 × 3 = 3
Who was Menocchio ? Mention any two contributions of him in the field of print culture in the sixteenth century. ," In the sixteenth century, Menocchio, a miller in Italy, began to read books that were available in his locality.  He reinterpreted the message of the Bible and formulated a view of God and Creation that enraged the Roman Catholic Church.  When the Roman Church began its inquisition to repress heretical ideas, Menocchio was hauled up twice and was ultimately executed.  The Roman Church, troubled by such effects of popular readings and questioning of faith, imposed server controls over publishers and booksellers and began to maintain an Index of Prohibited Books from 1558.   "
Why did James Augustus Hickey claim that the Bengal Gazette was ‘a commercial paper open to all but influenced by none’ ? Explain. ," It was a private English weekly magazine in India, independent from colonial influence.  Hickey not only published a lot of advertisement including the import and sale of slaves, but also published lots of gossip about the Company’s senior officials in India.  Governor General Warren persecuted Hickey and encouraged government sanctioned newspapers. "
What led the colonial government to pass the Vernacular Press Act in 1878 ? How did it affect the vernacular newspapers ?  Why was Vernacular Press Act passed ? Explain  about this Act.," The Vernacular Press Act was passed because the vernacular newspapers were assertively nationalist. They openly criticized and debated the government policies.  The Vernacular Press Act of 1878 was passed which empowered the government to censor reports and editorials.  The government kept a regular tract of vernacular vernacular newspapers. If a report was judged seditious, the newspaper was warned and if warning was ignored appropriate actions were taken."
How did the print popularize the ideas of the enlightened thinkers ? Explain.  How did print help to spread new ideas that led to the reformation in Europe ?," In 1517, the religious reformer Martin Luther wrote ‘Ninety Five Theses’ criticising many of the practices and rituals of the Roman Catholic Church.  Due to writings of Martin Martin Luther, the church got divided and a new protestant reformation had started.  Several scholars, infact think that print brought about a new intellectual atmosphere and helped spread the new ideas that led to reformation."
Why did people in the eighteenth century Europe think that print culture would bring enlightenment and end despotism ?,"The people in the 18th century Europe thought that print culture would bring enlightenment and end despotism because :  Books became cheaper and helped the individuals to read which developed rational thinking, scientific outlook, liberalism and democratic ideas.  The writings of the great philosophers like Thomas Paine, Rousseau and Voltaire spread the ideas of democracy and also exposed them to monarchial and church propaganda which finally helped to end despotism.  The people were not influenced directly by everything they read or saw. They accepted some ideas and rejected others. They interpreted things in their own way. Print did not directly shape their minds, but it did open up the possibility of thinking differently."
How did print come to Europe from China China ? Explain.," Through silk route in the 11th century, Chinese paper reached Europe from China. Paper made possible the production of manuscripts which were, carefully written by scribes.  In 1295 Marco polo, a great explorer, returned returned to Italy after many years of exploration in China. He brought the knowledge of wood block printing from China and the Italians began producing books with wood woo d blocks and soon so on the technology spread to the other parts of Europe.  Religious preachers such as the Buddhists were also helpful in spreading this knowledge from China to Europe."
Why did some people fear the effect of easily available printed book ? Give one example each from Europe and India ?,"Some people were feared by the effect of easily available printed books because rebellious and irreligious thoughts might spread and the authority of ‘valuable literature’ would be destroyed.  Europe : In 1517, the religious reformer Martin Luther wrote Ninety Five Theses criticising many of the practices and rituals of the Roman Catholic church and challenged the Church to debate his ideas.  India : An intense controversy between social and religious reformer and the Hindu orthodox was developed over matters such as widow immolation, monotheism, Brahmanical piothood and idolatry."
