,questions,answers
0,Q. 1. Explain briefly the initial efforts made by foreigners to introduce printing press in India. ,"Ans.  The Portuguese Portuguese missionaries first introduced printing press in India in the mid 16th century.  Jesuit priests learnt Konkani and printed several tracts.  By 1674 about 50 books had been printed in the Konkani and Kannada language.  Catholic priest first published printed books in Tamil in Cochin and in 1713 first Malayalam book was printed.  Dutch Protestant missionaries had printed nearly 32 printed text in Tamil which were later translated.  The English language press did not grow in India till quite late even though officials of the East India company began to import presses from late 17th century.  From 1780, James Augustus Hickey began to edit the Bengal Gazette, a weekly magazine; it was a private English enterprise and was free from colonial influence.  Hickey published a lot of advertisements including those that related to import and sale of slaves.  By the close of the 18 th century, a number of newspaper and journals appeared in print.  1 × 5 = 5  5 marks each publication of"
1,"Q. 2. “Print not only stimulated the publication conflicting opinions amongst communities, but it also connected c onnected communities and people in different parts of India.” Examine the statement.","Ans.  Religious texts, reached a wide circle of people encouraging discussions, debates and controversies within and among different religions.  Newspapers conveyed news from one place to another creating pan-Indian identities.  Spread of ideas through printed texts and newspapers led to widespread participation of Indians.  Print propagated against social evils like sati, child marriage and the purdah system.  Emergence of many social reforms and reform movements.  New ideas emerged through the clashes of  1 × 5 = 5 opinions. "
2,"Q. 3. Explain how print culture assisted the growth of Nationalism in India. [Board Term-I erm-I,, 2013 , 2012 ","Ans. Print culture, i.e., press and literature played a crucial role in growth and spread of nationalism in India :  In the 19th century, huge quantity of national literature was created. Revolutionised minds of people inspired them to throw away the British yoke.  India Mirror, Bombay Samachar, The Hindu, Kesari-Indian newspapers exerted deep imprint on the minds of people.  Nationalist press reported on colonial misrule and encouraged nationalist activities. For example, when Punjab revolutionaries were deported in 1907, Balgangadhar Tilak wrote with great sympathy about them.  Gandhiji spread his ideas of Swadeshi in a powerful way through newspapers. Many vernacular newspapers came up in India to spread nationalism. "
3,"Q. 4. How did the printed books of India attract the poor class as readers in the 19 th century ? Explain.  What efforts were made to spread the benefits of print culture for the poor people in the 19th [Board Term-I erm-I,, , 2012] century India ?","Ans. Sources of Attraction :  Very cheap small books were brought to market in the 19th century.  Public libraries were set up to give an easy access to books.  Kashibaba of Kanpur published ‘Chhote Aur Bade ka Sawal’ where caste and class exploitation were linked.  Sacchi Kavitayen, the poems of another Kanpur mill worker who wrote under the pen name of Sudarshan Chakra also attracted the mill workers towards reading printed books, since they could see their lives and sufferings reflected in such books.  Bombay and Bangalore Cotton mill workers set up libraries to educate themselves. These libraries were sponsored by social reformers. "
4,Q. 5. What were the effects effects of the spread of print culture for poor people in the 19th century India ?  Describe.,"Ans. Effects of Print culture on poor people :  Cheap small books were brought to the markets in Madras and were then sold.  Public libraries were were set up from from early 20th century expanding the access to books.  When issues to caste caste discrimination were written by Ambedkar, Jyotiba Phule, it was read by people. ‘Gulamgiri’ of Jyotiba Phule exposed the ill treatment to the low castes.  Local protest movements and sects criticised ancient scriptures.  Workers in factories wrote and published to show links between caste and class exploitation.  Bangalore cotton mill workers set up libraries to  1×5=5 educate themselves. "
5,Q. 6. “Printing press played played a major role role in shaping the Indian society of the 19th century.” Support the statement by giving examples. ,"Ans. The print culture had a significant impact on the growth of nationalism in India.  In spite of passing a Vernacular Press Act, nationalist newspapers grew in numbers.  They reported on colonial misrule and encouraged nationalist activities.  The British Government tried to put down nationalised criticism but there were more protests.  ‘Punjab revolutionaries were deported,’ Tilak wrote in Kesari.  It led to his imprisonment in 1908 provoking terms of protest. "
6,Q. 7. How did print culture affect affect the life of poor people and women in the nineteenth century  India ? Explain.,"Ans.  The print culture gave birth to new forms of popular literature. Very small books were brought out. They were sold cross roads. The poor people brought these books and read with great interest. Books were cheap, even the poor could afford to buy them. Public libraries were set up.  The print culture made the women important, as readers as well as writers. Women’s reading increased enormously in middle class homes. Liberal husbands and fathers began educating their women folk at home and send them to schools. Women’s schools were set up.  2½+2½=5"
7,"Q. 8. What led the colonial government to pass the Vernacular Press Act in 1878 ? How did it affect the vernacular newspaper ? [Board Term-I, Term-I, Set-C5JWEVD, 2015]","Ans.  Nationalists in India used print media to publish the evil affects of British rule and spread new ideas.  As vernacular newspapers became became assertively assertively nationalist, the colonial government decided to take strong measures.  In 1878 the Vernacular Press Act was passed which provided the government with intensive rights to censor reports and efitorials in the vernacular press.  The government started keeping regular track on vernacular news papers. If it published some material which was considered to be seditious, the government seized the press and confiscated the printing machines.  Despite repressive repressive measures nationalist nationalist newspapers grew in numbers in all parts of India.  1×5=5"
8,Q. 9. What was the attitude of liberal and conservative Indians towards women’s reading ? How did woman like Kailashbashini Debi respond to this in her writings ?  Describe the attitude of liberal and conservative Indian’s towards women’s reading ?,"Ans.  Liberal husbands and fathers began educating their women folk at home and sent them to schools.  Conservative Hindus believed that a literate girl would be widowed and Muslims feared that educated women would be corrupted by reading romantic books. Kailashbashini Debi wrote books highlighting the experiences of women-how women were imprisoned at home, kept in ignorance, forced to do hard domestic labour. "
9,Q. 10. How were the manuscripts written in India before the age of print ? What were their drawbacks and effect ? ,"Ans.  In India, manuscripts were written written on palm leaves or on handmade paper before the age of print.  Pages were sometimes beautifully illustrated.  They would be either pressed between wooden covers or sewn together to ensure preservation.  Manuscripts continued to be produced till well after the introduction of print, down to the late nineteenth century.  Manuscripts, however, were were highly expensive and fragile. They had to be handled carefully and they could not be read easily as script was written in different styles."
