,questions,answers
0,Q. 1. Write the chemical reaction that shows rusting of iron.,Ans. Iron  + Oxygen  + Water   Fe2O3.xH2O Hydrated Iron oxide 
1,Q. 2. What happens when magnesium ribbon is burnt in air ? How will you test for its acidic / basic nature ?,"Ans. A white coloured ash of magnesium oxide is obtained on burning magnesium ribbon. When white ash  is dissolved on testing, it turns red litmus paper to blue. Hence, it is basic in nature. 2Mg + O2  2MgO."
2,Q. 3. Complete the following chemical reactions. Sulphur dioxide  + Water   ? Is it a acid/base ?,Ans. SO2+ H2O  H2SO3. Sulphurous acid. It is an acid.
3,Q. 4. Why is sodium stored in kerosene ?,"Ans. Sodium metal is very reactive. It reacts vigorously with oxygen and water. A lot of heat is generated in the reaction. It is, therefore, stored in kerosene."
4,Q. 5. Why is phosphorus stored in water ?,"Ans. Phosphorus is a very reactive non-metal. It catches fire if exposed to air. To prevent contact of phosphorus with atmospheric oxygen, it is stored in water."
5,Q. 6. Drop a piece of aluminium in freshly prepared solution of sodium hydroxide. Bring a matchstick near the mouth of testtube. A pop sound appears.  What does this pop-up sound indicate ?  What do you conclude from this reaction ?,Ans.  This ‘pop’ sound indicates the presence of hydrogen gas.  We conclude that metal reacts with sodium hydroxide to produce hydrogen gas.
6,Q. 7. Write the different uses of metals.,"Ans. Metals are used in making machinery, automobiles, aeroplane, trains, satellites, industrial gadgets, cooking utensils, water boilers etc."
7,Q. 7. Copper sulphate  + Zinc   Zinc sulphate  + Copper    — What is this reaction is called ? — Is it a reversible chemical reaction why ? Why not ?,Ans. This reaction is called displacement reaction. It is not a reversible reaction because copper is less reactive metal than zinc. It is unable to replace zinc from zinc sulphate salt.
8,Q. 7. Why aluminium foils are used to wrap food items ? ,"Ans. Aluminium can be converted into thin sheets that can be folded into any shape. Further, it is available at affordable cost."
9,Q. 7. Write characteristics of metals. Write characteristics of non-metals.,Ans. Characteristics of Metals :  Metals can be hammered into sheets .  Metals can be drawn into wires .  Metals give ringing sound .  Metals are good conductors of heat and electricity. Or Characteristics of non-metal :  Non-metals are brittle.  They can be broken into pieces on heating. .  Non-metals are poor conductors of heat and electricity.  They are non-sonorous. 
10,Q. 1. What happens when a copper vessel is exposed to moist air for long ? ,"Ans. When a copper vessel is exposed to moist air for long, it acquires a dull green coating. The green material is a mixture of copper hydroxide ) and copper carbonate . Following is the reaction : 2Cu + H2O + CO2 + O2  Moist air Cu2 + CuCO3  Green colour"
11,Q. 2. Write an activity to test whether sulphur solution is acidic or basic in nature.,"Ans. Activity to test that sulphur solution is acidic or basic in nature :  Take a small amount of powdered sulphur in a deflagrating spoon and heat it.  As sulphur starts burning introduce it into a gas jar.  Cover the gas jar so that gas produced does not escape.  Remove spoon after sometime, add a small quantity of water.  Shake it well. Sulphur solution is ready.  Test it with red and blue litmus papers.  It turns blue litmus paper red. Hence it is acidic in nature."
12,Q. 3. What do you understand by displace-ment reactions ? What happens when copper sulphate reacts with zinc ? Explain this reaction also.,"Ans. When a more reactive element replaces a less reactive element or molecule from its salt, such reactions are called displacement reactions. These reactions can be well explained in metals. When in copper sulphate solution zinc granules are added, the blue colour of copper sulphate disappears and a powdery red mass of copper is deposited at the bottom of the beaker. The reaction can be represented as follows : CuSO4 + Zn  ZnSO4 + Cu    Red cupper CuSO 4  CuSO4 Zinc granules Colourless Zinc sulphate solutions"
13,Q. 4. Write three important uses of non-metals.,Ans. Important uses of non-metals.  Non-metals are essential for our life as all living beings inhale Oxygen and breathe out carbon dioxide during breathing.  They are used in fertilizers to enhance the growth of plants.  Non-metal is used in the purple coloured solution that is applied on wounds as an antiseptic.  Non-metals are used in crackers. 
14,Q. 5. How are acids and bases formed ?,"Ans. Acids—Acids are formed when non-metals react with oxygen and form non-metallic oxides. These oxides when dissolved in water, form acids, e.g., O2  SO2   (Sulphur dioxide) SO2 + H2O  H2SO3 (Sulphur  (Sulphurous dioxide) acid) Bases—Bases are formed when metals react with oxygen and form metallic oxides. These oxides when dissolved in water, form bases, e.g., 2Na + O2  Na2O    Na2O + H2O  2NaOH  (Sodium oxide) hydroxide)"
15,Q. 6. Discuss all the physical properties of metals.,Ans. Physical Properties of Metals :  Metals are good conductors of heat and electricity.  Metals are malleable and ductile.  They are lustrous and can be polished.  Generally they are solid at room temperature except mercury.  Metals generally have high melting and boiling points. 
