questions,answers
How do some micro-organisms clean up the environment ?,Some micro-organisms decompose the organic waste and dead plants and animals into simple substance and clean up the environment.
What is the basis of the use of yeast in the baking industry ?,Yeast reproduces rapidly and produces carbon dioxide during respiration. Bubbles of gas fill the dough and increase its volume. This is the basis of the use of yeast in baking industry.
What are communicable diseases ?,"Microbial diseases that can spread from an infected person to a healthy person through air, water food or physical contact, are called communicable diseases. e.g. cholera, common cold etc."
What are general preventive measures to protect ourselves from cholera ?,To prevent ourselves from cholera we should maintain personal hygiene and good sanitary habits. 
How are micro-organisms useful for commercial productions ?,"Micro-organisms are commercially used for the large scale production of alcohol, wine and acetic acid. Yeast is commonly used for commercial production of wine and alcohol."
Who discovered the first antibiotic ? Name any two antibiotics.,Alexander Fleming discovered first antibiotic penicillin. Two other common antibiotics are streptomycin and tetracycline.
Why are vaccines so important for children ?,"By introducing vaccine in body, the body fights and kills the bacteria by producing suitable antibodies. The antibodies remain in the body and the child is protected from the disease causing microbes."
How common cold spreads from infected person to a healthy person ?,"When a person suffering from common cold sneezes, fine droplets of moisture carrying thousands of viruses are spread in the air. The virus may enter the body of a healthy person while breathing. MICRO-ORGANISMS : FRIEND AND FOE"
Name one viral and one fungal disease in plants.,Viral disease : Yellow vein mosaic of Bhindi . Fungal disease : Rust of wheat.
How housefly makes us sick ?,Housefly is a carrier of disease-causing microbes. The flies sit on the garbage and animal excreta. Pathogens stick to their bodies. When these flies sit on uncovered food they may transfer these pathogens. Whoever eats this contaminated food is likely to get sick. 3
Who discovered the bacterium Bacillus anthracis ? Which disease can be caused by it ? Is it harmful ?,"Robert Koch  discovered the bacterium Bacillus anthracis, which causes anthrax disease. It is dangerous for human and cattle both."
Why are salt and edible oils also called preservatives ? Name two chemicals that are used as common preservatives.,Salt and edible oils are the common chemicals generally used to check the growth of microorganism. Sodium benzoate and metadisulphate are common preservatives. 
Draw structure of virus and amoeba.,Virus : 
We often see large amount of dead organic matter in the form of decaying matter. Where do they disappear after sometime ?,The dead organic matter disappears after sometime because the micro-oganisms decompose dead organic waste of plants and animals into simple substances. They are again used by other plants and animals.
Give preventive measures for Tuberculosis.,Tuberculosis is a bacterial disease for prevention from this diseases we should :  keep the patient in complete isolation.  keep the personal belongings of the patient away from those of the other.  Vaccination should be given at suitable age. 
Explain the various shapes of bacteria.,The bacteria are classified into three types on the basis of their shape :  Rod shaped  : Example : Lactobacillus Fig. Rod shaped   Round shaped  : Example : Streptococcus Fig. Round shaped   Spiral shaped Example : Treponema Fig. Spiral shaped Pseudopods Cytoplasm Food being engulfed by pseudopods Food vacuole  Fig. Amoeba 
