questions,answers
Name the plastid which gives red colour to tomato and purple colour to brinjal. ,Chromoplast.
What is the primary function of leucoplasts ? ,"They store starch, oils, protein granules.  1"
Who discovered cell ? ,Rober Hooke.  1
Expand ATP. Where it is produced ?  1 Mark each,Adenosine Triphosphate. It is produced in mitochondria.  ½+½
Name the process through which an amoeba acquires its food from the external environment. ,The process through which an amoeba acquires its food from the external environment is endocytosis.  1
State the significance of membrane biogenesis.  ,The smooth endoplasmic reticulum helps in the manufacture of fats or lipids important for cell function and building cell membrane. CELL — A BASIC UNIT OF LIFE
Identify the cell organelle which is known as the power house of the cell. State reason.  ,Mitochondria; as energy is released from it. ½ + ½
Name the cell organelle that is commonly termed as suicidal bags of the cell.  ,Lysosomes.
State the function of chromosome in a cell. ,Chromosome is the carrier of genetic information.  1
Name the cell organelle which you would associate with elimination of old and worn out cells. ,Lysosomes.  1
Name two cell organelles that contain their own genetic material. ,Mitochondria and chloroplast. 
Identify and name the following cell structures :  The undefined nuclear region of prokaryotic cell.  Site of energy release inside the cell. , Nucleoid  Mitochondria. 
"When a living plant cell loses water through osmosis, there is contraction of the contents of the cell away from the cell wall. What is this phenomenon called ? ",Plasmolysis.  1
Mention the change in human red blood cells when they are placed in hypotonic salt / sugar solution. ,They will respectively shrink or burst. 
Name the main constituent substance present in plant cell wall and state its function. ,Cellulose. It provides structural strength to plant.  ½ + ½
Name the kind of plastid which is important for photosynthesis in leaves of the plants. ,Chloroplast.  1
Name the cell organelle that detoxifies poisons and drugs into liver of vertebrates. ,Smooth Endoplasmic Reticulum. 
Name two cell organelles having doublemembrane envelope. ,Chloroplast and mitochondria. 
Name any two materials stored in leucoplasts. ,Starch/oils/protein granule.  ½ + ½ 
A de-shelled egg is placed in a concentrated salt solution and observed after five minutes. What change takes place ? ,The egg shrinks. 
Name the cell organelle which is associated with protein synthesis. ,Ribosomes.  1
Name two components of chromosomes. ,Proteins and DNA. 
List the constituents of plasma membrane. ,Lipids and Proteins. 
Name the organelle which has membrane bound sac filled with powerful digestive enzymes. ,Lysosomes.  1
"Identify the single celled organisms from the following : Cockroach, Chlamydomonas, snake, mosquito, bacteria. ",Chlamydomonas and bacteria. 
"Name :  the cells which have changing shape,  the cells which have a typical shape. "," Amoeba,  Nerve cell. "
Name the plastid involved in conversion of a green brinjal to violet. ,Chromoplast.  1
Name the process through which an Amoeba acquires its food from the external environment. ,Endocytosis.  1
Name the cell organelle responsible for intracellular transport.,Endoplasmic Reticulum. 
Name the functional unit of DNA that carries genetic information. ,Genes.  1
What will happen if chloroplast is taken out of the cell and illuminated ? ,Chloroplast is a semiautonomous cell organelle which on illumination can perform its function of photosynthesis and release oxygen even outside the cell provided it is kept in isotonic medium and receive raw material of carbon dioxide.
Is there any animal cell that lacks lysosomes ? ,Mammalian RBCs  lack lysosomes.
Plant cells have large vacuoles each surrounded by a membrane. What is the name of this membrane? ,The membrane that surrounds the vacuole is called tonoplast. The vacuole contains cell sap in it.
