questions,answers
Give two reasons as to why there is tremendous scope to develop fisheries in India. ,There is good scope for fisheries in India because :  India has 1·6 million hectares of inland water bodies.  Its coastline is 7500 km long.
"Chicken A is  exposed to very bright sunlight, chicken B is kept inside a dark building whereas chicken C is kept in a well-lit building. Which chicken will have maximum laying output ? ",Chicken C will have maximum laying output. This is because it is exposed to moderate sunlight. Moderate light intensity and duration has a favourable effect on the egg laying output of the hens.
Give two advantages of Holstein-Friesian over the Red Sindhi. ,Advantages of Holstein-Friesian over the Red Sindhi are :  Average milk production is more.  Lactation periods extend throughout the year.
The production of food from animal sources has increased in the last few decades. Justify. ," Improved varieties and cross-breeds have been developed,  Proper health and disease control have also improved the yield."
"Why are wrestlers and sportsmen recommended to have egg, meat and fish as a part of their diet ? ","Sportsmen and wrestlers are recommended to have egg, meat and fish as a part of their diet because these contain high amounts of protein which is essential for growth and development of muscles.2 2 Marks each"
Match the following :  1. White leghorn a. Meat yielding Poultry 2. Karan Swiss b. Egg Laying Poultry 3. Murrah c. Buffalo 4. Aseel d. Exotic Breed of Cow,"1. – b, 2. – d, 3. – c, 4. – a."
How can you classify the practices involved in improving crop yields ? ,"We can divide the practices involved in farming into three stages. The first is the choice of seeds for planting. The second is the nurturing of the crop plants. The third is the protection of the growing and harvested crops from loss. Thus, the major groups of activities for improving crop yields can be classified as : – Crop variety improvement – Crop production improvement – Crop protection management."
Why according to you is animal husbandry essential ? ,"Animal husbandry is essential because of the following reasons :  To increase milk production, which automatically fulfils the need of the growing population. It also increases the production of various milk products like butter and cheese.  To increase egg and meat production, which are highly nutritious.  To increase fish production.  For the proper utilization of animals wastes."
Define livestock. ,"Livestock includes domesticated animals like cows, buffaloes, sheep, goats, pigs, horses, etc. which are reared for financial gain. Out of all the livestock animals, cow and buffalo are the most important. These are not only used in agricultural operations and transportation, but they also provide milk, meat, hides, dung manure and fuel ."
Define Animal husbandry. Why livestock production needs to be improved ? ,"Animal husbandry can be defined as the science of rearing, feeding, caring, breeding and utilisation of animals. Needs of improving livestock production :  It is required to meet the increasing demands of animal based goods like milk. meat, egg, leather etc.  Animal husbandry sets guidelines for proper management and systematic approach to animal rearing.  It also helps in proper utilisation of animal wastes like animal dung."
List any three management practices while designing a shelter for cattle. ,"Layers are the birds, reared for egg production. Limestone is added in their diet to form the shell of eggs Other example : Proteins and roughage  1 + 1 + 1"
Define macro nutrients and micro nutrients? Write one example of each. ,"Macronutrients are nutrients required in large quantity. e.g., nitrogen. Micronutrients are nutrients required in small quantity. e.g., boron.  1½ + 1½"
Cattles are fed with roughage and concentrates. Why ? Which feed additives are added in the cattle field apart from nutrients ? ,Roughage – to provide fibres. Concentrates – to provide proteins and other nutrients. Food additives – micronutrients to promote health and milk output of dairy animals. 
Name the environmental factors related to cultivation practices and crop yield. Explain how they are related to crop yield. ," Weather : Climatic conditions should be favourable for the growth of crops, like duration of sunlight, temperature, rainfall etc.  Soil Quality : All plants require nutrients for their growth. Soil acts as a medium. Soil should be rich in nutrients and should have a balanced pH for the growth of the crops.  Availability of Water : Irrigation should be proper for the better production of crops."
