,questions,answers
0,"Q. 1. Explain measures any three taken in order to resolve the environmental problem in London.  [Board Term 1, 2015 Set-C5JWEVD]","Ans.		(i) Shopkeepers, homeowners and others complained about the black for the that descended on their towns causing bad tempers, smoke-related illness and dirty clothes. (ii) By the 1840s, a towns such as Derby, Leeds and Manchester had laws to. (iii) Control smoke in the city. (iv) Smoke abatement Acts of 1847 and 1853 were important measures taken in order to resolve the problem, but the factory workers rarely followed rules sincerely and the problem continued. (Any three)  (CBSE Marking Scheme, 2012)"
1,"Q. 2. Highlight any three changes that took place in London between the two world wars.  [Board Term 1, 2015 Set-C5JWEVD]","Ans.		(i) Between the two world wars the responsibility for housing the working classes was accepted by the British state. (ii) A million of single family cottages were built by Local authorities. (iii) The city had extended beyond the range where people could walk to work. (iv) New forms of mass transports were introduced.  (Any three) 1×3=3  (CBSE Marking Scheme, 2015)"
2,"Q. 3. Explain any three historical processes that have shaped London in decisive ways.  [School of Yavatmal, 2015]  1 mark each 3 marks each","Ans. 3 historical processes have shaped modern cities namely : (i) Rise of industrial capitalism, (ii) The establishment of colonial rule over large parts of the world. (iii) Development of democratic ideals. 1× 3 = 3"
3,"Q. 4. Describe the life of children as depicted in Andrew Mearn’s famous book “The Bitter Cry of Outcast London.”  [Board Term 1, 2014 (WQ7FXWC)]","Ans. (i) Andrew Mearn’s showed why crime was more profitable than labouring in small underpaid factories. (ii) A child of seven years old is easily known to make 10 shillings 6 pence a week from thieving. (iii) Before he can gain as much as a young thief (a boy) he must make 56 gross of matchboxes a week or 1,296 a day. (iv) It was only after the passage of the Compulsory Elementary Education Act in 1870 and the Factory Acts beginning from 1902, that children were kept out of industrial work. (Any three) 1×3=3"
4,"Q. 5. How did air pollution become a nuisance for the Londoners. What steps were taken to solve the problem ? [Board Term 1, 2014 (X30T4XE)] Or 		State any three steps taken to clean up London.  [Board Term 1, DDE-2014] Or 		Describe various steps which were taken to clean up London.[Board Term 1, KVS-2014, 2012 (38, 52),  2011 (5800, 13, 17, 28, 44), 2010 (B2)]  28 ]  Oswaal CBSE (CCE) Question Bank (Term-1), SOCIAL SCIENCE, Class – 10 ","Ans. (i) Large quantities of refuge and waste products polluted air and water. (ii) Widespread use of coal in homes and industries in 19th century England raised serious problems. (iii) In industrial cities such as Leeds, Bradford and Manchester, hundreds of factory chimneys emitted smoke, causing smoke-related illnesses, dirty clothes and bad tempers. (Any two) (i)  (ii) (iii) (iv)  The steps taken to clean up London were : Attempts were made to decongest localities, green the open spaces, reduce pollution and landscape the city. Large blocks of apartments were built like those in Berlin and in New York. Rent control was introduced in Britain during the First World War. Demands were made for new ‘lungs’ for the city and some attempts were made to bridge the countryside through ideas as the Green Belt around London. (Any three) 1×3=3 (CBSE Marking Scheme, 2012) "
5,"Q. 6. Explain any three reasons for the increasing concern for the London poor during the nineteenth century. [Board Term 1, 2014 (R9UJGYG)]",Ans. (i) The poor and filthy living conditions of one room houses which posed a serious threat to public health. (ii) There was danger of fire hazards. (iii) There was also a fear of social disorder or rebellion by the workers especially after the Russian Revolution in 1917. 1×3=3
6,"Q. 7. How was the family life transformed in the industrial city during the 18th century.   [Board Term 1, DDE-2014] ",Ans. ‘Family’ as an institution underwent a social change due to industrialization. (i) Ties between members of household were loosened and the institution of marriage tended to break down among the working class families. (ii) Women lost their jobs due to machines. (iii) Rich upper class women lived easier lives as they were served by domestic maids who made their work easier. 1×3=3
7,"Q. 8. What is meant by tenement ?   [Board 2013, Term 1, BHTK] ","Ans. (i) A tenement is run-down and often over crowded apartment house especially in a poor section of large city. (ii) In the 19th century, more and more people began crowding into American cities including thousands of newly arrived immigrants seeking a better life. The population got doubled every decade from 1800 to 1880 in New York city. This led to the division of single family dwellings into multiple living spaces to accommodate the growing population.  (iii) These narrow low-rise apartment buildings also known as tenements were too often cramped, poorly built and lacked indoor plumbing and proper ventillation. (iv) A full two-third of the New York city population was living in the tenement in 1900. (Any three) (CBSE Marking Scheme, 2013) 1×3=3"
8,"Q. 9. Who are Philanthropists ? Explain any two steps taken to control crime in London in the 1870s.  [Board Term 1, 2012 (37)]","Ans. (i) The group of the people who work for social upliftment and charity, donating time and money for the purpose are called philanthropists. (ii) Steps taken to control crime were :  (a) The authorities imposed high penalties for crime.  (b) They offered work to the deserving poor.   (CBSE Marking Scheme, 2012) 1+2=3"
9,"Q. 10. How did London become a powerful magnet for the migrant population ? Explain.  [Board Term 1, 2012 (46)]","Ans. (i) London became a powerful magnet for migrant population since it offered employment opportunities. (ii) London dockyard housed a large number of porters, traders and people in the shipping line. (iii) Major industries as clothing, footwear, metal, engineering, etc., attracted labour from outside. (iv) Being capital city also, it attracted people. (Any three) 1×3=3 (CBSE Marking Scheme, 2012)"
