,questions,answers
0,"Q. 1. Why did the Roman Catholic Church begin to keep an Index of prohibited books from the mid 16th century ? [Board Term 1, 2015, 6AP67LB]  [Board 2013 (5533K), 2012 Term 1(47)] 3 marks each","Ans.		(i) Printed religious literature stimulated a variety of interpretations of faith, even among the little educated working class in the early 16th century.  40 ]  Oswaal CBSE (CCE) Question Bank (Term-1), SOCIAL SCIENCE, Class – 10  (ii) Menocchio, an Italian miller, reinterpreted the Bible in a way that enraged the Roman Catholic Church. (iii) Such instances worried the Church about people reading the various interpretations of the religion and questioning the Church. (iv) Hence, it imposed severe controls over publishers and booksellers and began maintaining an index of prohibited books. (Any three) 1 × 3 = 3 (CBSE Marking Scheme, 2015) 1"
1,"Q. 2. In which three way did the printed books at first closely resembled the written manuscripts ?  [Board Term 1, 2015, Set-C5JWEVD]","Ans.		(i) Appearance and layout resembled the written manuscripts. (ii) Metal letters imitated the ornamented hand written styles. (iii) Borders were illuminated. (iv) Space for decoration was kept blank. (Any three) (CBSE Marking Scheme, 2015) 1 × 3 = 3"
2,"Q. 3. Who was Manocchio ? Mention any two contributions of him in the field of print culture in the sixteenth century.  [Board Term 1, 2015, Set-C5JWEVD]","Ans.		(i) In the sixteenth century, Menocchio, a miller in Italy, began to read books that were available in his locality. (ii) He reinterpreted the message of the Bible and formulated a view of God and Creation that enraged the Roman Catholic Church. (iii) When the Roman Church began its inquisition to repress heretical ideas, Menocchio was hauled up twice and ultimately executed. (iv) The Roman Church, troubled by such effects of popular readings and questioning of faith, imposed server controls over publishers and booksellers and began to maintain an Index of Prohibited Books from 1558. (Any three)  (CBSE Marking Scheme, 2015) 1"
3,"Q. 4. Explain the reasons favouring shift from hand printing to mechanical printing in China. [DDE-2015, Set E] 			 [Board Term 1, 2014 (R9UJGYG), (WQ7FXWC)] Or 		Explain the different stages of development of printing technology in China.  [Board Term-1 2012, SS2-61]","Ans. (i) From 594 A.D. the books were printed in China by rubbing paper against the inked surface of woodblocks. (ii) The imperial court got many textbooks printed for the civil services examination and remained the targets user of printed books in China. (iii) By the 17th century urban culture developed in China and it added merchants, wives of rich men, scholars and officials who not only started reading printed books but also began to write their autobiographies. (iv) In the late 19th century the western powers established mechanical printing press in Shanghai and shifted to mechanical printing. (CBSE Marking Scheme, 2012) 3  Detailed Answer : The reasons favouring shift from hand printing to mechanical printing in China are : (i) Textbooks of Civil Service Examination were printed in vast numbers under the sponsorship of the imperial state. From the sixteenth century, the number of examination candidates went up and that increased the volume of print. (ii) By the seventeenth century, print was no longer used just by scholar officials. Merchants used print in their everyday life, as they collected trade information. (iii) Reading increasingly became a leisure activity. The new readership preferred fictional narratives, poetry, autobiographies, anthologies of literary masterpieces, and romantic plays. (iv) Rich woman began to read, and many woman began publishing their poetry and plays. Wives of scholar-officials published their works and courtesans wrote about their lives. The new reading culture was accompanied by a new technology. Western printing techniques and mechanical presses were imported in China and Shanghai became the new hub of the new print culture.  (Any three) 1 × 3 = 3"
4,"Q. 5. ‘With the printing press a new public emerged in Europe’. Justify the statement.  [Board Term 1, 2015 Set-XOKG25B]",Ans. Refer to Answer of Long Question No. 6
5,"Q. 6. What led the colonial government to pass the Vernacular Press Act in 1878 ? How did it affect the Vernacular newspapers ?  [Board Term 1, KVS-2014] Or 		Why was Vernacular Press Act passed ? Explain about this Act. [Board Term 1, 2015, XOKG25B]","Ans. (i) The Vernacular Press Act was passed because the Vernacular newspapers were assertively nationalist. They openly criticized and debated the government policies. (ii) The Vernacular Press Act of 1878 was passed which empowered the government to censor reports and editorials. (iii) Government kept a regular tract of Vernacular newspapers. If a report was judged seditious, the newspaper was warned and if warning was ignored appropriate actions were taken. 1×3=3"
6,"Q. 7. What is meant by the print revolution ? Explain its significance. [Board Term 1, 2014 (R9UJGYG),  (WQ7FXWC)]","Ans. With the invention of printing press, the printing of books started at a large scale. It was called the Print Revolution. 		Significance : (i) With the printing press, a new reading public emerged. (ii) Printing reduced the cost of books. (iii) Books flooded the market, reaching out to an evergrowing readership. (Any two) 1 + 2 = 3"
7,"Q. 8. Highlight any three circumstances that led to the intermingling of the hearing culture and the reading culture.  [Board Term 1, 2014 (X30T4XE)] Or  Describe any three circumstances that intermingled the hearing culture and reading culture. 		[Board Term 1, 2012 (35), 2011 (5800 11, 12, 29, 40)]  PRINT CULTURE AND THE MODERN WORLD ","Ans. (i) The rate of literacy was very low in Europe till the end of the 20th century. In order to attract people towards books, the printers started printing popular ballads and folk tales with lot of illustration. (ii) Such books were recited at gatherings and it attracted listeners. (iii) Thus the oral culture was printed and printed material was orally transmitted. That’s how oral and reading culture intermingled. (CBSE Marking Scheme, 2012) 1×3=3"
8,"Q. 9. Highlight any three innovations which have improved the printing technology from 19th century onwards. [Board Term 1, 2014 (X30T4XE)] Or 		 Write any three innovations in printing technology in the 19th century and 20th century Europe ?  [Board Term 1, 2011 (5800, 17, 34, 39, 42)]","Ans. (i) By the mid-19th century, Richard M. Hoe of New York had perfected the power driven cylindrical press. This was capable of printing 8,000 sheets per hour. This press was particularly useful for printing newspaper. (ii) In the late 19th century, the offset press was developed which would print up to six colours at a time. (iii) From the turn of the 20th century, electricallyoperated presses accelerated the printing operations. (iv) Methods of feeding paper improved, the quality of plates became better, automatic paper reels and photoelectric controls of the colour register were introduced. (v) The dust cover or the book jackets were introduced. (Any three) 1×3=3"
9,"Q. 10. How did Johann Gutenberg developed the first printing press ?  [Board Term 1, KVS-2014, DDE-2014]","Ans. From his childhood, Gutenberg had seen wine and olive presses. Subsequently, he learnt the art of polishing stones, became a master goldsmith, and also acquired the expertise to create lead moulds used for making trinkets. Drawing on this knowledge, Gutenberg adapted existing technology to design his innovation. The olive press provided the model for the printing press, and moulds were used for casting the metal types for the letters of the alphabet. By 1448, Gutenberg perfected the system. The first book printed by him was the Bible. About 180 copies were printed and it took three years to produce them. By the standards of time this was fast production. (Any three) 1 × 3 = 3"
10,"Q. 11. How did the print popularize at the ideas of the enlightened thinkers ? Explain.  (Board Term 1, DDE-2014) Or 		How did print help to spread new ideas the led to the Reformation in Europe ?  [Board Term 1, 2011 (5800, 26)]  [ 41","Ans. (i) In 1517, the religious reformer Martin Luther wrote ‘Ninety Five Theses’ criticising many of the practices and rituals of the Roman Catholic Church. (ii) Due to writings of Martin Luther, the church got divided and a new protestant reformation had started. (iii) Several scholars, infact think that print brought about a new intellectual atmosphere and helped spread the new ideas that led to reformation.  1×3=3"
11,"Q. 12. Where was the earliest kind of print technology developed ? Explain that technology.  [Board Term 1, NCT-2014]","Ans. (i) The earliest kind of print technology was developed in China. This was a system of hand printing. (ii) From 594 A.D. onwards, books in China were printed by rubbing paper against the inked surface. (iii) As both sides of the thin and porous sheet could not be printed, the traditional Chinese ‘Accordion book’ was folded and stitched at the side. (iv) Superbly skilled craftsmen could duplicate it with remarkable accuracy which is the beauty of calligraphy. (Any three) 1×3=3"
12,"Q. 13. Why did James Augustus Hickey claim that the Bengal Gazette was ‘a commercial paper open to all but influenced by none’ ? Explain.  [Board Term 1, 2012 (34)]","Ans. (i) It was a private English weekly magazine in India independent from colonial influence. (ii) Hickey not only published a lot of advertisement including the import and sale of slaves but also published lots of gossip about the company’s senior officials in India. (iii) Governor General Warren persecuted Hickey and encouraged government sanctioned newspapers. 1×3=3 (CBSE Marking Scheme, 2012)"
13,"Q. 14. What was an “accordion book” ? Describe any two features of hand printing in China.  [Board Term 1, 2012 (38)] Or 		Explain any three features of Chinese ‘accordion book’. [Board Term 1, 2011 (5800, 23)]","Ans.		'Accordion book' is a traditional chinese book, folded and stitched at the side. (i) Chinese Accordion books were handprinted. They were printed by rubbing paper against the inked surface of wooden blocks. (ii) As both sides of the thin, porous sheet would not be printed, the traditional chinese ‘Accordion book’ was folded and stitched at the side. (iii) These accordion books could be duplicated by superbly-skilled craftsmen with remarkable accuracy and the beauty of calligraphy.  (CBSE Marking Scheme, 2012) 1 × 3 = 3"
14,"Q. 15. How did new forms of popular literature appear in print targeting new audience in the 18th century? Explain with examples. [Board Term 1, 2012 (33)]  42 ]  Oswaal CBSE (CCE) Question Bank (Term-1), SOCIAL SCIENCE, Class – 10 ","Ans. (i) There were almanacs along with ballads and folktales. In England, Chap books were carried by petty Pedlars known as chapman and sold for a penny. (ii) Biliotheque Bleue were low-priced books sold in France. (iii) There were the romances printed on four to six pages and the more substantial ‘Histories’ which were stories of past. 1×3=3 (CBSE Marking Scheme, 2012)"
15,"Q. 16. How did the printers manage to attract the people, largely illiterate, towards printed books ?  [Board Term 1, 2012 (45)]","Ans. (i) To attract people, the printers started printing popular ballads and folk tales. (ii) To attract people books had been incorporated with lots of illustrations. (iii) Ballads and folk tales were sung and recited to the people in gatherings in the villages. 1×3=3"
16,"Q. 17. How did Gutenberg personalise the printed books ? Explain. [Board Term 1, 2012 (46)]","Ans. (i) Borders were illuminated by hand with foliage and other patterns. (ii) Books printed for rich had blank space left for decoration. (iii) Each buyer could choose the design. (iv) Verses were highlighted with hand with colours. (Any three) (CBSE Marking Scheme, 2012) 1×3=3"
17,"Q. 18. How did print introduce debate and discussion ? Explain in three points. 		[Board Term 1, 2012 (49), 2011 (5800 11, 13, 17, 42)]","Ans. (i) Print was used to criticize existing practices. Through print, people could be persuaded to think differently. (ii) Even those who disagreed with established authorities could now print and circulate their ideas. It shaped new ideas and debates and new ideas emerged from clashes. (iii) The religious reformer Martin Luther wrote ninety five theses criticising many of the practices and rituals of the Roman Catholic Church. He challenged the Church to debate his ideas. (iv) Muslims used print to check conversions. (v) Hindus used print to encourage people to read the religious texts in vernacular. (Any three) (CBSE Marking Scheme, 2012) 1 × 3 = 3"
18,"Q. 19. Why did some people fear the effect of easily available printed book ? Give one example each from Europe and India ?  [Board Term 1, 2011 (5800 15, 22, 36, 45)]","Ans. Some people were feared by the effect of easily available printed books because rebellious and irreligious thoughts might spread and the authority of ‘valuable literature’ would be destroyed. (i) Europe : In 1517, the religious reformer Martin Luther wrote ninety five theses criticising many of the practices and rituals of the Roman Catholic church and challenged the church to debate his ideas.  (ii) India : An intense controversy between social and religious reformer and the Hindu orthodox was developed over matters such as widow immolation, monotheism, Brahmanical piothood and idolatry. 3"
19,"Q. 20. How did print come to Europe from China ? Explain. 			 [Board Term 1, 2011 (5800 15, 16, 22, 26, 36, 45)]","Ans. (i) Through silk route in the 11th century, Chinese paper reached Europe from China. Paper made possible the production of manuscripts which were, carefully written by scribes. (ii) In 1295 Marcopolo, a great explorer, returned to Italy after many years of exploration in China. He brought the knowledge of wood block printing from China and the Italians began producing books with wood blocks and soon the technology spread to the other parts of Europe. (iii) Religious preachers such as the Buddhists were also helpful in spreading this knowledge from China to Europe. 1×3=3"
20,"Q. 21. Describe the development of printing press after Gutenberg. [Board Term 1, 2011 (5800 16, 26, 46)]","Ans. (i) By 1448, Gutenberg perfected the system of printing press. The first book printed by Gutenberg was Bible. About 180 copies were printed and it took three years to produce them. (ii) In the hundred years between 1450 and 1550, printing presses were set up in most of the countries of Europe. (iii) Printers from Germany travelled to other countries, seeking work and helping start new presses. As the number of printing presses grew, book production boomed. (iv) The second half of the 15th century saw 20 million copies of printed books flooding in the European market. The number went up in the 16th century to about 200 million copies. (Any three) 1×3=3"
21,"Q. 22. Why did people in the eighteenth century Europe think that print culture would bring enlightenment and end despotism ?  [Board Term 1, 2011 (5800 18, 30, 40, 41)]","Ans. The people in the 18th century Europe thought that print culture would bring enlightenment and end despotism because : (i) Books became cheaper and helped the individuals to read which developed rational thinking, scientific outlook, liberalism and democratic ideas. (ii) The writings of the great philosophers like Thomas Paine, Rousseau and Voltaire spread the ideas of democracy and also exposed them to monarchial and church propaganda which finally helped to end despotism. (iii) The people were not influenced directly by everything they read or saw. They accepted some ideas and rejected others. They interpreted things in their own way. Print did not directly shape their minds, but it did open up the possibility of thinking differently. 1×3=3  PRINT CULTURE AND THE MODERN WORLD "
