,questions,answers
0,"Q. 1. What led the colonial government to pass the Vernacular Press Act in 1878 ? How did it affect the vernacular Newspaper ? [Board Term 1, 2015, Set-C5JWEVD]","Ans. (i) Nationalists in India used print media to publish the evil affects of British rule and spread new ideas. (ii) As vernacular newspapers became assertively nationalist, the colonial government decided to take strong measures. (iii) In 1878 the vernacular press act was passed which provided the government with intensive rights to censor reports and efitorials in the vernacular press. (iv) The government started keeping regular track on vernacular news papers. If it published some material which was considered to be seditious, the government seized the press and confiscated the printing machines. (v) Despite repressive measures nationalist newspapers grew in numbers in all parts of India. (CBSE Marking Scheme, 2015) 1×5=5"
1,"Q. 2. What was the attitude of liberal and conservative Indians towards women’s reading ? How did woman like Kailashbashini Debi respond to this in her writings ? [Board Term 1, 2012 (36)] Or 		Describe the attitude of liberal and conservative Indian’s towards women’s reading ?  PRINT CULTURE AND THE MODERN WORLD ","Ans. (i) Liberal husbands and fathers began educating their women folk at home and sent them to schools. (ii) Conservative Hindus believed that a literate girl would be widowed and Muslims feared that educated women would be corrupted by reading romantic books. Kailashbashini Debi wrote books highlighting the experiences of women-how women were imprisoned at home, kept in ignorance, forced to do hard domestic labour. 1½+1½+2=5 (CBSE Marking Scheme, 2012)"
2,"Q. 3. How were the manuscripts written in India before the age of print ? What were their drawbacks and effect ? (Board Term 1, NCT-2014)","Ans. (i) In India, manuscripts were written on palm leaves or on handmade paper before the age of print. (ii) Pages were sometimes beautifully illustrated. (iii) They would be either pressed between wooden covers or sewn together to ensure preservation. (iv) Manuscripts continued to be produced till well after the introduction of print, down to the late nineteenth century. (v) Manuscripts, however, were highly expensive and fragile. They had to be handled carefully and they could not be read easily as script was written in different styles. 1×5=5"
3,"Q. 4. “From the late 19th century, issues of caste discrimination began to be written about in many printed tracts and essays.” Support the statement by giving examples.   [Board Term 1, 2014 (WQ7FXWC)] Or  		How did issues of caste discrimination begin to write in many printed tracts and essays from the late nineteenth century ? Explain with examples.  [Board Term 1, 2013 (553K), 2012 (33, 37)]","Ans.		From 19th century, issues of caste discrimination began to be written. (i) Jyotiba Phule, the Maratha pioneer of low caste, started protest movement. He wrote about the injustice of the caste system in his Gulamgiri. (ii) B. R. Ambedkar in Maharashtra and E.V. Ramaswamy in Madras wrote powerfully on caste. Their writings were read by people all over India. (iii) Local protest movements and sets also created a lot of journals and tracts. (iv) Kashibaba millworker wrote and published ‘Chhote Aur Bade ka Sawal’. (v) Banglore cotton mill workers set up libraries to educate themselves. (vi) Workers were overburdened and lacked the education to write much. (Any five) 1×5=5 (CBSE Marking Scheme, 2013)  [ 47"
4,"Q. 5. Evaluate the role of print in connecting various communities in different parts of India.  [Board Term 1, 2014 (R9UJGYG)]","Ans. (i) In Bengal as the debate developed, tracts and newspapers proliferated, circulating a variety of arguments. (ii) To reach a wider audience, the ideas were printed in the everyday spoken language of ordinary people. (iii) Ram Mohan Roy published the ‘Sambad Kaumudi’ from 1821 and the Hindu orthodoxy commissioned the ‘Samachar Chandrika’ to oppose his opinion. (iv) A wider range of people could not participate in these public discussions and express their views. (v) New ideas emerged through these clashes of opinions. (vi) Newspapers conveyed news from one place to another, creating pan-Indian identities. (Any five) 1×5=5"
5,"Q. 6. Explain how print culture assisted the growth of Nationalism in India.  [Board Term 1, 2013 (BHTK), 2012 (58), 2011 (5800 11, 12, 17, 23, 28, 35, 38, 43, 44)] Or 		What was the contribution of print culture in the growth of nationalism in India ? How did the British attempt to check them ?  [Board Term 1, 2011 (5800 13)]","Ans.		Print culture, i.e., Press and literature played a crucial role in growth and spread of nationalism in India : (i) In the 19th century, huge quantity of national literature was created. Revolutionised minds of people inspired them to throw away the British yoke. (ii) India Mirror, Bombay Samachar, The Hindu, Kesari-Indian newspapers exerted deep imprint on the minds of people. (iii) Nationalist press reported on colonial misrule and encouraged nationalist activities. For example, when Punjab revolutionaries were deported in 1907, Balgangadhar Tilak wrote with great sympathy about them. (iv) Gandhiji spread his ideas of Swadeshi in a powerful way through newspaper. Many Vernacular newspapers came up in India to spread nationalism. British attempt to check them : (i) In the 1820s, the Calcutta Supreme Court passed regulations to control freedom of press. (ii) Vernacular Press Act provided government with extensive rights to censor reports and editorials in the Vernacular press. 3+2=5 (CBSE Marking Scheme, 2013)"
6,"Q. 7. How did the printed books of India attract the poor class as readers in the 19th century ? Explain.  [Board Term 1, 2012 (34)] Or 		What efforts were made to spread the benefits of print culture for the poor people in the 19th century India ? [Board Term 1, 2012 (56)  48 ]  Oswaal CBSE (CCE) Question Bank (Term-1), SOCIAL SCIENCE, Class – 10 ","Ans. Sources of Attraction : (i) Very cheap small books were brought to market in the 19th century. (ii) Public libraries were set up to give an easy access to books. (iii) Kashibaba of Kanpur published ‘Chhote Aur Bade ka Sawal’ where caste and class exploitation were linked. (iv) Sacchi Kavitayen, the poems of another Kanpur mill worker who wrote under the pen name of Sudarshan Chakra also attracted the mill workers towards reading printed books, since they could see their lives and sufferings reflected in such books. (v) Bombay and Bangalore Cotton mill workers set up libraries to educate themselves. These libraries were sponsored by social reformers. 1×5=5 (CBSE Marking Scheme, 2012)"
7,"Q. 8. What were the effects of the spread of print culture for poor people in 19th century India ? Describe.  [Board Term 1, 2012 (60) 2010 (B1)]","Ans.		Effects of Print culture on poor people : (i) Cheap small books were brought to the markets in Madras and were then sold. (ii) Public libraries were set up from early 20th century expanding the access to books. (iii) When issues to caste discrimination were written by Ambedkar, Jyotiba Phule, it was read by people. ‘Gulamgiri’ of Jyotiba Phule exposed the ill treatment to the low castes. (iv) Local protest movements and sects criticised ancient scriptures. (v) Workers in factories wrote and published to show links between caste and class explotation. (vi) Bangalore cotton mill workers set up libraries to educate themselves. (Any five) 1×5=5 (CBSE Marking Scheme, 2012) "
8,"Q. 9. “Printing press played a major role in shaping the Indian society of the 19th century.” Support the statement by giving examples.  [Board Term 1, 2012 (40)]","Ans.		The print culture had a significant impact on the growth of nationalism in India. (i) In spite of passing a Vernacular Press Act, nationalist newspapers grew in numbers. (ii) They reported on colonial misrule and encouraged nationalist activities. (iii) The British government tried to put down nationalised criticism but there were more protests. (iv) ‘Punjab revolutionaries were deported,’ Tilak wrote in Kesari. (v) It led his imprisonment in 1908 provoking terms of protest. 1×5=5 (CBSE Marking Scheme, 2012)"
9,"Q. 10. How did print culture affect the life of poor people and women in nineteenth century India ? Explain. [Board Term 1, 2012 (40)]","Ans. (i) The print culture gave birth to new forms of popular literature. Very small books were brought out. They were sold cross roads. The poor people brought these books and read with great interest. Books were cheap even the poor could afford to buy them. Public libraries were set up. (ii) The print culture made the women important, as readers as well as writers. Women’s reading increased enormously in middle class homes. Liberal husbands and fathers began educating their women folk at home and send them to schools. Women’s schools were set up.  (CBSE Marking Scheme, 2012) 2½+2½=5    5 "
