,questions,answers
0,"Q. 1. Why were women not educated in India in the early part of nineteenth century ? Give any two reasons. [Board Term 1, 2015 (6AP67LB)]","Ans. (i) This was because of the superstitions and myths that prevailed in the society. (ii) Conservation Hindus believed that a literate girl would be widowed and Muslims feared that educated women would be corrupted by reading Urdu romances.  (CBSE Marking Scheme, 2015) (1×3=3)"
1,"Q. 2. What is a Manuscript ? Why were they not used widely ? [Board Term 1, DDE-2015, Set-M]  [Board Term 1, 2012 (36, 40), 2011 				 (5800 12, 18, 22, 30, 33, 39, 41, 41), 2010 (B1)]","Ans. (i) Manuscripts were documents or books written by hand. (ii) They were not used widely because :  (a) They could not satisfy the ever increasing demand for books.  (b) They were expensive as copying was an expensive, laborious and time consuming business.  (c) Manuscripts were fragile, awkward to handle and could not be carried around or read easily.  (d) Their circulation was limited.   (Anytwo) 1+2=3   (CBSE Marking Scheme, 2012)"
2,"Q. 3. For what purpose did Ram Chaddha, publish ‘Istri Dharm Vichar’ ? [Board Term 1, 2015, School of Yavatmal, 2015]","Ans. (i) In Punjab, a similar folk literature about discussing women issues was widely printed from the early 20th century. (ii) Ram Chaddha published the fast selling ‘Istri Dharm Vichar’ to teach women how to be obedient wives. 1½ + 1½ = 3"
3,"Q. 4. What restrictions were imposed by the Vernacular Press Act on the Indian Press ? Explain.  [Board Term 1, 2011 (5800 15, 20, 33, 36)] Or 		Why was Vernacular Press Act passed ? Explain about this Act.[Board Term 1, 2015, Set-XOK62SB]","Ans. (i) The Vernacular Press Act provided the government with extensive rights to censor reports and editorials in the vernacular press. (ii) The government kept regular track of the vernacular newspapers published in different provinces.  1  1  3 marks each (iii) When a report was judged as seditious, the newspaper was warned. (iv) If the warning was ignored, the press was liable to be seized and the printing machinery could be confiscated. (Any three) 1×3=3"
4,"Q. 5. Evaluate the efforts made by the British in India to impose censorship on the press.   [Board Term 1, 2013 (BHTK)] ","Ans. (i) By the 1820’s, the Calcutta Supreme Court passed certain regulations to control press freedom and the country began encouraging publication of newspapers that would celebrate British Rule. (ii) In 1835, faced with urgent petitions by editors of English and Vernacular newspapers, Governor general Bentick agreed to revise press laws. (iii) In 1878, the Vernacular Press Act was passed, modelled on the Irish Press Laws. It provided the government with extensive rights to censor reports and editorials in the Vernacular Press. From now the government kept regular track of the Vernacular newspaper published in different provinces. When a report was judged seditious, the newspaper was warned and if the warning was ignored, the press was liable to be seized and the printing machinery could be confiscated. 1×3=3 (CBSE Marking Scheme, 2013)"
5,"Q. 6. Why did the attitude of the colonial Government towards the freedom of the press change after the revolt of 1857 ? What repressive measures were put into place ? [Board Term 1, 2012 (51)]","Ans.		After the revolt of 1857, the attitude to freedom of press changed. Enraged English officials clamped down the native press because of their nationalists activities. (i) In 1878, the Vernacular Press Act was passed. It provided the government extensive rights to censor reports. (ii) The government kept regular track of the Vernacular newspaper, when a report was judged as seditious the newspaper was warned, the press was liable to be seized and machinery could be confiscated. 1×3=3 (CBSE Marking Scheme, 2012)"
6,"Q. 7. Examine the role of missionaries in the growth of press in India. [Board Term 1, 2012 (55)]  46 ]  Oswaal CBSE (CCE) Question Bank (Term-1), SOCIAL SCIENCE, Class – 10 ","Ans.(i) The printing press first came to Goa in Western India through Portuguese missionaries in mid 16th century. (ii) Jesuit priest learnt Konkani and printed several texts and nearly 50 books were printed in Konkani. (iii) Catholic priests printed the first Tamil book in 1579 at Cochin. (iv) The first Malayalam book was printed in 1713. (v) The Dutch Protestant missionaries had printed 32 Tamil texts. (Any three) 1×3=3 (CBSE Marking Scheme, 2012)"
7,"Q. 8. Explain the new visual culture in print which developed in the nineteenth century. 				 [Board Term 1, 2012 (58), 2011 (5800 11, 43)]","Ans. (i) With the setting up of an increasing number of printing presses, visual images could be easily reproduced in multiple copies. (ii) Painters like Raja Ravi Verma produced images for mass circulation. (iii) Cheap prints and calendars were easily available in the bazaar. By the 1870s, caricatures and cartoons were also being published in Journals and newspapers commenting on social and political issues. 1×3=3 (CBSE Marking Scheme, 2012)"
8,"Q. 9. Describe any three methods by which printed books became more accessible to common people. [Board Term 1, 2012 (60)]","Ans.		Three methods by which printed books became more accessible to common people : (i) Very cheap books were brought in Madras town and sold on the cross roads, allowing poor people travelling to markets to buy them. (ii) Mill workers set up libraries, e.g., in Bombay. (iii) Libraries were located mostly in cities and in prosperous villages. 1×3=3 (CBSE Marking Scheme, 2012) "
9,"Q. 10. Explain the role of print in the religious reforms in India. [Board Term 1, 2011 (5800, 24, 28, 35)]","Ans. (i) From the early 19th century, there were intense debates around religious issues. Different groups confronted the changes happening within colonial society in different ways and offered a variety of new interpretations of the beliefs of different religions. (ii) Some criticised existing practices and campaigned for reform, while others countered the arguments of reformers. These debates were carried out in public and in print. (iii) Printed tracts and newspaper not only spread the new ideas, but they shaped the nature of the debate. (iv) A wider public could now participate in these public discussions and express their views. New ideas emerged through these clashes of opinions. (Any three) 1×3=3"
