,questions,answers
0,"Q. 1. What did political leaders and reformers like Jyotiba Phule, Gandhiji, B.R. Ambedker and Periyar Ramaswamy opposed ?  [Board Term 1, 2015, Set-C5JWEVD]","Ans. Discrimination against the outcaste groups, caste inequalities. 1"
1,Q. 2. Who wrote her autobiography ‘Amar Jiban’ published in 1876 ?,Ans. Rash Sundari Debi. 1
2,Q. 3. When did the first printing press come to India ?,Ans. In the middle of the 16th century. 1  1 mark each 
3,Q. 4. Name the first weekly paper published in India.,Ans. Bengal Gazette. 1
4,Q. 5. Name the newspaper started by Bal Gangadhar Tilak.,Ans. Kesari. 1
5,Q. 6. The printing press was first introduced in India by Whom ?,Ans. Portuguese missionaries. 1
6,Q. 7. Which book reflects the light of the ‘lower castes’ and poor in India ?,"Ans. Gulamgiri, Chhote aur Bade ka Sawal and Sacchi Kavitayan. 1  [ 45  PRINT CULTURE AND THE MODERN WORLD "
7,Q. 8. Why did the circulation of hand written manuscripts remain limited ?,Ans. Because they were fragile and awkward to handle. 1
8,"Q. 9. Which book published in the 19th and the 20th century, did not highlight the struggles of the downtrodden classes ? ",Ans. Istri Dharm Vichar. 
9,Q. 10. Who wrote about the injustices of the caste system in ‘Gulamgiri’ ?,Ans. Jyotiba Phule. 
