questions,answers
Define ‘Globalisation’.,"Globalisation is a process in which views, theories, ideologies and human values in one country affect the lives of other countries of the earth by flow and communication."
What are the types of flow there?,"Flow are of following types: (i) Flow of ideas from one place to another place of world, (ii) Flow of Capital for more than one year, (iii) Flow of commodity in many countries, (iv) Visit of people in different countries to earn livelihood."
List the factors responsible for globalisation.,(i) Development of Technologies. (ii) Awareness among the people of different parts of the world that they all are interconnected in one way or the other.
Awareness among the people of different parts of the world that they all are interconnected in one way or the other.,Benefits of Globalisation: 1. 2. 3. 4.  There is an increase in the volume of trade in goods and services. Inflow of private foreign capital gets enhanced. New jobs are created by MNCs. Improved production efficiency and healthy competition. (Any two points) 
What is ‘Social Safety Net’?,Social Safety Net is an institutional safeguard to minimise the negative effects of globalisation on those who are economically weak.
Define Cultural heterogenisation. ,Globalisation leads to each culture becoming more different and distinctive. This occurrence is known as cultural heterogenisation. This is not to deny that there remain  differences in power when cultures interact but instead more fundamentally to suggest that cultural exchange is rarely one way.
What are the arguments given by the supporters of economic globalisation?,"Supporters of economic globalisation believe that it enhances prosperity and ‘openness’, promotes happiness among public. It enables a country to perform better after its trade being promoted. This benefits the whole world. Advocates of globalisation say that economic globalisation is necessary and resisting the march of history is not a good idea."
What are the reasons for the promotion in trade of goods in world by globalisation?,1. Reduction in restriction imposed on imports by various countries. 2. Reduction in restriction on entry and exit of Capital.
What are the reasons for Globalisation resistance?,Following are the reasons for Globalisation resistance: 1. Globalisation make rich richer and poor poorer. 2. Traditional culture will be harmed and people will loose their age-old values and ways.
What is World Social Forum? What are its objectives? [CBSE (AI) 2009],"World Social Forum is a global platform, which brings together a wide coalition composed of human right activists, environmentalists, labours, youth and women activists. Their main objective is to oppose neo-liberal globalisation."
How have different social and pressure groups resisted against globalisation in India? ,"(a) Resistance to Globalisation has come from different sections and divisions of the society. There have been left wing protests to economic liberalisation, voiced through political parties as well as through forums like The Indian social Forum. (b) Trade unions of industrial work force as well those representing farmer interests have organised protests against the entry of multinationals.  "
