,questions,answers
0,Q.1. How was the power of state increased due to technology?,"Ans. State can collect information about its citizens with enhanced technology and with this information, the state is able to work better."
1,Q.2. How have investors been benefitted by globalisation?,"Ans. Now, as a result of globalisation, an investor can invest his money in any country."
2,Q.3. Why the planning for financial reforms started in 1991?,Ans. To overcome the financial crises and raise economical growth.
3,Q.4. Why did India adopt new economic policy after 1991?,"Ans. India adopt new economic policy after 1991 due to various reasons, such as rapid rise in prices, increasing budgetary deficit, decreasing exchange rate, increasing trade deficit and Balance of payment, etc."
4,Q.5. Why is globalisation called ‘Flow’?,"Ans. Conceptually, globalisation is called ‘flow’ because as goods are transferred from one place to another place by medium of flow, in the same way, it is linked with the flow or exchange of ideology, capital and people. The life of people are affected when an economically prosperous country invests its capital into another country. When developed countries of the world launch their goods produced on the basis of efficient technique, in different parts of the world then the people get affected due to their quality and reflection. In the same way, people move from one country to another in search of employment."
5,Q.6. How has enhanced technique affected globalisation? ,Ans. Enhanced technology has affected globalisation in the following ways: 1. Technology advances has revolutionised communication transport and Information Technique. 2. Means of communication; like Radio and Television integrated the whole world. 3. Means of communication removed physical distances. 4. Communication Technique like computer and internet eased globalisation.
6,Q.7. Define globalisation. How is it different from internationalisation?  [CBSE (AI) 2011],"Ans. Globalisation refers to create social relationship world wide in such a way that a small event in a different region affects the another event taking place in a far off region. Thus globalisation is a process in which the whole earth is termed as a ‘global village’ and socio-economic contacts are based on mutual cooperation.Globalisation is different from internationalisation: (i) Globalisation focuses to link its economy with that of other countries by liberalisation and adoption of new economic policy. It strictly opposes indifferent and trade obstacles. (ii) Globalisation focuses towards international brotherhood, international institution like—USSR, World Bank, human rights and problems related to environment along with cooperation at international level and to fight against terrorism by communication."
7,Q.8. Explain two economic consequences of globalisation. ,"Ans. Economic consequences are as follows: 1. The most economic consequences of economic globalisation is greater economic flows among different countries of the world. In economic globalisation, flow of capital, commodities and ideas take place at a very high speed. Globalisation has involved greater trade in commodities across the globe. Restrictions imposed by different countries on allowing the imports of other countries have been reduced, which has eased the expansion of trade at global level. Investment on capital has also become easy. Investors now can take more profit by investing in developing and economically backward countries. 2. Economic globalisation has created an intense division of opinion all over the world. Those who are concerned about social justice are worried about the extent of state withdrawal caused by processes of economic globalisation. They point out that it is likely to profit only a small section of the population while impoverishing those who are dependent on government for job and welfare (education, health, sanitation, etc.) They have emphasised the need to ensure institutional safeguards or creating ‘social safety nets’ to minimise the negative effects of the globalisation on those who are economically weak."
8,Q.9. Explain any four political consequences of globalisation.  Or Explain any two political consequences of Globalisation. ,"Ans. Political consequences of globalisation are as follows:  (i) Globalisation results in an erosion of state capacity, that is, the ability of government to do what they do. (ii) Old Welfare state is now giving way to a more minimalist state that performs certain core functions. (iii) State withdraws from many of its earlier welfare functions directed at economic and social well-being. In place of the welfare state, it is the market that becomes the prime determinant of economic and social priorities. (iv) The entry and the increased role of multinational companies all over the world leads to the reduction in the capacity of government to take decisions on their own. (Any two for II part)"
9,Q.10. ‘Welfare State is getting replaced by market.’ Analyse the reason for this change. ,Ans. Welfare state is being replaced by increasing trend of globalisation. Reasons for this change are: (i) Globalisation results in erosion of state capacity. (ii) Concept of state sovereignty is getting affected. (iii) It withdraws many welfare functions from the government. (Any two)
