questions,answers
Are only soldiers the targets of war?,"No, Quite often, ordinary men and women are made targets of war, to break their support to the war."
Who is the source of threats to the traditional conception of security?,"In the traditional conception of security, the source of danger is another country which by threatening military action endangers the core values of sovereignty, independence and territorial integrity."
With which countries a favourable balance of power is maintained?,"Mainly neighbouring countries. They do work hard to maintain a favourable balance of power with other countries, especially those close by, those with whom they have differences, or with those they have had conflict in the past."
Why is an alliance formed?,Alliance is formed between countries to coordinate their actions to deter or defend against military attack.
Why was attention not paid on internal security after the Second World War?,Most of the countries in the world were more or less assured about their internal security.
What is the view point of world towards war?,It is now an almost universally accepted view that countries should only go to war for the right reasons primarily self-defence or to protect other people from genocide.
Who are known as internally displaced people?,Those who are within the boundaries of a nation but have to leave their homes due to any reason are known as internally displaced people.
How are alliances changed due to change in nations’ interests? Explain with examples.,"US backed the Islamic militants in Afghanistan against Soviet Union in the 1980s, but later attacked Islamic militants when Al-Qaeda a group of Islamic militants led by Osama-bin-Laden—launched terrorist strikes against America on 11th Sept, 2001."
"According to traditional conception of security, write any two threats in front of the security of a nation.  [CBSE (AI) 2014]","1. In the traditional conception of security, the greatest danger to a country is from military threats. The source of this danger is another country which by threatening military action endangers the core values of sovereignty, independence and territorial integrity. 2. Military action also endangers the lives of ordinary citizens."
What is the viewpoint of world towards war under traditional concept of security?,"It is now an almost universally accepted view that countries should only go to war for the right reasons, primarily self-defence or to protect other people from genocide. War must also be limited in terms of the means that are used. Armies must avoid killing or hurting non-combatants as well as unarmed and surrendering combatants. They should not be excessively violent. Force must in any case be used only after all the alternatives have failed."
What is meant by non-traditional notion of security? Differentiate between the narrow and the broad concept of human security. [CBSE (AI) 2016],"Non-traditional notion of security are non-military threats such human security, climate change, environmental security, economic security, pandemics, social issues, etc. Human security is the combination of threats associated with war, genocide, and the displacement of populations. Human security in simple terms means freedom fromwant and ‘freedom from fear’. The narrow concept of human security includes security from violence that’s occurs from wars and armed conflicts. The broader concept of human security includes safety from economic, pandemic, environmental and social conflicts and unrests. Kofi Annan puts it as the protection of communities and individuals from internal violence."
