,questions,answers
0,1. Describe the basis on which archaeologistsidentified the centres of craft production in theHarappan culture.,"the centers of craft production are : Raw materials such as stone nodules, wholeshells, copper ore, etc.(ii} Rejects and waste material ;: It is one of thebest indicators of craftwork. For instance, if shellor stone is cut to make objects, then pieces of thesematerials will be discarded as waste at the place ofproduction. Finished products : Sometimes, larger wastepieces were used up to make smaller objects whichsuggest that apart from small, specialised centres,craft production was also undertaken in large citiessuch as Mohenjodaro and Harappa.2. Explain the sources of revenue of VillagePanchayats during the Mughal rule in India. Answer : Sources of revenue of Village Panchayatsduring the Mughal rule in India were :Contribution made by individuals to a commonfinancial pool.Agricultural ‘Taxes."
1,"passed by the British in 1859,","of Limitation, stating that the loan bonds signedbetween the money lenders and the ryots would havevalidity for three years only.Effects of the law were :(i} The money lenders manipulated and forced theryots to sign a new bond every three years.(ii} Moneylenders refused to give receipts whenloans were repaid, entered fictitious figures inbonds, acquited the peasants’ harvest at low prices,moneylenders ultimately took over peasants’property.PART-B"
2,"being taken and implemented in the Harappansociety.” In the light of this statement, explainwhether there may have been rulers to rule overthe Harappan society.","being taken and implemented in Harappan society.Fyidences are : A large building found at Mohenjodarowas labelled as a palace by archaeologists but nowiv. chsepdf.camDecspectacular finds were associated with it. Some archaeologists are of the opinion thatHarappan society had no rulers, and that everybodyenjoyed equal status. Others feel there was no single ruler but several,that Mohenjodaro had a separate ruler, Harappaanother, and so forth. According to some scholars, the last theoryseems the most plausible, as it is unlikely that entirecommunities could have collectively made andimplemented such complex decisions.(v} ‘There was extraordinary uniformity of Harappanartefacts. The bricks, though obviously not produced inany single centre, were of a uniform ratio throughoutthe region, from Jammu to Gujarat, Labour was mobilised for making bricks andfor the construction of massive walls and platforms.A planned urban centre with well laid out drainagesystem."
3,of the people living in rural areas from c. 600BCE to 600 CE.[2+2=4,"people of rural are as :Economic conditions : Acccording to Jataka and Panchatantra, therelationship between a king and his subjects, couldoften be strained — kings frequently tried to filltheir coffers by demanding high taxes. The peasantspatticularly found the demarids oppressive. Escapinginto the forests remained an option. Different strategies such as  shift to ploughagriculture,  iron plough share for the growth inagricultural productivity,  the use of irrigation,through wells and tanks and less commonly, canalswere adopted for increasing production. Land grants provide some insight into therelationship between cultivators and the state.Social condition : There was a growing differentiation amongstpeople engaged in agriculturetandless agriculturallabourers, small peasants, as well as large landholders. The large landholders, as well as the villageheadman emerged as powerful figures and oftenexercised control over other cultivators. There was gendered assess to property. A variety of occupations followed by the peoplebelonging to different castes/varnas."
4,BattutasubcontinentfoundcitiesintheIndianfull of exciting opportunities.”No OTP No Login No AdversitementCBSE 2018 History Solved PaperDcExplain the statement with reference to the cityof Delhi.,"subcontinent full of exciting opportunities, especiallythe city of Delhi: Delhi covers a wide area and has a densepopulation. There is a rampart round the city that is withoutparallel. The breadth of its wall is eleven cubics andinside it, there are houses for the night sentry andgatekeepers. Inside the ramparts, there are store houses forstoring edibles, magazines, ammunition, ballistas andsiege machines. There are twenty eight gates in the city whichare called darwaza in which, Budaun Darwaza is thebiggest.(v} In Gul Darwaza there is an orchard. It has finecemetery in which praves have domes over them andthose that do not have a dome, have an arch for sure."
5,materialism of the Caliphate as a religious andpolitical institution.” Elucidate.,"salvation through intense devotion and love for God. They sought an interpretation of the Qur’anon the basis of their personal experience and werecritical of the definitions and scholastic methods ofinterpreting the Qur’an adopted by theologians. By the eleventh century Sufism evolved into awell-developed movement with a body of literatureon Quranic studies and sufi practices. The sufisilsila was a kind of chain or linkbetween master and disciple for seeking spiritualpower and blessings. Special riruals of initiation were developed likewearing patched cloths, shaving their head, openkitchen run on charity."
6,Awadh in the Revolt of 1857.,"generations had conrolled the lands and power inthe countryside and had maintained armed retainers,built forts and enjoyed a degree of autonomy aslong as they accepted the suzerainty of the Nawabsand paid the revenues of their Talugqas but theBnitish were unwilling to tolerate the power of theTaluqdars. After the annexation, the Taluqdars weredisarmed and their forts were destroyed. The Bnitish land revenue policy also hit theposition of Taluqdars. In southern Awadh, theTaluqdars lost more than half of their total villages** Answer is not given due to change in present syllabus.Wwiww.chsepadf.cam‘wniload All Previous Year and Sample Papers From www.cbsepdf.comthey previously held. British revenue flows for the state increasedand the burden of demand on the peasants did notdecline, the increase in the revenue demand increasedfrom 30 to 70 percent. Thus, neither the Taluqdarsnor the peasants had any reason to be happy withthe annexation of Awadh. In areas like Awadh, whete resistance duting1857 was intense and long lasting, talugdars and theirpeasants had carried out the fightng."
7,during the colonial period in India.,"seen as an advantage. Particularly, since the Brinshassociated the hot weather with epidemucs. Hill stations were established mainly for thearmy, to protect them from diseases like choleraand malaria. They also became strategic places forbillering troops guarding fronuers and launchingcampaipns against enemy rulers. These hill stations were also developed asSanatoriums 2.2, places where soldiers could be sentfor rest. These places were suitable for British rulers dueto the cold climate where new rulers and viceroycould go for rest in the summer.PART-C"
8,"nationalism, thereby redeeming the promisehe made in his BHU speech of February 1916.It was no longer a movement of professionalsand intellectuals; now, hundreds of thousandsof peasants, workersand artisans alsoparticipated in it, Many of them veneratedGandhiji, referring to him as their ‘Mahatma’,They appreciated the fact that he dressed likethem, lived like them and spoke their language,unlike other leaders he did not stand apart fromthe common folk, but empathisedand evenidentified with them.”In the light of the above passage, highlight anyfour values upheld by Mahatma Gandhi.” ",
9,"main teachings of Buddha.ORTrace out how stupas were built. Explainwhy the stupaat Sanchi survived, but not atAmravati.f4+4=8]","lifetime of the Buddha and after his death. It appealed to many people dissatisfied withexisting religious practices and confused by the rapidsocial changes taking place around them.No OTPNo Login No AdversitementCBSE 2018 History Solved Paper{iii} The importance attached to conduct and valucsrather than claims of superiority based on birth, theemphasis placed on metta  and karuna, especially for those who were youngerand weaker than oneself, were ideas that drew menand women to Buddhist teachings. Buddhism grew due to Buddhist text—Tipitaka,the Dipavamsa and Mahavamsa, Ashokavadana,Jatakas and Buddhist hagiography. Buddhist Sanghas, Bhikkhus and Bhikkhunisspread the message.Teachings : The world is transient  and changingconstantly. It 1s soulless (anatta} as there 1s nothingpermanent or eternal. In the transient world, sorrow is intnnsic tohuman existence, It is by followmg the path ofmoderation between severe penance and selfindulgence that human beings can rise above thesewordly troubles, Buddha emphasised individual agency andtighteous action as the means to escape from thecycle of re-birth and attain self-realisation. Extinguish ego and desire to end the cycle ofsuffering,ORStupas were regarded as sacred as it containedrelics of the Buddha such as his bodily remains orobjects used by him were buried there. Accordingto a Buddhist text, the Ashoka Vadana, Ashokadistributed portions of the Buddha's relics to everyimportant town and ordered the construction ofstupas over them. By the second century BCE,Bharhut, Sanchi and Sarnath, had been built.Inscriptions found on the railings and pillars ofthe stupas record donations made for buildings anddecoration made on them. Some donations weremade by kings such as the satavahanas others weremade by guilds such as that of tvory workers whofinanced a part of one of the gateways at Sanchi.The Amaravati could not survive because :Perhaps Amaravati was discovered before thescholars understood the value of the findings andrealisedhow critical it was to preservesuch things wherethey had been found instead they thought of removingthem from the site.The stupas at Amaravati were changed and some ofthe slabs from the Amaravati stupas had been takento different places, for example, they were taken toKolkata, Chennai and London and were used in otherstructures, Local rajas also took remains of AmravatiStupa to build their ternples.The Sanchi Stupa survives because :It escaped from the eyes of railway contractors,builders and those looking for finds to carry awaywwww.cbsepdf.comwnload All Previous Year and Sample Papers From www.cbsepdf.comto the museums of Europe. The rulers of Bhopal,Shahjehan Begum and her successor Sultan JehanBegum provided money for its preservation. H, H.Cole was against the looting of original works ofancient art. Nineteenth-century Europeans werevery interested in the Stupa at Sanchi. That's why, itsurvived the test of nme."
10,different races and religious groups by theMughal rulers in India.ORExplain the role played by women of theimperial household in the Mughal Empire. ,"cthnic and religious groups which ensured that nofaction was large enough to challenge the authorityof the state. The officers of the Mughals were described asa bouquet of flowers held together by loyalty to rheemperor. The emperor was very respectful amongthe religious saints and scholars. Turani and Iranian nobles were the earliestin Akbar’s imperial service. Akbar was a great andintelligent king and wanted skillful people to joinhim in his state. Two ruling groups of Indian origin entered theimperial service—the Rajputs and the Indian Muslims. The nobles participated in military campaignsand also served as officers of the empire in theirrespective provinces. The mansaobdars had two numericaldesignations : Zat which was an indicator ofposition in the imperial hierarchy and sawar.(vii} Members of Hindu castes inclined towardseducation and accountancy were also promoted,a famous example being Akbar's finance minister,Raja Todar Mal, who belonged to the Khatn caste.OR After Noor Jahan, Mughal queens and princessesbegan to contol significant financial resources, Shan Jahan’s daughters Jahanara and Roshanaraenjoyed an annual income often equal to that of highimperial Mansabdars, Conttol over the resources enabled importantwomen of thc Mughal household to commission The throbbing centre of Shahjahanabad, wasthe bazaar of Chandni Chowk which was designedby Jahanara.(v} Gulbadan Begum, the daughter of Babar andHumayun'’s sister wrote Humayun Nama, depictingthe glimpse of the domestic world of Mughals. Gulbadan described in great detail, the conflictsand tension among the princes and kings. The general practice of Mughal houscholdconsisted of the emperor's wives, concubincs, hisnear and distant relatives and female servants and3No OTP No Login No AdversitementCBSE 2018 History Solved PaperDeslaves, Elderly women of the family played animportant role in resolving conflicts. The begams, marned after receiving hugeamounts of cash and valuables as dower ,naturally received a higher status and greaterattention from their husbands than did aghas. The concubines occupied the lowest position inthe hierarchy. They all recetved monthly allowancesin cash, supplemented with gifts according to theirstatus.PART-D"
11,"eatly decades of the 20"" century was largelyresponsible for the partition of the country.”Examine the statement.OR“Partition of India had made nationalistsfervently opposed to the idea of separateelectorates.” Examine the statement.","created by the colonial povernment in 1909 andexpanded in 1919. It crucially shaped the nature ofcommunal politics. Separate electorates meant thatMuslims could now clect their own representativesin designated constitucnocics. Working politicians used their own slogans andgathered in masses by distributing favours to theirown religious groups. There was active opposition and hostilitybetween the communities. Cow protection movement by Arya Samajbrought back the people to the Hindu fold thosewho had recently converted to Islam. The provincial elections of 1937 and the CoppsMission of 1942. Hindus were angered by the rapid spread ofTabligh and Tanzim after 1923, Communal riotsdeepened the differences between the communities,creating disturbing memories of violence.ORThe Nationalists werc haunted by thecontinued civil war and riots during partition days. 3B. Pocker Bahadur made a strong plea forscparate clectorate for Muslims in the constituentassembly. The idea of separate electorate provokedanper and dismay amongst most nationalists in theconstitucnt assembly. It was seen as a measure introduced by Britishto divide Indians. This was the demand, which turned one community against other. It divided the people on communal levels. ItStrained relation and causc blood. It was against the principle of democracy.It was suicidal for the nation according toG. B. Pant.wnload All Previous Year and Sample Papers From www.cbsepdf.com Separate clectorate could lead to divideloyalties and difficult to forge a strong nation and astrong state. Isolating the minorities would deprive themof any effective say within the government."
12,"the questions that follow :“Proper” Social RolesHere is a story from the Ad Parven of theMababharata:Once Drona, a Brabmana who taught archery tothe Kuru princes, was approached by Ekalavya, aforest-dwelling mishada .When Drona, who knew the dbarma, refused tohave him as his pupil, Ekalavya returned to theforest, prepared an image of Drona out of clay, andtreating it as his teacher, began to practise on hisown. In due coutse, he acquired great skill in archery.One day, the Kuru princes went hunting and theirdog, wandering in the woods, came upon Ekalavya.When the dog smelt the dark #ishada wrapped inblack deer skin, his body caked with dirt, it beganto bark. Annoyed, Ekalavya shot seven arrows intoits mouth. When the dog returned to the Pandavas,they were amazed at this superb display of archery.They tracked down Ekalavya, who introducedhimself as a pupil of Drona.Drona had once told his favourite studentAnjuna, that he would unrivalled amongst hispupus. Arjuna now reminded Drona about thts.Drona approached Ekalavya, who immediatelyacknowledged and honoured him as his teacher.When Drona demanded his right thumb as his fee,Ekalavya unhesitatingly cut it off and offered it. Butthereafter, when he shot with his remaining fingers,he was no longer as fast as he had been before.Thus, Drona kept his word ; no onc was better thanArjuna.Why did Drona refuse to have Ekalavyaas his pupil ?,How had Drona kept his word given toArjuna ?Do you think Drona’s behaviour withEkalavya was justified P If so, givereason.","dharma. He taught archery to the Kuru princes. Oncehe was approached by Ekalavya, a forest dwellingNishada  to teach him archerybut Drona refused to have Ekalavya as his pupil ashe was a person of low origin. Drona gave his world to Arjuna wouldbe unrivalled amongst the pupils. To prove thisDrona demanded Eklavya's right thumb as his fee,Ekalavya unhesitatingly cut it off and offered itNo OTP No Login No AdversitementCBSE 2018 History Solved PaperDito the guru, so he was no longer as fast as he hadbeen before. Drona’s behaviour with Ekalavya was justifiedbecause he promised to Arjuna to be the best inatchery but when he saw Ekalavya he was amazedat the supentor display of archery by him. Ekalavyawas a better archerer than Arjuna thus, to keep hispromise to Arjuna, Drona demanded the thumb ofhis right hand as fee from Ekalavya."
13,"the questions that follow :Colin MackenzieBorn in 1754, Colin Mackenzie became famous asan engineer, surveyor arid cartographer. In 1815 hewas appointed the first Surveyor General of India,a post he held till his death in 1821. He embarkedon collecting local histories and surveying historicsites in order to better understand India’s pastand make governance of the colony easier. Hesays that “it struggled long under the miseries ofbad management... before the South came underthe benign influence of the British government.”By studying Vijaynagar, Mackenzie believed thatthe East India Company could gain “much usefulinformation on many of these instirutions, laws andcustoms whose influence sul! prevails among thevarious Tnbes of Natives forming the general massof the population to this day,”Who was Colin Mackenzie ?How did Mackenzie try to rediscoverthe Vijaynagar Empire?How was the study of the VijaynagarEmpire useful to the East IndiaCompany ?","engineer, surveyor and cartoprapher of the EIC. Hesurveyed historic sites in order to better understandIndia’s past and make governance of the colonyeasier. In 1815, he was appointed the frst SurveyorGeneral of India. He embarked on collecting local histories andsurveying historic sites in order to better understandIndia’s past which included Vijaynagar in South ofIndia. By studying Vijay nagar, Mackenzie believedthat the East India Company could gain usefulinformation on many of the instirucon laws andcustoms whose influence still prevails among thevarious Tribes of Natives forming the general massof population of this day."
14,"the questions that follow :“Tomorrow we shall break the salt tax law”Qn 5 April, 1930 Mahatma Gandhi spoke atDandi :When I left Sabarman with my companions forthis seaside hamlet of Dandi, I was not certain inwniload All Previous Year and Sample Papers From www.cbsepdf.commy mind that we would be allowed to reach thisplace. Even while I was at Sabarmati there was arumour that I might be arrested. J had thought thatthe Government might perhaps let my party comeas far as Dandi, but not me certainly. If someonesays that this betrays imperfect faith on my part, Ishall not deny the charge. That I have reached hereis in no small measure due to the power of peaceand non-violence : that power is universally felt.The Government may, if 1t wishes, congratulateitself on acting as it has done, for it could havearrested every one of us. In saying that it did nothave the courage to arrest this army of peace, wepraise it. It felt ashamed to arrest such an army.He is a civilised man who feels ashamed to doanything which his neighbours would disapprove.The Government deserves to be congratulated onnot arresting us, even if it desisted only from fearof world opinion.Tomorrow we shall break the salt tax law. Whetherthe Government will tolerate that is a differentquestion. It may not tolerate it, but it deservescongratulations on the patience and forbearance ithas displayed in regard to this party......WhatifT and all the eminent leaders in Gujarat and inthe rest of the country are arrested P This movernentis based on the faith that when a whole nation isroused and on the march no leader is necessary.What were the apprehensions ofMahatma Gandhi when he started hisDandi March ? Why did Gandhijisaythatthe Governmentdeserve to be congratulated PWhy was the ‘Salt March’sipnificant ?very","be allowed to reach Dandi. Gandhiji suspected hemight be arrested, as he said, “Government mightperhaps let my party come as far as Dandi but notme certainly”. According to Gandhi, the Governmentdeserved to be congratulated on not arresting them,even if it desisted only becasue of the fear of worldopinion,  The salt march was significant becauseit brought Gandhi into limelight and attracted theworld’s attention. Women participation was very high. It forced the Butish to think that their BrushRaj will not continue further. Gandhi mobilized a wider discontent againstBritish rule."
