,questions,answers
0,Q.1. How did American war of Independence add more debt to France?,Ans. The French army supported thirteen colonies of America in their war of independence against Britain. It added more than one billion livres (unit of currency in France) that had risen to more than two billion livres with ten percent interest on loans.
1,Q.2. Which social groups emerged as ‘middle class’ in 18th century France?,Ans. The social groups who earned their wealth through an expanding overseas trade and from the manufacture of goods such as woollen and silk textiles that were either exported or bought by the richer members of society.
2,Q.3. Which proposal of the third estate was rejected by Estates General?,"Ans. The third estate demanded that voting should be conducted by the assembly as a whole, in which, each member would have one vote. But the king rejected this proposal and therefore members of the third estate walked out of the assembly in protest."
3,Q.4. Who was Mirabeau?,"Ans. Mirabeau was born in a noble family, but was convinced of the need to do away with a society of feudal privilege. He brought out a journal and delivered powerful speeches to the crowds assembled at Versailles."
4,Q.5. Describe the French division of society.,"Ans. The French society was divided into three Estates: (i) First Estate: It comprised of the church and the clergy. They enjoyed certain privileges by birth. They were exempted from paying taxes to the state. (ii) Second Estate: In the second estate, were the nobles and other rich members. They were also exempted from paying taxes. They also enjoyed feudal privileges. These included feudal dues from the peasants. (iii) Third Estate: About 90 per cent of the population was peasants. They were obliged to work in the fields of their landlords as well as in their houses,  and also serve in the army. They were paying all direct taxes like ‘taille’ and a number of indirect taxes were also levied on articles of everyday consumption like salt or tobacco."
5,Q.6. What was the role of the philosophers in the French Revolution?,"Ans. Ideas of having a society based on freedom and equal laws and opportunities for all were put forward by the French philosophers. (i) John Locke: Locke wrote, ‘Two Treatises of Government’. In this book, he criticised the divine and absolute rights of the monarch rulers. (ii) John Jacques Rousseau: Rousseau had written his viewpoints in his book, ‘The Social Contract’. He had put forward the idea of formation of a government based on a social contract between people and their representatives. (iii) Montesquieu: His ideas were proposed in his book, ‘The Spirit of the Laws’. According to him, there should be a division of power between the three important organs—the legislature, the executive and the judiciary. The ideas of these philosophers were discussed by common people in salons and coffee houses and inspired them to fight for their rights."
6,Q.7. What do you know about the ‘Estates General’?,"Ans. ‘The Estates General’ was a political body to which the three estates sent their representatives. In France of the Old Regime, the monarch did not have the power to impose taxes to his will alone. Rather he had to call a meeting of the Estates General to pass the proposals for new taxes. However, it was the monarch alone who could decide when to call a meeting of this body."
7,Q.8. Elucidate the contribution of Mirabeau in the formation of the National Assembly.,"Ans. Mirabeau was born in a noble family but was convinced to do away with a society of feudal privileges. On 20 June, the third estate assembled in the hall of an indoor tennis court in the grounds of Versailles. Mirabeau brought out a journal and delivered powerful speeches to the crowds assembled at Versailles."
8,Q.9. How did peasants protest against the feudal lords or nobles of France?,"Ans. There were rumours that the landlords of the manor had hired some people to destroy the ripened crops. Being afraid of the situation, peasants in  several districts seized hoes and pitchforks and attacked chateaux (castles belonging to the noblemen). They looted hoarded grain and burnt down documents containing records of mamorial dues. As a result, a large number of nobles fled from their homes and migrated to the neighbouring countries."
9,Q.10. How was the National Assembly recognised and how did it start exercising its powers?,"Ans. When people revolted, Louis XVI finally gave recognition to the National Assembly and accepted the fact that his powers now would be checked by a Constitution. On 4 August, 1789, the National Assembly passed a law abolishing the feudal system of obligations and taxes. Members of the clergy too were forced to give up their privileges. Tithes were abolished and lands owned by the Church were confiscated by the government. As a result, the government acquired assets worth 2 billions livres."
