questions,answers
Who are Nomads?,Nomads are the people who do not live in one place but move from one area to another to earn their living.
Who were Gujjar Bakarwals?,Nomadic tribes of Jammu and Kashmir.
What is a ‘kafila’?,‘Kafila’ is a group of several households who move together for a journey.
"Name the shepherds of Himachal Pradesh, who have cycle of seasonal movement.",Gaddi Shepherds
What is ‘Bhabar’?,It is a dry forested area below the foothills of Garhwal and Kumaon.
What does ‘Bugyal’ mean?,Vast meadows in the high mountains.
Name the pastoral communities of Himalayas known for cyclical movement for the pastures.,"Bhotiyas, Sherpas and Kinnauris."
Who were ‘Dhangars’?,‘Dhangars’ were an important pastoral community of Maharashtra.
What were the main occupations of ‘Dhangars’?,"Most of them were shepherds, some were blanket weavers and still others were buffalo herders."
Which pastoral tribes live in Karnataka and Andhra Pradesh?,"Pastoral tribes like Gollas, Kurumas and Kurubas live in Karnatka and Andhra Pradesh."
Who are ‘Banjaras’? ,"‘Banjaras’ are well-known group of grazers. They are found in the villages of Uttar Pradesh, Punjab, Rajasthan, Madhya Pradesh and Maharashtra."
Which pastoral nomads live in the deserts of Rajasthan?,Raikas
What are the main occupations of Raikas?,"Raikas combine a range of different activities–cultivation, trade, and herding to make their living."
Give one advantage of changing grazing lands into cultivated farms by British in India.,"Land revenue was one of the main sources of income. By expanding cultivation, it would increase its revenue collection."
Which forests were classified as ‘Protected Forests’?,"In these forests, some customary grazing rights of pastoralists were granted but their movements were severely restricted."
What was the source of taxation for the colonial government?,"Taxes were imposed on land, on canal water, on salt, on trade goods and even on animals of the pastoralists."
Where have Raikas migrated after the partition of India?,"In recent years, they have been migrating to Haryana where sheep can graze on agricultural fields after the harvests are cut. This is the time that the fields need manure that the animals provide."
Name the pastoral communities of Africa.,"Bedouins, Berbers, Maasai, Simali, Bosan and Turkana are some of the pastoral communities of Africa."
Which areas were covered under Maasailand before colonial times?,Maasailand stretched over a vast area from North Korea to the Steppes of northern Tanzania.
What does Maasai mean?,The title ‘Maasai’ is derived from the word ‘Maa’. Maasai means ‘My People’. 
Name the national parks set up in place of grazing lands by colonial powers.,(i) Samburu National Park in Kenya (ii) Serengeti National Park in Tanzania.
What were the social categories into which Maasai society was divided?,(i) Elders (ii) Warriors
Who were called ‘The Warriors’ among Maasai community?,The younger people of maasai society
What was the significance of Raiding in Maasai Society?,Raiding was important in a society where cattle was wealth. It is through raids that the power of different pastoral groups was asserted.  
