questions,answers
How is Myanmar a non-democratic country?,The army rulers of Myanmar are not elected by the people. Those who happen to be in control of the army become the rulers of the country. People have no say in this decision.
When did Parvez Musharraf come to power in Pakistan?,"In Pakistan, General Parvez Musharaff led a military Coup in October 1999."
When did Musharaff become President of Pakistan?,"In 2002, Musharaff held a referendum in the country that granted him an extension of five years as a President."
Who all did not accept this referendum of Parvez Musharaff?,"Pakistani media, human rights organisations, and democracy activists said that the referendum was based on malpractices and fraud."
What does ‘referendum’ mean?,"Referendum is a direct vote in which an entire electorate is asked to either accept or reject a particular proposal. This may be adoption of a new constitution, a law or a specific governmental policy."
What was ‘Legal Framework Order’?,It was an order issued by President Musharraff in which the President can dismiss the national or provincial assemblies. The work of the civilian cabinet is supervised by a ‘National Security Council’ which is dominated by military officers.
What happened after passing this legal framework order?,"After passing this law, elections were held to the national and state assemblies. Representatives were elected by people and also exercised some powers."
Who took the final decision in Pakistan even after elections?,Army officials and General Musharraff. None of them were elected by the people.
How People elect their representatives in China? ,"In China, elections are regularly held after every five years for electing the country’s Parliament called National People’s Congress."
How is President of China elected?,"The National People’s Congress consisting of about 3,000 members, has the power to appoint the President of the country."
Which members are allowed to contest for the elections in China?,Only those who are members of the Chinese Communist Party or eight smaller parties allied to it were allowed to contest elections held in 2002 – 03. The government is always formed by the Communist Party.
What was PRI?,It was a political party of Mexico called as Institutional Revolutionary Party.
Why were every elections won by PRI in Mexico?,PRI managed to win elections in Mexico every six years because they used many unfair means to win elections. Like they spend a large sum of money in the campaign for its candidates and force people to vote for them.
How can you say that people did not have any choice in democratic Mexico?,"Yes, people seemed to have no choice. There was no way the ruling party PRI could be defeated, even if people were against it. There were no fair elections."
What does the true democracy say?,A democracy must be based on a free and fair elections where those currently in power have a fair chance of losing.
"In which country, women do not have the right to vote?",Saudi Arabia.
What is the electoral system in Fiji?,"In Fiji, the vote of an indigenous Fiji has more value than that of an Indian Fijian."
When did Zimbabwe attain independence?,Zimbabwe attained independence from white minority rule in 1980. 
Which party is ruling over Zimbabwe since independence?\,ZANU–PF is the party that is ruling over Zimbabwe since independence.
Who is the President of Zimbabwe?,President Emmerson Mnangagwa.
How President Mugabe changed the constitution of Zimbabwe?,President Mugabe has changed the constitution several times to increase the powers of the President and make him less accountable. Public protests and demonstrations against the government are declared illegal. There is a law that limits the right to criticise the President.
What do you derive from democratic government like Zimbabwe’s?,Popular governments can be undemocratic and popular leaders can be autocratic.
Give any one demerit of democracy.,Leaders keep changing in a democracy. This leads to instability.
Give any one merit of democracy.,A democratic government is a better government because it is more accountable form of government and it enhances the dignity of citizens.  
