questions,answers
What are the three qualities of rights?,(i) They are reasonable claims of persons. (ii) They are recognised by society. (iii) They are sanctioned by law.
Why are rights necessary for the very sustenance of a democracy?,"In a democracy, every citizen has to have the right to vote and the right to be elected to government. For democratic elections to take place it is necessary that citizens should have the right to express their opinion, form political parties and take part in political activities."
What does ‘rule of law’ mean?,"(i) The constitution says that the government shall not deny to any person in India equality before the law or the equal protection of the laws. (ii) It means that the laws apply in the same manner to all, regardless of a person’s status. This is called the ‘Rule of Law’."
"Is it true that every citizen from the Prime Minister to a small farmer, is subjected to the same laws?","Yes, this is true because the Constitution of India provides a provision of ‘rule of law’ which means that no person is above the law. The laws apply in the same manner to all, regardless of person’s status (whether he is a Prime Minister or a farmer)."
How is right to equality exercised?,"The government shall not discriminate against any citizen on the grounds of religion, caste, ethnicity, sex or place of birth. Every citizen shall have access to public places like shops, restaurants, hotels and cinema halls. All citizens have equality in the matters relating to employment also."
What is RTI?,RTI is Right to Information. Parliament has enacted a law giving the right to information to the citizens. This Act was made under the Fundamental Right to freedom of thought and expression. We have a right to seek information from government offices. 
What are Human Rights?,Human Rights are universal moral claims that may or may not have been recognised by law. But then rights give you a right to be treated as equal by law. Every human being who is born anywhere has the right to live and enjoy his life and should not be tortured by any means.
How were prisoners tortured by the US army in Guantanamo Bay prison?,(i) The prisoners were being tortured in ways that violated the US laws. (ii) They were being denied the treatment that even prisoners of war must get as per the international treaties. (iii) Prisoners were not released even after they were officially declared ‘not guilty’.
What was the background in which the ethnic massacre took place in Kosovo?,"(i) Kosovo was a province of Yugoslavia before it split. In this province, the Serbs were in minority and Albanians were in majority, while it was the other way round in the rest of the country. (ii) A narrow-minded Serb nationalist Milosevic had won the elections. His government was hostile to the Kosovo Albanians. (iii) He wanted the Serbs to dominate the country. Many Serb leaders thought that ethnic minorities like the Albanians should either leave the country or accept the dominance of the Serbs."
How does society affect the implementation of rights?,"      Every society makes certain rules to regulate one’s conduct. They tell us what is right and what is wrong. What is recognised by the society as rightful becomes the basis of rights. The notion of ‘right’ changes from time to time and society to society. When the socially recognised claims are written into law, they acquire real force. Otherwise, they remain merely as natural or moral rights. When law recognises some claims, they become enforceable. We can then demand their application. When fellow citizens or the government do not respect these rights, we call it violation of our rights. "
"Which three qualities are required for calling any claim, a right? ",(i) Rights are reasonable claims of persons. (ii) Rights are recognised by the society. (iii) Rights are sanctioned by law.
