,questions,answers
0,Q.1. Who was Nelson Mandela?,"Ans. Nelson Mandela was the leader of African National Congress (ANC). He remained in jail for 28 years in South Africa’s most dreaded prison, Robben Island opposing the apartheid regime."
1,Q.2. Who were called ‘blacks’ in South Africa?,"Ans. The native people of South Africa are black in colour, they made up about three-fourth of the population and were called ‘blacks’."
2,Q.3. How non-whites were treated in South Africa?,Ans. The white rulers treated all non–whites as inferiors. The non-whites did not have voting rights.
3,Q.4. What was ANC?,"Ans. It was African National Congress, an umbrella organisation that led the struggle against the policies of segregation. This included many workers’ unions and the Communist Party."
4,Q.5. With which rules trust was built between blacks and whites in South Africa?,Ans. These rules determine what the elected governments are empowered to do and what they cannot do. They also decided the right of the citizens.
5,Q.6. What is this set of basic rules called?,Ans. This set of basic rules is called a ‘Constitution’.
6,Q.7. What is a ‘Constitution’?,Ans. The Constitution of a country is a set of written rules that are accepted by all the people living together in a country.
7,Q.8. Why is Constitution considered the Supreme law?,Ans. The Constitution is the supreme law that determines the relationship among people living a territory (called citizens) and also the relationship between the people and the government.
8,Q.9. How difficult it was for India to frame a constitution for united India after independence? ,Ans. At that time the people of India were emerging from the status of subjects to that of citizens. The country was born through a partition on the religious basis. This was a traumatic experience for the people of India and Pakistan.
9,Q.10. Who was the first one to draft a constitution for India?,"Ans. In 1928, Motilal Nehru and eight other Congress leaders drafted a constitution for India."
10,"Q.11. What resolution was made in 1931, Karachi session?","Ans. In 1931, the resolution at the Karachi session of the Indian National Congress dealt on how independent India’s constitution should look like."
11,Q.12. What was ‘Constituent Assembly’?,Ans. The drafting of the document called the ‘constitution’ was done by an assembly of elected representatives called the Constituent Assembly.
12,Q.13. In which manner Constituent Assembly worked?,"Ans. The Constituent Assembly worked in a systematic, open and consensual manner."
13,Q.14. Why was a drafting committee formulated? Who was its Chairman?,Ans. The drafting Committee was formed to prepare a draft of the constitution for discussion. Its Chairman was Dr. B.R. Ambedkar.
14,Q.15. Who was the Chairman of the Constituent Assembly?,Ans. Dr. Rajendra Prasad was the Chairman of the Constituent Assembly.
15,Q.16. What features formed the foundation for India’s democracy?,"Ans. The Values that inspired and guided the freedom struggle and were then nurtured by it, formed the foundation for India’s democracy."
16,Q.17. What is Preamble?,"Ans. The Preamble is like preface of a book, it is the soul of the Indian Constitution. It gives in brief all the laws and action of the government."
17,Q.18. What does ‘Sovereign’ mean?,Ans. It means people have supreme right to make decisions on internal as well as external matters. No external power can dictate the government of India. 
18,Q.19. What does ‘Socialist’ in a democratic Constitution mean?,Ans. Wealth is generated socially and should be shared equally by society. Government should try to reduce socio-economic inequalities.
19,Q.20. What is the meaning of the form ‘Secular’?,"Ans. Citizens have complete freedom to follow any religion. But there is no official religion. Government treats all religions, beliefs and practices with equal respect."
20,Q.21. What does ‘democratic’ mean?,"Ans. It is a form of government where people enjoy equal political rights, elect their rulers and hold them accountable."
21,Q.22. What does ‘Equality’ term mean in the Indian Constitution?,Ans. All are equal before the law. The traditional social inequalities have to be ended. The government should ensure equal opportunities for all.
22,Q.23. What does the term ‘Fraternity’ signify in the Preamble?,Ans. All of us should behave as if we are members of the same family. No one should treat a fellow citizen as inferior.
23,Q.24. What are ‘Constitutional Amendments’?,Ans. Provisions are made to incorporate changes from time to time in our constitution. These changes are called ‘Constitutional Amendments’.  
