,questions,answers
0,"Q. 2 Name the tissues which perform the following functions: (i) Haemopoiesis, (ii) Formation of antibodies, (iii) Coagulation (iv) Locomotion, (v)Transmission of message, (vi) Protection against mechanical shocks,","Ans. Leucocytes are known as white blood cells (WBC). They are oval/rounded or irregular in shape. WBCs have nuclei but are devoid of haemoglobin. They are of two kinds: (1) granulocytes, and (2) agranulocytes. Granulocytes possess granules of varying sizes and have lobed nuclei. They are of three kinds: (1) basophils, (2) acidophils, (3) neutrophils based on the staining feature. Monocytes and lymphocytes are two types of agranulocytes. They are non-granular and always have only one nuclei in individual cell."
1,Q. 5. write the functions of blood plasma.,"Ans. Differences between the fibres of connective tissue: S.No. (i) (ii) (iii) (iv)  Nature Colour Protein Occurrence Nature  Collagen fibres White Formed of protein collagen In bundles Unbranched  (v)  Fibres  Thick, long and wavy  (vi) (vii)  Elasticity Location  Tough and non-elastic Most abundant in tendons  Elastic fibres Yellow Elastin protein. Singly Branched and anastomosing Thin, long and straight Elastic Most abundant in ligaments "
2,"Q. 7. What is the difference between blood and lymph ?  Reticular fibres White Protein reticulin Singly Branched and framework Short Delicate Most abundant in the embryo, in lymphoid blood forming tissues. ","Ans. Differences between cartilage and bone : S. No. (i)  Cartilage The matrix is soft, transparent or semitransparent.  Bone The matrix is hard due to the deposition of inorganic salts such as calcium, phosphate, calcium carbonate, magnesium phosphate etc.  (ii)  In the matrix; there are delicate network of collagen or elastic fibres, in which chondrocytes and lacunae are scattered irregularly.  In the matrix, there are osteocytes, lacunae, canaliculi which remain arranged in definite rows known as lamellae. "
3,Q. 14. (i) Name the connective tissue that lacks fibre in its matrix. (ii) Write two differences between male and female cockroach.,Ans. (i) Vascular tissue - Blood and lymph. (ii) Difference between male cockroach and female cockroach : S. No. (i) (ii)  Male Cockroach It has anal styles at posterior end of abdomen. Male genital aperture lies below anus.  Female Cockroach Anal style are absent. Female genital aperture lies on 8th sternum. 
4,Q. 15. Draw a well labeled diagram of alimentary canal of a cockroach.,Ans. 
5,Q. 16. Give an account of alimentary canal of frog.,Ans. Alimentary Canal of Frog : It is a short tube starting from mouth to cloaca. Mouth opens into buccopharyngeal cavity. It has many maxillary teeth at the margin of upper jaw. Vomerine teeth lie at the floor of this cavity. The tongue is bilobed and muscular. It is used to capture the prey. Gullet opens into the oesophagus which is distended into stomach. Stomach follows small and large intestine. The rectum opens into the cloaca. Liver and pancreas are digestive glands. 
6,Q. 17. Draw labelled of alimentary canal of cockroach and write the role of hepatic caeca and malpighian tubules. [DDE Practice paper],Ans. Refer to SAQ-II/Q 2 Role of hepatic caeca: Secretes digestive juices. Role of malpighian tubules: It is the main excretory organ.
7,Q. 18. Explain sexual dimorphism exhibited in frog.,Ans. Frog exhibits sexual dimorphism. This means that the male and female frog can be distinguished by their external features. The male frog possesses vocal sacs which are most developed during the breeding season and also a copulatory pad on the first digit of the fore limbs which are absent in female frogs.
8,Q. 19. What are malpighian tubules? What is its function?,"Ans. Malpighian tubules are fine, unbranched yellow tubules that lies more or less in the haemocoel, and open into alimentary canal. Function: (i) They absorb nitrogenous waste products. (ii) They convert the nitrogenous waste products into uric acid which is excreted out. "
9,Q. 20. Differentiate between male and female cockroach.,Ans. S.No. Male cockroach (i) Larger in size (ii) Narrow abdomen (iii) Anal style present (iv) Brood Pouch absent (v) Wings extend beyond the tip of abdomen (Any three)  Female cockroach Smaller in size Broad abdomen Absent Present Wings extend up to abdomen 
10,Q. 21. Describe the structure of compound eyes of cockroach.   ,"Ans. (i) Compound eyes of cockroach are large, black, kidney-shaped structure. (ii) It is situated dorsolaterally on the head. (iii) Eye consists of about 2000 similar hexagonal units called ommatidium, each capable of forming an image. (iv) The eyes are covered externally with a transparent cuticle called the cornea. (v) Each ommatidium is composed of corneal lens, distal pigment cells around the pigment cone. (vi) It has retinule forming rhabdome and optic nerve."
11,Q. 22. What is hepatic portal system ?,"Ans. The development of Periplaneta americana is hemimetabolous. Nymph: (i) Nymph look very much like adult cockroaches, which are given no parental care. (ii) The hatching cockroaches are left to feed for themselves. (iii) They grow by moulting, comprises 13 moults before it reaches an adult form. (iv) Last nymphal stage possesses wing pads but no wings.  "
