,questions,answers
0,"Q. 1. Name the parts of the brain that functions as an endocrine gland. Name and describe the role of hormone its secretes, which is involved in influencing the height of a person. (KVS Agra 2017)","Ans. Growth hormone (GH) This hormone stimulates growth by targeting various body cells which undergo growth. Oversecretion of GH stimulates abnormal growth of the body leading to gigantism and undersecretion results in stunted growth resulting i.e., dwarfism."
1,Q. 2 Name the hormones of posterior pituitary. Why are these called neurohormones (KVS 2015),Ans. Oxytocin and vasopressin are two hormones of posterior pituitary. These hormones are called neurohormones because as they are actually synthesised by the hypothalamus and are transported axonally to neurohypophysis.
2,Q. 3. Give examples of: (i) Hyperglycemic hormone and hypoglycemic hormone (ii) Hypercalcemic hormone (iii) Gonadotrophic hormones (iv) Progestational hormone (v) Blood pressure lowering hormone (vi) Androgens and estrogens.,Ans. (i) Glucagon and Insulin (ii) Parathyroid hormone (PTH). (iii) LH and PSH (Luteinzing hormone and Follicle stimulating horome. (iv) Progesterone (v) Atrial Natriuretic Factor (ANF) (vi) Testosterone and estradiol
3,Q. 4. Name the T 3 and T4 components of the thyroid hormone. Explain their specific functions.,"Ans. T3- Triodothyronine and T 4- tetraiodothyronine or thyroxine. Thyroid hormones perform the following functions: (i) They regulate the metabolic rates of the body and thus maintains basal metabolic rate. (ii) Thyroid hormones control the metabolism of carbohydrates, proteins and fats.  (iii) They promote growth of the body tissues."
4,Q. 5. What are the gonadotropins State their functions.   ,"Ans. These are the gonad stimulating hormones secreted by the anterior lobe of pituitary. e.g., follicle stimulating hormone (FSH), luteinizing hormone (LH). Functions : (i) FSH stimulates the gonads to produce sperms and ova; stimulates the ovaries to secrete female sex hormone estrogens. (ii) LH stimulates the maturation of Leydig's cell of testes for secretion of testosterone; stimulates the secretion of estrogens and progesterone in the ovary."
5,Q. 6. Name the source gland of leutinizing hormone (LH). Mention the other hormone along with which it acts on its target cells/ organ. Give their two functions.,"Ans. LH is secreted by adenohypophysis or anterior pituitary gland. FSH is the other hormone (gonadotropin) along with which its target cell. Functions of LH: (i) In males, it stimulates spermatogenesis. (ii) In females, it stimulates ovulation and formation of the corpus luteum. Functions of FSH : In females, it stimulates the growth of ovarian follicles."
6,Q. 7. What hormones are secreted by the posterior pituitary gland ? What function does each serve? Where are these hormones actually produced ? How are these hormones transported to the region from which they are released ?,"Ans. (i) Oxytocin : It is released into the blood when hypothalamic neurons are stimulated by the widening of uterus at the time of delivery or by the sucking of breasts by an infant. It induces contraction of smooth muscles of the uterus during the birth of a young one and myoepithelial cells of mammary glands to cause release of milk during sucking by an infant. Therefore, it is also known as ‘birth hormones’ and or ‘milk-ejecting hormones’. (ii) Vasopressin : It is also called antidiuretic hormone (ADH). It decreases the loss of water in urine by increasing reabsorption of water in distal convoluted tubules, collecting tubules and collecting ducts of kidneys. It is transported as neurophysin - proteins bound secretory granules down the nerve fibre."
7,Q. 8. Distinguish between : Endocrine and Exocrine glands.   ,"Ans. S. No. (i) (ii) (iii)  Endocrine glands They do not have ducts. They secrete hormones directly into the blood. Thyroid, Hypothalamus, Pituitary etc.  Exocrine glands They possess ducts. They secrete their secretions into ducts. Sweat and oil glands (of skin), Liver and salivary glands. "
8,"Q. 9. Give the difference between Exocrine, Endocrine and Heterocrine Glands.","Ans. S. No. (i)  Exocrine gland It has a duct.  Endocrine gland It is ductless gland.  (ii)  Their secretions are carried by the ducts to the internal part or body surface. e.g., Salivary glands in mouth.  Their secretions are carried by the blood to the target organs. e.g., Parathyroid, pituitary and adrenal.  Heterocrine gland It is partly endocrine and partly exocrine. Endocrine part releases hormones into the blood stream while exocrine part into the ducts associated with it. e.g., Pancreas, ovary and testes. "
9,Q. 10. What is the importance of Glucocorticoids in man?,"Ans. (i) Glucocorticoids hormones are secreted by the middle region of the adrenal cortex. (ii) They regulate the metabolism of carbohydrates, proteins and fats. They increase the blood glucose level by converting proteins and fats into carbohydrates which are in turn converted to glucose. (iii) In case of excessive bleeding, glucocorticoids constrict blood vessels to offset the drop in blood pressure due to blood lose. (iv) They have anti-inflammatory and anti-allergic effects."
