,questions,answers
0,Q. 2 What is hydroponics?,Ans. Growing plants in nutrient solution is known as hydroponics.
1,Q. 3. Name the scientist who first time demonstrated that plants can be grown in soil less cultures.,Ans. Julius von Sachs (1860).
2,Q. 4. Define the term : influx and efflux.,Ans. Movement of ions into cells is called influx while movement of ions out of the cells is called efflux.
3,Q. 5. Mention any one function of magnesium as a mineral nutrient in plants.,Ans. Magnesium is a constituent of the ring structure of chlorophyll.
4,Q. 6. Name two iron-containing proteins involved in electron transport.,Ans. Ferrodoxin and cytochromes.
5,Q. 7. What is the use of iron to plants ?,Ans. Iron is required for synthesis of cytochromes.
6,Q. 8. Define mineral absorption.,"Ans. The process by which ions and molecules penetrate into living cells or tissues from the surrounding medium, crossing the cell membranes is called mineral absorption."
7,Q. 9. Name some immobile elements.,Ans. It is necessary for splitting of water to liberate oxygen (photolysis) during photosynthesis.
8,Q. 12. What is premature abscission ?,"Ans. Fall of leaves, flowers or fruits before their maturation is called as premature abscission. "
9,Q. 13. In which form do the plants absorb phosphorus ?,Ans. The utility of micro-elements depends upon the level of deficiency in the soil and the pH of the soil.
10,Q. 15. What is the role of leghaemoglobin in biological nitrogen fixation ? 2015]  [KVS ,Ans. Leghaemoglobin acts as oxygen scavenger.
11,Q. 16 Name the enzyme involved in biological nitrogen fixation.,Ans. Nitrogenase.
12,Q. 17. Which pigment is present in the root nodules of legumes ?,Ans. Leghaemoglobirn.
13,Q. 18 Name the best known symbiotic nitrogen fixing bacterium.,Ans. Rhizobium.
14,Q. 19. Name the bacteria which oxidise nitrites to nitrates.,Ans. Nitrobacter oxidises nitrites to nitrates.
15,Q. 20 How much energy is required for the synthesis of a single ammonia molecule during biological nitrogen fixation.,Ans. 8 ATP for each ammonia molecule
16,Q. 21. What is primary deficiency?,Ans. Deficiency which is caused by critical elements (NPK).
17,Q. 22. Name two denitrifying bacteria.,"Ans. (i) 𝑃𝑠𝑒𝑢𝑑𝑜𝑚𝑜𝑛𝑎𝑠, (ii) 𝑇ℎ𝑖𝑜𝑏𝑎𝑐𝑖𝑙𝑙𝑢𝑠."
18,Q. 23. Define mineral absorption.,"Ans. The process by which ions and molecules penetrate into living cells or tissues from the surrounding medium, crossing the cell membranes."
19,Q. 24. What is leghaemoglobin ?,"Ans. It is a pinkish or reddish haemoglobin like pigment present in the root nodules of leguminous plants, like beans, gram etc."
20,Q. 25. Which cyanobacterium has symbiotic association with 𝑨𝒛𝒐𝒍𝒍𝒂 ?,Ans. 𝐴𝑛𝑎𝑏𝑎𝑒𝑛𝑎. 
21,Q. 26 What is critical concentration ?   ,Ans. The concentration of the essential element below which growth in plant is reduced is termed as critical concentration.
22,Q. 27. What is symbiosis ?,"Ans. Two organisms that live in close physical association and are of mutual benefit to each other, are called symbionts. This condition is known as symbiosis."
23,Q. 28. How insectivorous plants fulfil their nitrogen requirements ?,Ans. Insectivorous plants fulfil their nitrogen requirements from insects and small animak trapped by their leaves.
24,Q. 29. Name the hydrolytic enzyme found in saprophytes.,"Ans. The hydrolytic enzyme found in saprophytes are-cellulases, chitinases, amylases, proteinases."
25,Q. 30. What is the cause of toxic effect in plants?,Ans. Toxic effects may be due to direct excess of the micro nutrient or its interference in the absorption and function of the other nutrients.
26,Q. 31. What is premature abscission ?,"Ans. Fall of leaves, flowers or fruits before their maturation is called as premature abscission."
27,Q. 32. What happens to nitrogenase in the absence of leghaemoglobin in the root nodules?,Ans. The nitrogenase enzyme is oxidised as it is very sensitive to oxygen.
28,Q. 33. Name two aerobic nitrogen-fixing bacteria.,Ans. 𝐴𝑧𝑜𝑡𝑜𝑏𝑎𝑐𝑡𝑒𝑟 and 𝐵𝑒𝑖𝑗𝑒𝑟𝑛𝑖𝑐𝑘𝑖𝑎.
29,Q. 34. Nam two anaerobic nitrogen -fixing bacteria.,Ans. Rhodospirillum and Bacillus.
30,Q. 35. Name the microbe which produces nitrogen fixing nodules on the roots of nonleguminous plants.,Ans. 𝐹𝑟𝑎𝑛𝑘𝑖𝑎.
31,Q. 36. Write the name of plant on which 𝑭𝒓𝒂𝒏𝒌𝒊𝒂 produces nodules.,Ans. 𝐴𝑙𝑛𝑢𝑠.
32,Q. 37. Give one difference between nitrification and denitrification. 13]  [KVS-2012- ,Ans. Conversion of ammonia into nitrites and nitrates is called nitrification whereas reduction of nitrate back into nitrogen is called denitrification.  
