question,answer,context
"The two-kingdom classification placed bacteria, algae, blue green algae, fungi, mosses, ferns, gymnosperms and angiosperms together under one single kingdomPlantae. According to you, what could have been the basis of such classification?","The two-kingdom classification system was given by Linnaeus in 1758. He classified all the known living beings into two categories- Animalia and Plantae on the basis of presence or absence of cell wall in their cells. As bacteria, algae, blue green algae, fungi, mosses, ferns, gymnosperms and angiosperms have the cells surrounded by cell walls, unlike animals, therefore, they were placed together under kingdom Plantae.","SUMMARY Biological classification of plants and animals was first proposed by Aristotle on the basis of simple morphological characters. Linnaeus later classified all living organisms into two kingdoms – Plantae and Animalia. Whittaker proposed an elaborate five kingdom classification – Monera, Protista, Fungi, Plantae and Animalia. The main criteria of the five kingdom classification were cell structure, body organisation, mode of nutrition and reproduction, and phylogenetic relationships. In the five kingdom classification, bacteria are included in Kingdom Monera. Bacteria are cosmopolitan in distribution. These organisms show the most extensive metabolic diversity. Bacteria may be autotrophic or heterotrophic in their mode of nutrition. Kingdom Protista includes all single-celled eukaryotes such as Chrysophytes, Dinoflagellates, Euglenoids, Slime-moulds and Protozoans. Protists have defined nucleus and other membrane bound organelles. They reproduce both asexually and sexually. Members of Kingdom Fungi show a great diversity in structures and habitat. Most fungi are saprophytic in their mode of nutrition. They show asexual and sexual reproduction. Phycomycetes, Ascomycetes, Basidiomycetes and Deuteromycetes are the four classes under this kingdom. The plantae includes all eukaryotic chlorophyll-containing organisms. Algae, bryophytes, pteridophytes, gymnosperms and angiosperms are included in this group. The life cycle of plants exhibit alternation of generations – gametophytic and sporophytic generations. The heterotrophic eukaryotic, multicellular organisms lacking a cell wall are included in the Kingdom Animalia. The mode of nutrition of these organisms is holozoic. They reproduce mostly by the sexual mode. Some acellular organisms like viruses and viroids as well as the lichens are not included in the five kingdom system of classification.
 "
"Name the following: (i) A poisonous mushroom having white spores (ii) Edible Basidiomycetes (iii) Fungus used in brewing industry (iv) It is searched by trained pets (v) Root like, cards like hyphal masses having a distinct growing point (vi) Non motile meiospores that develop in basidiomycetes","(i) Some fungi have evolved essential relationships with the roots of many living plants. This partnership is called mycorrhizal symbiosis. (ii) Nourishment: In orchids, the fungi absorb nourishment from outside, transports it over to the germinating seed. Absorption of water: Fungal association increases the water availability to the root. Growth promotion: Fungus produces growth promoting hormones and provides it to the plant.","filaments form a network around the young root or they penetrate the root cells. The hyphae have a very large surface area that absorb mineral ions and water from the soil from a much larger volume of soil that perhaps a root cannot do. The fungus provides minerals and water to the roots, in turn the roots provide sugars and N-containing compounds to the mycorrhizae. Some plants have an obligate association with the mycorrhizae. For example, Pinus seeds cannot germinate and establish without the presence of mycorrhizae.
 KINGDOM FUNGI
 The fungi constitute a unique kingdom of heterotrophic organisms. They show a great diversity in morphology and habitat. You must have seen fungi on a moist bread and rotten fruits. The common mushroom you eat and toadstools are also fungi. White spots seen on mustard leaves are due to a parasitic fungus. Some unicellular fungi, e.g., yeast are used to make bread and beer. Other fungi cause diseases in plants and animals; wheat rust-causing Puccinia is an important example. Some are the source of antibiotics, e.g., Penicillium. Fungi are cosmopolitan and occur in air, water, soil and on animals and plants. They prefer to grow in warm and humid places. Have you ever wondered why we keep food in the refrigerator ? Yes, it is to prevent food from going bad due to bacterial or fungal infections. With the exception of yeasts which are unicellular, fungi are filamentous. Their bodies consist of long, slender thread-like structures called hyphae. The network of hyphae is known as mycelium. Some hyphae are continuous tubes filled with multinucleated cytoplasm – these are called coenocytic hyphae. Others have septae or cross walls in their hyphae. The cell walls of fungi are composed of chitin and polysaccharides. Most fungi are heterotrophic and absorb soluble organic matter from dead substrates and hence are called saprophytes. Those that depend on living plants and animals are called parasites. They can also live as symbionts – in association with algae as lichens and with roots of higher plants as mycorrhiza. Reproduction in fungi can take place by vegetative means – fragmentation, fission and budding. Asexual reproduction is by spores
 "
Give the name of the bacteria for the following activities: (i) Food poisoning (ii) Denitrification of soil (iii) Dairy industry (iv) Genetic engineering (v) Vinegar production,(i) Clostridium sp. (ii) Thiobacillus  (iii) Lactobacillus (iv) Escherichia coli (v) Acetobacter aceti  ,"(a) Chlamydomonas (b) Cycas (c) Selaginella (d) Sphagnum
 "
Plants require water for their survival but when watered excessively plants die. Discuss.,"Excessive watering drives away air from the soil. Root absorption, root growth and root survival are dependent upon aerobic respiration. In the absence of air or oxygen, the roots fail to absorb water despite its excess presence in the soil. Therefore, the plants die.","water. A seed may appear dry but it still has water – otherwise it would not be alive and respiring! Terrestrial plants take up huge amount water daily but most of it is lost to the air through evaporation from the leaves, i.e., transpiration. A mature corn plant absorbs almost three litres of water in a day, while a mustard plant absorbs water equal to its own weight in about 5 hours. Because of this high demand for water, it is not surprising that water is often the limiting factor for plant growth and productivity in both agricultural and natural environments.
 "
Answer the following with reference to the anatomy of monocot stem: (i) How are the vascular bundles arranged? (ii) How are the xylem vessels arranged in each bundle? (iii) Are vascular bundles closed ones? What type of tissues they lack?,"(i) Vascular bundles are scattered in the ground tissue. (ii) Y-shaped (vessels are arranged to form Y, larger towards upper side while smaller towards lower side); endarch condition. (iii) Closed ones. They lack cambium.","The vascular system consists of complex tissues, the phloem and the xylem.The xylem and phloem together constitute vascular bundles (Figure 6.5). In dicotyledonous stems, cambium is present between phloem and xylem. Such vascular bundles because of the presence of cambium possess the ability to form secondary xylem and phloem tissues, and hence are called open vascular bundles. In the monocotyledons, the vascular bundles have no cambium present in them. Hence, since they do not form secondary tissues they are referred to as closed. When xylem and phloem within a vascular bundle are arranged in an alternate manner along the different radii, the arrangement is called radial such as in roots. In conjoint type of vascular bundles, the xylem and phloem are jointly situated along the same radius of vascular bundles. Such vascular bundles are common in stems and leaves. The conjoint vascular bundles usually have the phloem located only on the outer side of xylem.
 6.3 Figure 6.5 Various types of vascular bundles : (a) radial (b) conjoint closed (c) conjoint open
 6.3 Figure 6.5 Various types of vascular bundles : (a) radial (b) conjoint closed (c) conjoint open
 "
Why wood is a unique raw material? Give its limitations.,"Wood is a unique and important raw material because of the following reasons: (i) Wood can be transported to long distances through rivers without much expenditure. Being light in weight, its transport charges are low. (ii) It is a poor conductor of heat. (iii) Dry wood does not allow passage of electricity. However, wet wood does conduct the same. (iv) Wooden buildings are warm in winter. They are cool in summer. (v) Wood is very easy to work with even by an untrained person. Many household articles, simple tools and implements are prepared from wood even by ordinary people. (vi) Wood is able to absorb vibrations and shocks. It is, therefore, used in railway sleepers. (vii) Because of its porous nature, wood can hold paint, lacquer, varnish and other types of polishing materials. (viii) Wooden articles maintain their shape indefinitely. (ix) In can tolerate compression, pull, bending and tearing. (x) It does not develop rusty spots or show signs of crystallisation. Treatment with special chemicals can increase its durability. Limitations of Wood: (i) Wood catches fire when heated to 275°C. It is, therefore, combustible. (ii) There is a lot of wastage when wood is used for developing timber articles. (iii) Physical and mechanical properties of wood cannot be improved to any appreciable extent. (iv) It is liable to be attacked by termites and microorganisms of decay. (v) Wood swells up on becoming wet.  ","Spring wood and autumn wood
 The activity of cambium is under the control of many physiological and environmental factors. In temperate regions, the climatic conditions are not uniform through the year. In the spring season, cambium is very active and produces a large number of xylary elements having vessels with wider cavities. The wood formed during this season is called spring wood or early wood. In winter, the cambium is less active and forms fewer xylary elements that have narrow vessels, and this wood is called autumn wood or late wood. The spring wood is lighter in colour and has a lower density whereas the autumn wood is darker and has a higher density. The two kinds of woods that appear as alternate concentric rings, constitute an annual ring. Annual rings seen in a cut stem give an estimate of the age of the tree. 6.4.1.4
 The activity of cambium is under the control of many physiological and environmental factors. In temperate regions, the climatic conditions are not uniform through the year. In the spring season, cambium is very active and produces a large number of xylary elements having vessels with wider cavities. The wood formed during this season is called spring wood or early wood. In winter, the cambium is less active and forms fewer xylary elements that have narrow vessels, and this wood is called autumn wood or late wood. The spring wood is lighter in colour and has a lower density whereas the autumn wood is darker and has a higher density. The two kinds of woods that appear as alternate concentric rings, constitute an annual ring. Annual rings seen in a cut stem give an estimate of the age of the tree. 6.4.1.4
 Heartwood and sapwood
 Heartwood and sapwood
 In old trees, the greater part of secondary xylem is dark brown due to deposition of organic compounds like tannins, resins, oils, gums, aromatic substances and essential oils in the central or innermost layers of the stem. These substances make it hard, durable and resistant to the attacks of microorganisms and insects. This region comprises dead elements with highly lignified walls and is called heartwood. The heartwood does not conduct water but it gives mechanical support to the stem. The peripheral region of the secondary xylem, is lighter in colour and is known as the sapwood. It is involved in the conduction of water and minerals from root to leaf.
 In old trees, the greater part of secondary xylem is dark brown due to deposition of organic compounds like tannins, resins, oils, gums, aromatic substances and essential oils in the central or innermost layers of the stem. These substances make it hard, durable and resistant to the attacks of microorganisms and insects. This region comprises dead elements with highly lignified walls and is called heartwood. The heartwood does not conduct water but it gives mechanical support to the stem. The peripheral region of the secondary xylem, is lighter in colour and is known as the sapwood. It is involved in the conduction of water and minerals from root to leaf.
 "
Write about cellular autonomy in unicellular organisms.,All cells are autonomous because of the following facts: (i) Each and every cell converts non-living materials into components of living matter. (ii) Each cell builds up its own macromolecules from micromolecules. (iii) All cells obtain or manufacture food. (iv) A cell is always building a new structure to,"Are you aware that all organisms, even the largest, start their life from a single cell? You may wonder how a single cell then goes on to form such large organisms. Growth and reproduction are characteristics of cells, indeed of all living organisms. All cells reproduce by dividing into two, with each parental cell giving rise to two daughter cells each time they divide. These newly formed daughter cells can themselves grow and divide, giving rise to a new cell population that is formed by the growth and division of a single parental cell and its progeny. In other words, such cycles of growth and division allow a single cell to form a structure consisting of millions of cells.
 "
What are the factors which set the limit of cell size?,The factors which set the limit of cell size or volume are: (i) Nucleo-cytoplasmic ratio which determines the range of control of metabolic activities by nucleus. (ii) Ability of oxygen and other materials to reach every part of cell. (iii) Ability of waste products to pass to the outside. (iv) Rate of metabolic activity. (v) Rate of surface area to the volume of the cell.,"SUMMARY Growth is one of the most conspicuous events in any living organism. It is an irreversible increase expressed in parameters such as size, area, length, height, volume, cell number etc. It conspicuously involves increased protoplasmic material. In plants, meristems are the sites of growth. Root and shoot apical meristems sometimes alongwith intercalary meristem, contribute to the elongation growth of plant axes. Growth is indeterminate in higher plants. Following cell division in root and shoot apical meristem cells, the growth could be arithmetic or geometrical. Growth may not be and generally is not sustained at a high rate throughout the life of cell/tissue/organ/organism. One can define three principle phases of growth – the lag, the log and the senescent phase. When a cell loses the capacity to divide, it leads to differentiation. Differentiation results in development of structures that is commensurate with the function the cells finally has to perform. General principles for differentiation for cell, tissues and organs are similar. A differentiated cell may dedifferentiate and then redifferentiate. Since differentiation in plants is open, the development could also be flexible, i.e., the development is the sum of growth and differentiation. Plant exhibit plasticity in development. Plant growth and development are under the control of both intrinsic and extrinsic factors. Intercellular intrinsic factors are the chemical substances, called plant growth regulators (PGR). There are diverse groups of PGRs in plants, principally belonging to five groups: auxins, gibberellins, cytokinins, abscisic acid and ethylene. These PGRs are synthesised in various parts of the plant; they control different differentiation and developmental events. Any PGR has diverse physiological effects on plants. Diverse PGRs also manifest similar effects. PGRs may act synergistically or antagonistically. Plant growth and development is also affected by light, temperature, nutrition, oxygen status, gravity and such external factors. Flowering in some plants is induced only when exposed to certain duration of photoperiod. Depending on the nature of photoperiod requirements, the plants are called short day plants, long day plants and day-neutral plants. Certain plants also need to be exposed to low temperature so as to hasten flowering later in life. This treatement is known as vernalisation.
 "
What is cytoplasmic streaming? How many types of streaming are there?,They did not explain the rise of new cells. Rudolph Virchow modified it and stated that cells arise from the pre-existing cells.,"Schwann (1839), a British Zoologist, studied different types of animal cells and reported that cells had a thin outer layer which is today known as the ‘plasma membrane’. He also concluded, based on his studies on plant tissues, that the presence of cell wall is a unique character of the plant cells. On the basis of this, Schwann proposed the hypothesis that the bodies of animals and plants are composed of cells and products of cells. Schleiden and Schwann together formulated the cell theory. This theory however, did not explain as to how new cells were formed. Rudolf Virchow (1855) first explained that cells divided and new cells are formed from pre-existing cells (Omnis cellula-e cellula). He modified the hypothesis of Schleiden and Schwann to give the cell theory a final shape. Cell theory as understood today is: (i) all living organisms are composed of cells and products of cells. (ii) all cells arise from pre-existing cells.
 Robert Brown discovered the cell. Schleiden and Schwann formulated the cell theory. Virchow explained that cells are formed from pre-existing cells. A unicellular organism carries out its life activities within a single cell.
 New cells generate from (a) bacterial fermentation (c) pre-existing cells
 "
A student collected water sample from water body and took it to the bio lab. There he observed that it had microorganisms in it. He observed one organism with small extension whole over the body and one organism with few long extension over the body. According to above information what extensions are these and explain about it.,"Short extensions are cilia; long extensions are flagella. Cilia are short and numerous. Hair like cilia beat like tiny oars or pedals. Flagella are much longer, fewer and bring about whip-like lashing movement.","Figure 8.10 Section of cilia/flagella showing different parts : (a) Electron micrograph (b) Diagrammatic representation of internal structure
 8.5.8 Cilia and Flagella Cilia (sing.: cilium) and flagella (sing.: flagellum) are hair-like outgrowths of the cell membrane. Cilia are small structures which work like oars, causing the movement of either the cell or the surrounding fluid. Flagella are comparatively longer and responsible for cell movement. The prokaryotic bacteria also possess flagella but these are structurally different from that of the eukaryotic flagella. The electron microscopic study of a cilium or the flagellum show that they are covered with plasma membrane. Their core called the axoneme, possesses a number of microtubules running parallel to the long axis. The axoneme usually has nine doublets of radially arranged peripheral microtubules, and a pair of centrally located microtubules. Such an arrangement of axonemal microtubules is referred to as the 9+2 array (Figure 8.10). The central tubules are connected by bridges and is also enclosed by a central sheath, which is connected to one of the tubules of each peripheral doublets by a radial spoke. Thus, there are nine radial spokes. The peripheral doublets are also interconnected by linkers. Both the cilium and flagellum emerge from centriole-like structure called the basal bodies.
 8.5.8 Cilia and Flagella Cilia (sing.: cilium) and flagella (sing.: flagellum) are hair-like outgrowths of the cell membrane. Cilia are small structures which work like oars, causing the movement of either the cell or the surrounding fluid. Flagella are comparatively longer and responsible for cell movement. The prokaryotic bacteria also possess flagella but these are structurally different from that of the eukaryotic flagella. The electron microscopic study of a cilium or the flagellum show that they are covered with plasma membrane. Their core called the axoneme, possesses a number of microtubules running parallel to the long axis. The axoneme usually has nine doublets of radially arranged peripheral microtubules, and a pair of centrally located microtubules. Such an arrangement of axonemal microtubules is referred to as the 9+2 array (Figure 8.10). The central tubules are connected by bridges and is also enclosed by a central sheath, which is connected to one of the tubules of each peripheral doublets by a radial spoke. Thus, there are nine radial spokes. The peripheral doublets are also interconnected by linkers. Both the cilium and flagellum emerge from centriole-like structure called the basal bodies.
 "
