question,answer,context
Compare the salient features of Monera and Protista.,"S. No.  Salient Features  Monera  Protista  (i)  Cell types  Prokaryotic Type  Eukaryotic type.  (ii)  Cell wall  Non-Cellulosic  Cellulosic  (iii)  Chloroplasts  Absent  (iv)  Body Organization Cellular  Found in some 𝑒. 𝑔. , 𝐸𝑢𝑔𝑙𝑒𝑛𝑎. Celluar  (v)  Mode of Nutrition  Autotrophic  Autotrophic and heterotrophic. ","2.2 KINGDOM PROTISTA All single-celled eukaryotes are placed under Protista, but the boundaries of this kingdom are not well defined. What may be ‘a photosynthetic protistan’ to one biologist may be ‘a plant’ to another. In this book we include Chrysophytes, Dinoflagellates, Euglenoids, Slime moulds and Protozoans under Protista. Members of Protista are primarily aquatic. This kingdom forms a link with the others dealing with plants, animals and fungi. Being eukaryotes, the protistan cell body contains a well defined nucleus and other membrane-bound organelles. Some have flagella or cilia. Protists reproduce asexually and sexually by a process involving cell fusion and zygote formation.
 "
Classify bacteria on the basis of their shape.,"Bacteria are classified as given below: (i) Cocci : They are oval or spherical in shape. When they occur singly, they are called Micrococcus; if in pairs Diplococcus; if in a chain, Streptococcus; and if occur in clusters, Staphylococcus. (ii) Bacilli: They are rod-like, with or without flagella. Flagella may be present at one or both the ends or around cells. Bacteria may occur singly, Bacillus; or in pairs, Diplobacillus or may form filaments, Streptobacillus. (ii) Vibrio : They are small and curved like commas. These are mostly motile. (iv) Spirillum : These are twisted like a screw. They have flagella at one end or both the ends. Certain bacteria possess flagella for locomotion.","Bacteria are the sole members of the Kingdom Monera. They are the most abundant micro-organisms. Bacteria occur almost everywhere. Hundreds of bacteria are present in a handful of soil. They also live in extreme habitats such as hot springs, deserts, snow and deep oceans where very few other life forms can survive. Many of them live in or on other organisms as parasites. Bacteria are grouped under four categories based on their shape: the spherical Coccus (pl.: cocci), the rod-shaped Bacillus (pl.: bacilli), the comma-shaped Vibrium (pl.: vibrio) and the spiral Spirillum (pl.: spirilla) (Figure 2.1).
 "
Describe the major groups of Protista.,"The kingdom Protista includes unicellular, eukaryotic organisms. They include both Posynthetic and non-photosynthetic forms. The kingdom Protista includes protistan algae, slime moulds and protozoans. (i) Protistan algae: They are photosynthetic protists. They include dinoflagellates and diatoms. (a) Dinoflagellates: These are golden brown biflagellated Photosynthetic protists. They possess cellulose wall in the form of distinct interlocking plates. (b) Diatoms: They are group of golden brown Photosynthetic protists which are covered by two valved silicious wall called shell or frustule. They pile up at the bottom water reservoirs and form big heap called diatomite. (ii) Slime moulds : Slime moulds are both plants and animals like. They are plant like in the production of spores, and animal like in the mode of nutrition and somatic organisation. It moves freely on the substratum and feeds on bacteria, fungal and algal spores and also absorb nutrients directly from the substratum. (iii) Protozoa : These are microscopic unicellular organisms with varied shapes and forms. This may be free living, commensal or parasitic. They lack cell wall, but some possess proteinaceous flexible pellicle. Locomotion occurs by pseudopodia, flagella or cilia. These reproduce asexually by binary fission. Some reproduce sexually by conjugation.","2.2 KINGDOM PROTISTA All single-celled eukaryotes are placed under Protista, but the boundaries of this kingdom are not well defined. What may be ‘a photosynthetic protistan’ to one biologist may be ‘a plant’ to another. In this book we include Chrysophytes, Dinoflagellates, Euglenoids, Slime moulds and Protozoans under Protista. Members of Protista are primarily aquatic. This kingdom forms a link with the others dealing with plants, animals and fungi. Being eukaryotes, the protistan cell body contains a well defined nucleus and other membrane-bound organelles. Some have flagella or cilia. Protists reproduce asexually and sexually by a process involving cell fusion and zygote formation.
 "
Write Short notes on: (i) Methanogens (ii) Halophiles (iii) Thermoacidophiles. ,"(i) Cyanobacteria or blue-green algae are gram(+) photosynthetic prokaryotes which perform oxygenic photosynthesis (ii) Cell structure is typically prokaryotic-one envelope organisation with peptidoglycan wall naked DNA, 70S ribosomes, devoid of membrane bound cell organelles. (iii) The outer part of the protoplast contains a number of photosynthetic thylakoids. It is called as chromoplasm. (iv) Their membranes contain chlorophyll a, carotenes and xanthophylls. Chlorophyll b is absent. (v) DNA lies coiled generally in central part of the cytoplasm known as centroplasm. (vi) Small circular DNA segments may also occur in nucleoid, known as plasmid or transposons.","3.1.1 Chlorophyceae The members of chlorophyceae are commonly called green algae. The plant body may be unicellular, colonial or filamentous. They are usually grass green due to the dominance of pigments chlorophyll a and b. The pigments are localised in definite chloroplasts. The chloroplasts may be discoid, plate-like, reticulate, cup-shaped, spiral or ribbon-shaped in different species. Most of the members have one or more storage bodies called pyrenoids located in the chloroplasts. Pyrenoids contain protein besides starch. Some algae may store food in the form of oil droplets. Green algae usually have a rigid cell wall made of an inner layer of cellulose and an outer layer of pectose. Vegetative reproduction usually takes place by fragmentation or by formation of different types of spores. Asexual reproduction is by flagellated zoospores produced in zoosporangia. The sexual reproduction shows considerable variation in the type and formation of sex cells and it may be isogamous, anisogamous or oogamous. Some commonly found green algae are: Chlamydomonas, Volvox, Ulothrix, Spirogyra and Chara (Figure 3.1a).
 "
What are the salient features of kingdom Fungi? ,"Kingdom Fungi : The kingdom fungi, includes achlorophyllous, spore producing, multicellular, eukaryotic organisms . Salient features: (i) The body of fungi is filamentous called mycelium. The filaments are known as hyphae. (ii) The hyphae are either multicellular or coenocytic i.e. multinucleate and without cross walls. (iii) The cell wall contain chitin and non-cellulosic polysaccharides N-acetyl - glucosamine. (iv) They have two envelop type of cellular organisation. (v) The are heterotrophic with absorptive type of nutrition. It is either saprobic or parasitic. Saprobic fungi excrete digestive enzymes in the external medium to make complex organic matter soluble for absorption. Parasitic fungi absorb nourishment directly from another living organism called host. (vi) Reserve food is glycogen and fat. (vii) Reproduction is both asexual and sexual. Asexual reproduction takes place by spores like zoospores, conidia, ascospores and basidiospores. Sexual reproduction involves fusion of similar gametes. In some fungi, the fusion of two haploid (n) cells results in diploid (2n) cell or zygote. (viii) Many fungi act as decomposers and mineralisers and thus, play an important role in nutrient cycling in the biosphere.","KINGDOM FUNGI
 The fungi constitute a unique kingdom of heterotrophic organisms. They show a great diversity in morphology and habitat. You must have seen fungi on a moist bread and rotten fruits. The common mushroom you eat and toadstools are also fungi. White spots seen on mustard leaves are due to a parasitic fungus. Some unicellular fungi, e.g., yeast are used to make bread and beer. Other fungi cause diseases in plants and animals; wheat rust-causing Puccinia is an important example. Some are the source of antibiotics, e.g., Penicillium. Fungi are cosmopolitan and occur in air, water, soil and on animals and plants. They prefer to grow in warm and humid places. Have you ever wondered why we keep food in the refrigerator ? Yes, it is to prevent food from going bad due to bacterial or fungal infections. With the exception of yeasts which are unicellular, fungi are filamentous. Their bodies consist of long, slender thread-like structures called hyphae. The network of hyphae is known as mycelium. Some hyphae are continuous tubes filled with multinucleated cytoplasm – these are called coenocytic hyphae. Others have septae or cross walls in their hyphae. The cell walls of fungi are composed of chitin and polysaccharides. Most fungi are heterotrophic and absorb soluble organic matter from dead substrates and hence are called saprophytes. Those that depend on living plants and animals are called parasites. They can also live as symbionts – in association with algae as lichens and with roots of higher plants as mycorrhiza. Reproduction in fungi can take place by vegetative means – fragmentation, fission and budding. Asexual reproduction is by spores
 The fungi constitute a unique kingdom of heterotrophic organisms. They show a great diversity in morphology and habitat. You must have seen fungi on a moist bread and rotten fruits. The common mushroom you eat and toadstools are also fungi. White spots seen on mustard leaves are due to a parasitic fungus. Some unicellular fungi, e.g., yeast are used to make bread and beer. Other fungi cause diseases in plants and animals; wheat rust-causing Puccinia is an important example. Some are the source of antibiotics, e.g., Penicillium. Fungi are cosmopolitan and occur in air, water, soil and on animals and plants. They prefer to grow in warm and humid places. Have you ever wondered why we keep food in the refrigerator ? Yes, it is to prevent food from going bad due to bacterial or fungal infections. With the exception of yeasts which are unicellular, fungi are filamentous. Their bodies consist of long, slender thread-like structures called hyphae. The network of hyphae is known as mycelium. Some hyphae are continuous tubes filled with multinucleated cytoplasm – these are called coenocytic hyphae. Others have septae or cross walls in their hyphae. The cell walls of fungi are composed of chitin and polysaccharides. Most fungi are heterotrophic and absorb soluble organic matter from dead substrates and hence are called saprophytes. Those that depend on living plants and animals are called parasites. They can also live as symbionts – in association with algae as lichens and with roots of higher plants as mycorrhiza. Reproduction in fungi can take place by vegetative means – fragmentation, fission and budding. Asexual reproduction is by spores
 "
Q. 8.. Explain in detail the various methods of asexual reproduction in fungi.,Kingdom Plantae contains all photosynthetic eukaryotic multicellular organisms and their non-photosynthetic relatives..  The salient features of kingdom Plantae are: (i) Organisms are multicellular except for some algae. (ii) They are eukaryotic. (iii) Body form is less regular and Growth is usually indefinite. (iv) Mode of nutrition is oxygenic photosynthesis. (v) The photosynthetic regions contain chlorophyll. (vi) The plants are usually fixed or free-floating. (vii) Structural differentiation into tissues is found except for certain algae. (viii) The cells contain central vacuoles. (ix) Food reserve is usually starch and fat. (x) Some of the plants are heterotrophic such as insectivorous plants. (xi) Reproduction is both asexual and sexual. Accessory spores are present in lower plants.  ,"2.4 KINGDOM PLANTAE Kingdom Plantae includes all eukaryotic chlorophyll-containing organisms commonly called plants. A few members are partially heterotrophic such as the insectivorous plants or parasites. Bladderwort and Venus fly trap are examples of insectivorous plants and Cuscuta is a parasite. The plant cells have an eukaryotic structure with prominent chloroplasts and cell wall mainly made of cellulose. You will study the eukaryotic cell structure in detail in Chapter 8. Plantae includes algae, bryophytes, pteridophytes, gymnosperms and angiosperms. Life cycle of plants has two distinct phases – the diploid sporophytic and the haploid gametophytic – that alternate with each other. The lengths of the haploid and diploid phases, and whether these phases are free– living or dependent on others, vary among different groups in plants. This phenomenon is called alternation of generation. You will study further details of this kingdom in Chapter 3.
 "
How many types of meristems are found on the basis of origin?,"Depending upon the mode of origin, meristems are classified into three types: (i) Promeristem: (a) Promeristems are also called primordial meristems or embryonic meristems. (b) These are localized groups of meristematic cells in germinating embryos or young seedlings. (c) Promeristems give rise to primary meristems where formation of new organs are initiated. (ii) Primary meristems: (a) These are the meristems, which are derived from the promeristems and retain the capacity to divide throughout the life of the plant. (b) They are represented by apical meristem, intercalary meristem and intrafascicular cambium. (c) The primary meristems form different primary permanent tissues. (d) The intrafascicular cambium, produces secondary vascular tissues and medullary rays. (iii) Secondary meristems: (a) These are the meristem, which are formed from permanent tissues by the process of differentiation. (b) They are represented by interfascicular cambium, vascular cambium, cork cambium or phellogen, wound cambium and accessory cambium. (c) They all are lateral in position and give rise to secondary permanent tissues that result in radial growth.","Root apical meristem occupies the tip of a root while the shoot apical meristem occupies the distant most region of the stem axis. During the formation of leaves and elongation of stem, some cells ‘left behind’ from shoot apical meristem, constitute the axillary bud. Such buds are present in the axils of leaves and are capable of forming a branch or a flower. The meristem which occurs between mature tissues is known as intercalary meristem. They occur in grasses and regenerate parts removed by the grazing herbivores. Both apical meristems and intercalary meristems are primary meristems because they appear early in life of a plant and contribute to the formation of the primary plant body. The meristem that occurs in the mature regions of roots and shoots of many plants, particularly those that produce woody axis and appear later than primary meristem is called the secondary or lateral meristem. They are cylindrical meristems. Fascicular vascular cambium, interfascicular cambium and cork-cambium are examples of lateral meristems. These are responsible for producing the secondary tissues. Following divisions of cells in both primary and as well as secondary meristems, the newly formed cells become structurally and functionally specialised and lose the ability to divide. Such cells are termed permanent or mature cells and constitute the permanent tissues. During the formation of the primary plant body, specific regions of the apical meristem produce dermal tissues, ground tissues and vascular tissues.
 "
Give a brief account on the components of xylem.,"Epidermal tissue system: It is the outermost protective tissue of the plant organs. It is derived from Protoderm and consists of epidermis, stomata and epidermal outgrowths. (i) Epidermis: (a) Epidermis is usually single layered, but in the leaves of some tropical plants it is more than one layer in thickness. (b) There is a layer of cutin, on the outer side of the epidermis of aerial parts of the plants called cuticle. (c) Epidermis along with cuticle protect the inner cells against loss of water, mechanical injury, attack of pathogens and leaching effect of rain. (d) The epidermis of grasses and cereals has a deposition of silica. (ii) Stomata are structures present in the epidermis of leaves which regulates the process of transpiration and gaseous exchange. (iii) Epidermal outgrowths: (a) The epidermis of most plants often bear outgrowths called epidermal outgrowths. They are of two type – Trichomes and hairs. (a) On the stem, the epidermal hairs are called trichomes. They are usually multicellular, branched or unbranched and soft or stiff. They may be secondary also. The trichomes help in preventing water loss due to transpiration. (b) The root epidermis bears unicellular outgrowths called root hairs. It is therefore, also called piliferous layer or epiblema. It is mainly concerned with the absorption of water and minerals from the soil.","Epidermal Tissue System
 The epidermal tissue system forms the outer-most covering of the whole plant body and comprises epidermal cells, stomata and the epidermal appendages – the trichomes and hairs. The epidermis is the outermost layer of the primary plant body. It is made up of elongated, compactly
 The epidermal tissue system forms the outer-most covering of the whole plant body and comprises epidermal cells, stomata and the epidermal appendages – the trichomes and hairs. The epidermis is the outermost layer of the primary plant body. It is made up of elongated, compactly
 "
What is root apes? Name the three meristematic regions of it.,"Meristems or meristematic tissues are the tissues which are made up of group of immature and similar cells, that are in continuous state of division, forming new cells. The cells of a meristematic tissue are characterised by the following features: (i) The cells are immature and are capable of dividing indefinitely. (ii) They are small and thin walled cells, without intercellular spaces. (iii) The cells are generally isodiametric (almost of same length and breadth) and are rounded, oval or polygonal in outline. (iv) They have thin and elastic cell wall, made up of cellulose. (v) The vacuoles are absent or are very small. Cambium cells, however, possess large vacuoles. (vi) The plastids are present in proplastid stage. (vii) The cells do not store reserve food and are in active stage of metabolism. (viii) The cells lack inorganic crystals and other ergastic substances. (ix) The meristematic cells are mother cells from which all other types of cells are formed.","Meristematic Tissues
 Growth in plants is largely restricted to specialised regions of active cell division called meristems (Gk. meristos: divided). Plants have different kinds of meristems. The meristems which occur at the tips of roots and shoots and produce primary tissues are called apical meristems (Figure 6.1).
 "
Q. 6 What is phloem? Explain its components.,"Phloem: Phloem is a complex permanent tissue, which is meant for the conduction of food within the plant. It is also called bast or leptome. Phloem consists of four types of cells: (i) Sieve elements: They are the main food conducting elements and are of two types-sieve cells and sieve tubes. (a) Sieve cells: They are elongated cells having several perforated areas called sieve areas. (b) Sieve tubes: They are elongated tubular channels. Each sieve tube is made up of several cells called sieve tube members. The end walls have many large pores or sieve pits and are known as sieve plates. Each sieve tube is associated with a companion cell. Sieve element take part in the transport of organic food. (ii) Companion cells: They are elongated thin walled parenchymatous cells, which lie on the sides of the sieve tubes. The companion cell and a sieve tube originate from the same mother cell. The companion cells play an important role in the maintenance of a pressure gradient in the sieve tubes. (iii) Phloem parenchyma: They are ordinary parenchyma cells, which are intermingled with sieve elements. They store food and also assist in the conduction of food in lateral direction. (iv) Phloem fibres: They are also called bast fibres, Phloem fibres are sclerenchymatous fibres, which occur in phloem. They provide mechanical strength. The textile fibres of flex,  hemp and jute are phloem fibres. ","and phloem fibres. Gymnosperms have albuminous cells and sieve cells. They lack sieve tubes and companion cells. Sieve tube elements are also long, tube-like structures, arranged longitudinally and are associated with the companion cells. Their end walls are perforated in a sieve-like manner to form the sieve plates. A mature sieve element possesses a peripheral cytoplasm and a large vacuole but lacks a nucleus. The functions of sieve tubes are controlled by the nucleus of companion cells. The companion cells are specialised parenchymatous cells, which are closely associated with sieve tube elements. The sieve tube elements and companion cells are connected by pit fields present between their common longitudinal walls. The companion cells help in maintaining the pressure gradient in the sieve tubes. Phloem parenchyma is made up of elongated, tapering cylindrical cells which have dense cytoplasm and nucleus. The cell wall is composed of cellulose and has pits through which plasmodesmatal connections exist between the cells. The phloem parenchyma stores food material and other substances like resins, latex and mucilage. Phloem parenchyma is absent in most of the monocotyledons. Phloem fibres (bast fibres) are made up of sclerenchymatous cells. These are generally absent in the primary phloem but are found in the secondary phloem. These are much elongated, unbranched and have pointed, needle like apices. The cell wall of phloem fibres is quite thick. At maturity, these fibres lose their protoplasm and become dead. Phloem fibres of jute, flax and hemp are used commercially. The first formed primary phloem consists of narrow sieve tubes and is referred to as protophloem and the later formed phloem has bigger sieve tubes and is referred to as metaphloem.
 "
