question,answer,context
Name the two kingdoms of the living world proposed by Linnaeus.,The two kingdoms of the living world proposed by Linnaeus are: Plantae and Animalia.,"Broad classification of Kingdom Animalia based on common fundamental features
 "
Who introduced five kingdoms classification?,R. H. Whittaker.,"r
 "
What are eukaryotes?,Organism in which cells have nuclear envelope around the genetic material are called eukaryotes.,"EUKARYOTIC CELLS
 Eukaryotic
 Eukaryotic
 Eukaryotic
 Eukaryotic
 Eukaryotic
 Eukaryotic
 "
What are prokaryotes?,Organism with cells devoid of a devoid of a definite nuclear membrane around the genetic material are prokaryotes.,"Prokaryotic
 "
Name the scientist who suggested “three kingdom system of classification”.,E. Haeckel suggested three kingdom system of classification.,"R.H. Whittaker (1969) proposed a Five Kingdom Classification. The kingdoms defined by him were named Monera, Protista, Fungi, Plantae and Animalia. The main criteria for classification used by him include cell structure, body organisation, mode of nutrition, reproduction and phylogenetic relationships. Table 2.1 gives a comparative account of different characteristics of the five kingdoms. The three-domain system has also been proposed that divides the Kingdom Monera into two domains, leaving the remaining eukaryotic kingdoms in the third domain and thereby a six kingdom classification. You will learn about this system in detail at higher classes. Let us look at this five kingdom classification to understand the issues and considerations that influenced the classification system. Earlier classification systems included bacteria, blue green algae, fungi, mosses, ferns, gymnosperms and the angiosperms under ‘Plants’. The character that unified this whole kingdom was that all the organisms included had a cell wall in their cells. This placed together groups which widely differed in other characteristics. It brought together the prokaryotic bacteria and the blue green algae (cyanobacteria) with other groups which were eukaryotic. It also grouped together the unicellular organisms and the multicellular ones, say, for example, Chlamydomonas and Spirogyra were placed together under algae. The classification did not differentiate between the heterotrophic group – fungi, and the autotrophic green plants, though they also showed a characteristic difference in their walls composition – the fungi had chitin
 "
Name three major groups of Archaebacteria?,"The three major groups of Archaebacteria are: Methanogens, Halophiles, Thermoacidophiles.","Class 1. Chondrichthyes 2. Osteichthyes
 "
What are protists?,Protists are eukaryotic unicellular organism.,"Protista
 "
What are phytoplankton?,"These are microscopic, free-floating Photosynthetic organisms.","2.1.2 Eubacteria There are thousands of different eubacteria or ‘true bacteria’. They are characterised by the presence of a rigid cell wall, and if motile, a flagellum. The cyanobacteria (also referred to as blue-green algae) have chlorophyll a similar to green plants and are photosynthetic autotrophs (Figure 2.2). The cyanobacteria are unicellular, colonial or filamentous, freshwater/marine or terrestrial algae. The colonies are generally surrounded by gelatinous sheath. They often form blooms in polluted water bodies. Some of these organisms can fix atmospheric nitrogen in specialised cells called heterocysts, e.g., Nostoc and Anabaena. Chemosynthetic autotrophic bacteria oxidise various inorganic substances such as nitrates, nitrites and ammonia and use the released energy for their ATP production. They play a great role in recycling nutrients like nitrogen, phosphorous, iron and sulphur. Heterotrophic bacteria are most abundant in nature. The majority are important decomposers. Many of them have a significant impact on human affairs. They are helpful in making curd from milk, production of antibiotics, fixing nitrogen in legume
 "
In which kingdom are bacteria included?,Kingdom Monera.,"KINGDOM MONERA
 "
Expand PPLO. What is its other name ?,PPLO Means pleuropneumonia like organisms. Its other name is Mycoplasma.,"po
 "
