questions,answers
Mention the mode of reproduction found in the following organisms: (i) Bacteria (ii) 𝑷𝒍𝒂𝒏𝒂𝒓𝒊𝒂 (iii) 𝑯𝒚𝒅𝒓𝒂 (iv) Fungi., (i) Bacteria: Fission (Cell division) (ii) Planaria: Regeneration (iii) Hydra: Budding (iv) Fungi: Spore formation 
Reproduction cannot be all-inclusive defining characteristic of living organisms. Comment.,"Some organisms like mules, sterile worker bees, infertile human couples, etc., exhibit Characteristics of living things but they do not reproduce. Therefore reproduction cannot be an all-inclusive defining characteristic of living organisms."
What are the rules of binomial nomenclature? ,"Rules of nomenclature are as follows: (i) Biological names are generally in Latin or derived from Latin irrespective of their origin. (ii) The first world in a biological name represent the genus while the second component denotes the specific epithet. (iii) The words when hand written are separately underlined, or printed in italics. (iv) The first word denoting the genus starts with a capital letter while the specific epithet starts with a small letter."
What processes are basic to taxonomy?,"Characterisation, identification and nomenclature are the processes which are basic to taxonomy."
Why was nomenclature necessary?,"Plants and animals in the world are known by their local names. These local names would vary from place to place. Therefore, there was a need to standardise the naming of living organisms which is recognised all over the world. Therefore the process called nomenclature was necessary."
"Given the scientific names of the following: Rose, Mango, Potato, Frog, Cat, Earthworm.",(i) Rose: 𝑅𝑜𝑠𝑎 𝑖𝑛𝑑𝑖𝑐𝑎 (ii) Mango: 𝑀𝑎𝑛𝑔𝑖𝑓𝑒𝑟𝑎 𝑖𝑛𝑑𝑖𝑐𝑎 (iii) Potato: 𝑆𝑜𝑙𝑎𝑛𝑢𝑚 𝑡𝑢𝑏𝑒𝑟𝑜𝑠𝑢𝑚 (iv) Frog: 𝑅𝑎𝑛𝑎 𝑡𝑖𝑔𝑟𝑖𝑛𝑎 (v) Cat: 𝑓𝑒𝑙𝑖𝑠 𝑑𝑜𝑚𝑒𝑠𝑡𝑖𝑐𝑢𝑠 (vi) Earthworm – 𝑃ℎ𝑒𝑟𝑒𝑡𝑖𝑚𝑎 𝑝𝑜𝑠𝑡ℎ𝑢𝑚𝑎 
Define classification. Can it be separated from nomenclature?,Classification is a method by which organisms on the basis of some easily observable characteristics.
What do you mean by taxonomic hierarchy? Give classification of mango upto species. ,"The taxonomic hierarchy is a systematic framework in classification in which taxonomical groups are arranged in definite order, from higher to lower categories. Each category is considered as a taxonomic unit and represents a taxon. Classification of Mango: Kingdom: Plantae Division: Angiospermae Class: Dicotyledonae Order: Sapindales Family: Anacardiaceae Genus: Mangifera Species: indica"
Distinguish between a genus and species.,S. No.  Species  1.  It is the basic unit of taxonomy.  2.  It is a dynamic genetically distinct group of organisms  Genus It is first highest category above the species level. It is group of species which are closely related. 
Give the role of botanical gardens.,Role of Botanical Gardens: (i) They provide plant material for taxonomic studies. (ii) Plant species are grown here for identification. (iii) Plants are grown for research. (iv) To maintain records of local flora.
Mention any two aims of zoological parks.,Aims of zoological Parks: (i) To develop interest and awareness about wild animals in the public. (ii) The zoos are involved in the conservation of many endangered species of wild life.
What are the steps involved in the Preparation of herbarium?,(i) Collection of specimens. (ii) Drying and pressing. (iii) Mounting of the specimens. (iv) Labelling. (v) storage.  
Differentiate between the following : (i) Growth in plants and growth in animals (ii) Growth in unicellular organisms and growth in multicellular organisms (iii) Catabolism and anabolism.,"(i) Growth in plants  Growth in animals  Plants grow faster and continuously throughout their life span.  Animals grow slowly and after reaching certain size and age, animals stop growing.  (ii) Growth in unicellular organisms Growth can be observed in only 𝑖𝑛 − 𝑣𝑖𝑡𝑟𝑜 cultures.  Growth in multicellular organisms Growth can be easily observed in 𝑖𝑛 − 𝑣𝑖𝑡𝑟𝑜 as well as in 𝑖𝑛 − 𝑣𝑖𝑣𝑜.  (iii) Anabolism The biochemical reactions which are concerned with the synthesis of complex substances from simple substances are collectively called anabolism. E.g., photosynthesis.  Catabolism The biochemical reactions which are concerned with breakdown of complex organic substances into simple substances are collectively called catabolism. E.g., respiration. "
