questions,answers
Name the two kingdoms of the living world proposed by Linnaeus.,The two kingdoms of the living world proposed by Linnaeus are: Plantae and Animalia.
Who introduced five kingdoms classification?,R. H. Whittaker.
What are eukaryotes?,Organism in which cells have nuclear envelope around the genetic material are called eukaryotes.
What are prokaryotes?,Organism with cells devoid of a devoid of a definite nuclear membrane around the genetic material are prokaryotes.
Name the scientist who suggested “three kingdom system of classification”.,E. Haeckel suggested three kingdom system of classification.
Name three major groups of Archaebacteria?,"The three major groups of Archaebacteria are: Methanogens, Halophiles, Thermoacidophiles."
What are protists?,Protists are eukaryotic unicellular organism.
What are phytoplankton?,"These are microscopic, free-floating Photosynthetic organisms."
In which kingdom are bacteria included?,Kingdom Monera.
Expand PPLO. What is its other name ?,PPLO Means pleuropneumonia like organisms. Its other name is Mycoplasma.
Name of the three major groups of protista.,"The Three major groups of Protista are:0 (i) Protistian algae, (ii) Slime Moulds, (iii) Protozoa."
Name any one parasitic protist and a ciliate protist .,Parasitic protist: Trypanosoma Ciliate protists: Paramoecium. 
Name the organism that causes amoebic dysentery.,Entamoeba histolyitica causes amoebic dysentry.
Which protozoan causes malaria?,Plasmodium is a protozoan which causes malaria.
Name the major groups of Monera.,The major groups of Monera are: (i) Bacteria (ii) Archaebacteria (iii) Cyanobacteria.
"Name the bacteria which causes Typhoid, Tetanus, Cholera?",(i) Typhoid – Salmonella typhi (ii) Tetanus – Clostridium tetani (iii) Cholera – Vibrio cholerae
Name the cell wall material of eubacteria.,Murein or peptidoglycan consisting of polysaccharide cross-linked with short amino acid chains.
Name the pigments present in photosynthetic bacteria.,The pigments present in photosynthetic bacteria
What are heterocysts?,The filamentous blue-green algae possess special large sized cells called heterocysts. These are the sites of nitrogen fixation.
What are trichomes?,Each filament of blue-green algae consist of a sheath of mucilage and one or more cellular strands called trichomes.
Name the pigments present in cyanobacteria.,"The pigments present in cyanobacteria are: Chlorophyll 'a', phycobilin, phycoerythrin and phycocyanin."
What are hormogonia?,Blue-green algae multiply asexually by the formation of small segments called hormogonia.
What do you mean by plasmodium?,A multinucleate mass of protoplasm of slime moulds which creep like Amoeba is known as plasmodium. 
Give two examples of archaebacteria?,Methanogens and thermoacidophiles.  
