questions,answers
Which enzyme is required for the synthesis of ATP?,ATP synthetase.
Name the substance or product common to both aerobic as well as anaerobic pathway.,Pyruvic acid.
What role is played by ATPase?,"ATPase helps in the formation of ATP from ADP, Pi and energy by downward flow of protons."
In what form the energy released by oxidation is stored in the body?,In high - energy bonds of ATP.
What does glycolysis literally means?,Glycolysis literally means sugar splitting.
Which intermediate compound is a connecting link between glycolysis and Kreb's cycle?,Acetyl CoA is a connecting link between Glycolysis and Kreb's cycle.
What is terminal oxidation?,It is the name of oxidation found in aerobic respiration that occurs towards the end of catabolic process and involves the passage of both electrons and protons of reduced co enzymes to oxygen.
What is phosphorylation?,Phosphorylation is the reaction through which ATP is synthesized from ADP and inorganic phosphate.
What is photophosphorylation?,Light driven synthesis of ATP is called photophosphorylation.
What is significance of F 0 – F1 combination in mitochondria?,It maintains the proton gradient on the two sides of the membrane.
Why is R.Q. is less than one for fats?,"A fat molecule contains less oxygen as compared to carbon, hence, consume more oxygen and evolve less CO 2. "
What role is played by ATPase?,"ATPase helps in the formation of ATP from ADP, Pi and energy by downward flow of protons."
What is the full form of EMP pathway?,EMP = Embden - Mayerhof - Parnas pathway.
What is respirometer?,Instrument for measuring respiratory quotient as well as rate of respiration is called as respirometer.
Why oxygen is the ultimate acceptor of electrons in ETS?,Oxygen is the ultimate acceptor of electron is ETS because it becomes reactive and combines with protons to form metabolic water.
What is proton gradient?,The difference in the proton concentration on the outer and inner side of the inner mitochondrial membrane is known as proton gradient.
What are the alternative names for pentose phosphate pathway?,The alternative names for pentose phosphate pathway are oxidative phosphate pathway and Hexose monophosphate shunt (HMP).  
Where are the pigment located in photosynthetic bacteria ?,The pigments in photosynthetic bacteria are located in the folds of cell membrane.
What will happen if a plant is given only green light ?,"If a plant is given only green light, no photosynthesis will occur. Green light is not absorbed by the photosynthetic pigments as it is reflected back as such."
Name the central element present in chlorophyll.,Magnesium is the central element in chlorophyll.
Which chlorophyll is termed as universal photosynthetic pigment ?,𝛽 -carotene can be converted to vitamin A.
Mention the difference between the structis chlorophyll ′𝒂′ and chlorophyll ′𝒃’.,"Chlorophyll 'a’ has methyl (C H3 ) group and Chlorophyll ′𝑏’, has an aldehyde (CHO) group."
What is the main function of Chlorophyll pigment ?,𝐶𝑙𝑎𝑑𝑜𝑝ℎ𝑜𝑟𝑎.
Name the most abundant enzyme in the world ?   ,RuBisCO
How many molecules of ATP and how many molecules of NADPH + 𝐇+ are spent to fix three molecules of C𝐎𝟐 ? ,Fixation of three molecules of CO2 uses 9 ATP and 6 NADPH molecules in C3 plants.In C4 plants for fixation of 3 CO2 molecules 15 ATP and 6 NADPH and 6 NADPH energy is equired.
What is the site of formation of glycoxylate from glycolate?,The site of formation of glyoxylate from glycolate is peroxisomes of mesophyll cells.
Why are the 𝐂𝟒 plants more efficient in picking up C𝐎𝟐 when it is found in low concentration.,The C4 plants are more efficient in picking up CO4 even when it is found in low concentration because of the high affinity of PEP.
