questions,answers
Explain the terms : Overloading and short- circuiting. ,"Overloading occurs when or two many appliances of high power ratings are connected to a single electric circuit and switched on simultaneously. As a result, the circuit draws large current beyond its capacity. Short-circuiting takes place in domestic power supply if the live wire and the neutral wire come into direct contact, due to damage of insulation of live wire.  1+1"
When does Short Circuit occurs ?,"A common short circuit occurs when the positive and negative terminals of a battery are connected with a low-resistance conductor, like a wire. With a low resistance in the connection, a high current will flow, causing the delivery of a large amount of energy in a short period of time."
"What is a solenoid ? Mention two ways to increase the strength of the field of a solenoid. [Board Term I, Set (37), 2012]",A coil of many circular turns of insulated copper wire wrapped closely in the shape of cylinder is called a solenoid. Two ways to increase the strength of the field of a solenoid : (i) By increasing the number of turns. (ii) By increasing current.  ()
"Mention the provision of two different current ratings in our domestic circuits. Explain with reason, the advantage of such a provision. ","The two different current ratings provided in domestic circuits are 5A and 15A. This is because different electrical appliances have different power ratings, so they draw different currents when connected in the mains. Some appliances need smaller currents, while some other need heavy currents.  2"
Write the use of safety device used in electric circuit. ,"Electric Fuse. A fuse is a small conducting wire of low melting point which protects the household electrical system from getting damaged due to unusual high current. The unusual high current may be due to short circuit, power fluctuation etc."
List in tabular form two major differences between an electric motor and a generator. ,S. No. (i) Electric Motor Generator Motor converts Converts mechanical electrical energy energy to electrical into mechanical energy. energy. (ii) Works on the principle of Fleming’s left hand rule. Works on the principle of Fleming’s right hand rule. 
"Name four appliances wherein an electric motor, a rotating device that converts electrical energy to mechanical energy, is used as an important component. In what respect motors are different from generators ? ","Electric fans, mixers, washing machines, computer drives etc. Motors convert electrical energy into mechanical energy whereas generators convert mechanical energy into electrical energy."
Explain the function of an earth wire. Why is it necessary to earth metallic appliances ? ,"Earth wire is used as a safety measure especially for those appliances that have a metallic body, for example – electric press, toaster etc. The metallic body is connected to the earth wire, which provides a low resistance conducting path for the current. Thus it ensures that any leakage of current to the metallic body of the appliances keeps its potential to that of the earth and the user may not get a severe shock. "
List two precautions to be taken to avoid overloading in the domestic circuit. Also state one difference between overloading and short circuiting. ,Precautions : (i) A fuse of appropriate rating should be used in the circuit. (ii) Too many appliances should never be connected to a single socket. Overloading : Occurs when a large number of higher current drawing appliances are switched on at the same time and the total current drawn through the circuit exceeds its rated value. Short circuiting : Occurs when the live wire comes in direct contact with neutral wire. 
What is overloading and short circuiting ? What is the function of earth wire ?  ,"If too many electrical appliances of high power rating are switched on at the same time, they draw large current from the circuit. This is called overloading. If the live wire and neutral wire come in contact either directly or via conducting wire, the situation is called short circuiting. To avoid risk of electrical shock, the metal body of the appliances is earthed. Earthing means to connect the metal case of the appliance to earth by a means of a metal wire called earth wire. 1 + 1 + 1"
