questions,answers
What are magnetic field lines ? List three characteristics of these lines. Describe in brief an activity to study the magnetic field lines due to a current flowing in a circular coil.  ,"Representation of the magnetic field path along which an imaginary free north pole would tend to move. The tangent at any point on the magnetic field line gives the direction of the magnetic field at that point. () (i) Emerge at north pole and merge at south pole. Inside the magnet, the direction of field lines is from south pole of magnet to its north pole and are closed curves. (ii) At the points where the magnetic field is stronger, field lines are crowded and vice-versa. (iii) No two magnetic field lines can intersect each other. "
What are magnetic field lines ? List any two characteristics of field lines. Draw the pattern of magnetic field lines due to a current carrying circular loop. ,"A magnetic field line is the path along which a free north pole tends to move. Characteristics : (i) Outside a magnet, the magnetic field lines are directed from N-pole of magnet towards S-pole. However, inside a magnet field lines are directed from S-pole to N-pole. (ii) The relative strength of magnetic field lines is given by degree of closeness of the field lines. More crowded field lines means a stronger field. (iii) No two magnetic field lines can ever intersect each other. (Any two) 3 (iii) A small aluminium rod suspended horizontally from a stand using two connecting wires. Place a strong horse shoe magnet in such a way that the rod lies between the two poles with the magnetic field directed upwards. For this put the north pole of the magnet vertically below and south pole vertically above the aluminium rod. Connect the aluminium rod in series with a battery, a key and a rheostat. Pass a current through the aluminium rod from one end to other. The rod is displaced towards left. When the direction of current flowing through the rod is reversed, the displacement of rod will be towards right."
"(i) What is a solenoid ? (ii) Draw the pattern of magnetic field formed around a current carrying solenoid. Compare this field to that of a bar magnet. (iii) Explain an activity to show that a current carrying conductor experiences a force when placed in a magnetic field.  [Board Term I, Set (41, 46, 50, 52, 55), 2011, 12]","Direction of current will be from East to West direction. Current Maxwell’s right hand thumb rule Statement : Imagine that you are holding the current carrying wire in your right hand so that your thumb points in the direction of current, then the direction of your fingers encircle the wire will give the direction of magnetic field. Clockwise  5"
"(a) Magnetic field lines of two bar magnets A and B are as shown below. Name the poles of the magnets facing each other. (b) Two magnetic field lines never intersect each other. Why ? (c) How does the strength of the magnetic field at the centre of a current carrying circular coil depend on the (i) radius of the coil, (ii) number of turns in the coil, and (iii) Strength of the current flowing in the coil ? ","(a) North poles. (b) Intersection of magnetic field lines at a point means that the compass needle would point towards two directions at that point, which is not possible. (c) (i) Inversely proportional; more radius less strong magnetic field. (ii) Directly proportional; more turns more strong magnetic field. (iii) Directly proportional; more strength of current more strong magnetic field.  5"
(i) Identify the nature of poles (X and Y) of the magnets in a given figure. (i) (ii) (ii) Draw field lines around a current carrying loop. What happens to the magnetic field lines due to a current carrying straight conductor when the current is reversed ? State the rule which gives relation between of magnetic field lines and direction of current. ,(i)
"(i) Describe an activity to determine the direction of magnetic field produced by a current carrying straight conductor. Also show that the direction of the magnetic field is reversed on reversing the direction of current. (ii) An α-particle, (which is a positively charged particle) enters, a uniform magnetic field at right angles to it as shown below. Stating the relevant principle explain in which direction will this α-particle move ?  α-particle Magnetic field","(i) Take a battery (12 V), a variable resistance (or a rheostat), an ammeter (0 - 5A), a plug key and a long straight thick copper wire. Insert the thick wire through the centre, normal to the plane of a rectangular cardboard. Take care that the cardboard is fixed and does not slide up or down. Connect the copper wire vertically between the points X and Y, in series with the battery, a plug and key. Sprinkle some iron filings uniformly on the cardboard. Keep the variable of the rheostat at a fixed position and note the current through ammeter. Close the key, So that current flows through the wire. Ensure that the copper wire placed between the points X and Y remains vertically straight. Gently tap the cardboard for a few times. Observe the pattern of the iron filings. You would find that the iron filings align themselves showing a pattern of concentric circles around the copper wire. This represents the magnetic field around the currentcarrying conductor. The direction of magnetic field changes on reversing the direction of current. Variable resistance Magnetic compass (ii) The alpha particle will move in a circular path. This is because a centripetal force acts on the particle due to the movement of particle in the magnetic field."
(i) A coil of insulated copper wire is connected to a galvanometer. What happens if a bar magnet is : (a) pushed into the coil ? (b) withdrawn from inside the coil ? (c) held stationary inside the coil ? Give reasons for your observation. (ii) Mention one more method of inducing current in a coil. ,"(i) (a) When a bar magnet is pushed into the coil of insulated copper wire connected to a galvanometer, an induced current is set-up in the coil due to charge of magnetic field through it. As a result, galvanometer gives a deflection (say towards left). 		(b) When the bar magnet is withdrawn from inside the coil, again an induced current is set up in the coil due to charge of magnetic field through it. As a result galvanometer gives a deflection in the reverse direction. (say towards right). 1½ 		(c) If the bar magnet is held stationary inside the coil, then there is no induced current in the coil, because there is no change in magnetic field through it. As a result, galvanometer does not show any deflection. (ii) By changing current in another coil placed near it. 1 "
"Two coils of insulated copper wire are wound over a non conducting cylinder as shown. Coil I has larger number of turns. Coil I Coil II (i) Write your observations when, (a) key K is closed; (b) key K is opened; (ii) Give reason for your observations. (iii) Mention the name of the phenomenon involved and define it. (iv) Name of two coils used in this experiment. (v) State the rule which gives the direction of induced current. ","(i) (a) A momentary deflection is shown by the galvanometer. (b) A momentary deflection is shown by the galvanometer but in the opposite direction. (ii) When key is closed or opened, the current in the coil I changes, therefore the magnetic field linked with coil II changes and hence a current is induced in it. (iii) Electromagnetic induction—The process by which a changing magnetic field in a conductor induces current in another conductor. (iv) Primary coil — coil I Secondary coil — coil II (v) Fleming’s Right Hand Rule : Stretch the first three fingers of the right hand mutually perpendicular to each other such that the forefinger gives the direction of magnetic field and the thumb points in the direction of the motion of a conductor then, the middle finger will give the direction of the induced current."
"Describe briefly an activity to : (i) demonstrate the pattern of magnetic field lines around a straight current carrying conductor and, (ii) find the direction of magnetic field produced for a given direction of current in the conductor. Name and state the rule to find the direction of magnetic field around a straight current carrying conductor. Draw a diagram to explain the same activity. ","(i) (a) Take a battery (12V), a variable resistance, an ammeter (0 – 5A), a plug key and a long straight thick copper wire. (b) Insert the thick wire through the centre, normal to the plane of a rectangular cardboard. (c) Connect the copper wire vertically between X and Y as shown in series with battery, a plug key and a rheostat. (d) Sprinkle some iron filings uniformly on the cardboard. (e) Keep the variable of the rheostat at a fixed position and note the current through the ammeter. (f) Close the key so that a current flows through the wire. Gently tap the cardboard a few times. Observe the pattern of the iron filings. (ii) To find the direction of magnetic field lines, place a compass at a point P over a circle and observe the direction of the needle. The direction of north pole of the compass would give the direction of magnetic field lines. Maxwell’s Right Hand Thumb Rule is used to find the direction of magnetic field lines. It states that ‘‘Imagine you are holding a current carrying conductor in your right hand such that the thumb points in the direction of current. Then your fingers will wrap around the conductor in the direction of the magnetic field lines.’’ Refer Fig. Q. 1. of L.A.T.Q. "
(i) A stationary charge is placed in a magnetic field. Will it experience a force ? Give reason to justify your answer. (ii) On what factors does the direction of force experienced by a conductor when placed in a magnetic field depend ? (iii) Under what conditions is the force experienced by a current carrying conductor placed in a uniform magnetic field maximum ? (iv) Name and state the rule which gives the direction of force experienced by a current carrying conductor placed in a magnetic field. ,"(i) No, a magnetic field exerts a force only on moving charges. (ii) The direction of force depends on the direction of current and direction of magnetic field. (iii) The force is maximum when the direction of current is at right angles to the direction of magnetic field. (iv) Fleming’s Left Hand Rule. According to this rule—‘‘Stretch the thumb, forefinger and middle finger of your left hand such that they are mutually perpendicular to each other. If the first finger points in the direction of magnetic field and the middle finger in the direction of current, then the thumb will point in the direction of motion or the force acting on the conductor.’’ "
