,questions,answers
0,"Q. 1. State Mendeleev’s periodic law. Write two achievements of Mendeleev’s periodic table. [Board Term II, (Set A1-2009) 2012]",Ans. Mendeleev’s Periodic Law : “Properties of elements are the periodic function of their atomic masses.” Achievements : (i) It could classify all the elements discovered at that time. (ii) It helped in discovery of new elements. (iii) It helped in correction of atomic mass of some of the elements. (Any two) 1+½+½
1,Q. 2. Write two limitations of Mendeleev’s Periodic Table. ,Ans. Two limitations of Mendeleev’s Periodic Table are : (i) Position of isotopes could not be explained. (ii) No fixed position for hydrogen.
2,"Q. 3. (i) What were the limitations of Dobereiner’s triad ? (ii) Why did Mendeleev leave some gaps in his periodic table ? [NCERT, Board Term II 2012, (Set A1-2009)]",Ans. (i) Dobereiner’s system of classification failed to arrange all the elements in the form of triads having similar chemical properties. Dobereiner could identify only three triads from the elements known at that time. (ii) Mendeleev left some gaps in his periodic table for the elements yet to be discovered. He even predicted (2 marks each) the properties of these elements by studying the properties of the neighbouring elements.
3,"Q. 4. Why He, Ne and Ar are called inert gases ? ","Ans. He, Ne and Ar are called inert gases because their outermost shell is complete and they do not lose or gain electrons in their outermost shell, hence they have zero valency."
4,Q. 5. State the modern periodic law for classification of elements. How many (a) groups and (b) periods are there in the modern periodic table ?  ,Ans.“Properties of elements are the periodic function of their atomic number.” (i) There are 18 groups. (ii) There are 7 periods in the modern periodic table.  1 + ½ + ½
5,"Q. 6. State two main properties of elements on which Mendeleev’s periodic classification was based. Why position of hydrogen is not fixed in his periodic table ? [Board Term II, (Set C-2009), 2012]","Ans. (i) Physical properties of elements are periodic function of their atomic masses. (ii) Similar formula of oxides and hydrides formed by elements of same group was selected as chemical property as basis of classification. The atomic number of hydrogen is 1 and hence it should occupy the first position in group 1 of the periodic table. But because of its chemical similarity with elements of group 1 and 17, the position of hydrogen in the periodic is not fixed."
6,Q. 7. How does the electronic configuration of an atom of an element relate to its position in the modern periodic table ? Explain with one example. ,"Ans. The position of elements depends upon number of valence electrons which depend upon electronic configuration. Those elements which have same valence electrons, occupy same group. Those elements which have one valence electron belong to group 1. Elements which have two valence electrons belong to group 2. Period number is equal to the number of shells. Example : Atomic number of sodium (Na) is 11, so electronic configuration will be 2, 8, 1. Sodium has one valence electron in valence shell so it belongs to group 1. As sodium has three shells, so it belongs to 3rd period."
7,Q. 8. Why is the position assigning to hydrogen in the periodic table considered anomalous ? ,"Ans. Electronic configuration of Hydrogen resembles that of alkali metals. Like alkali metals, hydrogen combines with halogens, oxygen and sulphur to form compounds having similar formulae. On the other hand, just like halogens, hydrogen also exists as diatomic molecules and it combines with metals and non-metals to form covalent compounds. So, no fixed position can be given to hydrogen in the Periodic Table."
8,Q. 9. The atomic number of an element is 17. To which group and period does their element belong ? Determine its valency. ,Ans. It belongs to 17th Group and 3rd Period. Its valency is 1.
9,Q. 10. An element ‘M’ has atomic number 11. (i) Write its electronic configuration. (ii) State the group to which ‘M‘ belongs. (iii) Is ‘M’ a metal or a non-metal ? (iv) Write the formula of its chloride. ,"Ans. (i) 2, 8, 1 (ii) Group 1 (iii) Metal (iv) MCl"
