,questions,answers
0,Q. 1. What is a nuclear fusion reaction ? List any two advantages of nuclear fusion reactions. ,Ans. A reaction in which two nuclei of lighter elements combine to form a heavy nucleus with a liberation of tremendous amount of energy. Two advantages : (i) Large amount of energies produced from a very small amount of fuel. (ii) Produces non-pollutant waste/does not produce gases which pollute the environment/cause green house effect.
1,Q. 2. List four gases generated in a biogas plant. ,Ans. (i) Hydrogen (ii) Hydrogen sulphide ½ + ½ (iii) Methane (iv) Carbon dioxide.
2,Q. 3. Mention the main use of slurry left behind in the biogas of plant. State the characteristics of the slurry on which this use is based. ,Ans. Slurry is used as a manure. Slurry is rich in nitrogen and phosphorus.
3,Q. 4. Give two advantages of using nuclear energy. ,Ans. Two advantages of using nuclear energy are : (i) Very small mass of Uranium yields tremendous energy. (ii) The released energy can be used to produce steam and further generate electricity.
4,Q. 5. State any three characteristics of a good source of energy. Name the gaseous fuel which has the highest calorific value. ,Ans. Characteristics of Good Source of Energy : (i) Large amount of work per unit volume/mass. 1½ (ii) Easily available (iii) Easy to transport. Gaseous fuel of highest calorific value is hydrogen.
5,Q. 6. Name the major constituent of biogas. List three characteristics to prove it as an excellent fuel.  (2 marks each),Ans. Methane is the major constituent of biogas. Three characteristics to prove it as an excellent fuel : (i) Smokeless (ii) Leaves no residue (iii) Higher heat of combustion.
6,Q. 7. List any four qualities of an ideal source of energy. ,Ans. Qualities of an Ideal Source of Energy : (i) More heat per unit mass. (ii) Less Pollution and smoke free. (iii) Cheap and Economical. (iv) Easily available and easily handled. (v) Safe to transport. (Any four)
7,Q. 8. Why is charcoal considered to be a better fuel than wood ? ,Ans. Charcoal is better fuel than wood because : (i) It is smokeless and leaves no residue. (ii) It has a higher heat of combustion.
8,Q. 9. List any two disadvantages of using fossil fuels. ,"Ans. (i) Burning of coal or petroleum products lead to air pollution. (ii) The oxides of C, N and S are released on burning fossil fuels as acidic oxides. It leads to acidic rain and affect water and soil."
9,Q. 10. Fossil fuels are classified as non-renewable sources of energy. Why ?,"Ans. Fossil fuels like coal, petroleum, natural gas, etc., if exhausted, cannot be generated rapidly as they take millions of years to form again."
