questions,answers
Write full form of NPK.,"Nitrogen, Phosphorus, Potassium."
What is winnowing ?,Winnowing is a process by which small farmers do the separation of grains by chaff.
When was agriculture born ?,"When nomadic people cultivated land and produced rice, wheat and other food crops, agriculture was born."
What are the crops grown generally from June to September called ?,"Crops grown generally from June to September are called Kharif crops. e.g., maize, groundnut, soyabean."
What is the first step before growing a crop ?,The first step before growing a crop is the preparation of soil.
What are the main tools used for agriculture practices ?,"The main tools are plough, hoe and cultivator."
What will happen if freshly harvested grains are stored without drying ?,"Grains should be properly dried to reduce the moisture and this prevents the attack by insects pests, bacteria and fungi."
Where is the sprinkler water system useful ?,Sprinkle water system is useful on the uneven land and at the land where water is not available. It is good for sandy soil.
Why traditional irrigation methods are cheaper ?,Cattle or human labour is used in these methods so they are cheaper.
Name two harvest festivals celebrated in India.,"Pongal, Baisakhi."
What is the process of loosening and turning of the soil called ?,Tilling or ploughing.
What is a strong triangular iron strip of plough called ?,Plough share.
Who increases the number of friendly microbes ?,The loosened soil.
The irrigation system that sprinkles water on the crops as if it is raining ?,Sprinkle water system.
