,questions,answers
0,Q. 1. The particles can be seen distinctly in a dispersion medium by the naked eye. What conclusion would you draw about the type of solution and its stability? Justify your conclusion. ,Ans. Particles of a suspension are visible to the naked eye. Suspension is a heterogeneous mixture in which the solute particles do not dissolve but remain suspended throughout the bulk of medium. It is unstable as the solute particles settle down when it is left undisturbed.
1,"Q. 2. You are given three white powders one is of sodium chloride, second is of starch and third is of chalk. You are also provided with three beakers and distilled water. Using these materials identify the three powders. ","Ans. When the sodium chloride is dissolved in a beaker with distilled water, a true transparent solution is obtained. When starch is dissolved in dissolved water, a translucent colloid is formed. Lastly, when chalk powder is dissolved, an opaque suspension is formed."
2,"Q. 3. How are solution, suspension and colloid different from each other in terms of transparency and scattering of beam of light. Explain in tabular form. ",Ans. Solution Suspension Colloid Transpar- Transpar- Opaque ency ent Translucent Scatter of X beam of light Tyndall effect Tyndall effect  2
3,Q. 4. Identify two clear and transparent solutions from the following mixtures :  milk and water  sugar and water  chalk powder and water  starch powder and water  glucose and water ,Ans. Test-tube A has residue on filter paper and filtrate is clear solution. It is suspension. Test-tube B has no residue on filter paper and filtrate is clear solution. It is true solution. Test-tube C has no residue on filter paper and filtrate is translucent. It is colloidal solution. Test tube D has no residue on filter paper and filtrate is clear solution. It is true solution.  2
4,"Q. 6. Four students were asked to add water to glucose powder, milk, sand and soil separately in four beakers. Classify the mixtures as true solution, colloid and suspension. ","Ans. True solution : glucose powder with water Colloidal solution : milk with water Suspension : sand with water, soil with water.  2"
5,"Q. 7. Four students A, B, C and D are asked to prepare colloidal solutions. The following diagrams show the preparation done by them. Name the student, who will be able to prepare colloidal solutions. Write two properties of colloidal solution.  Starch Powder Sugar   Salt Egg  ",Ans. Student D will be able to prepare the colloidal solution as egg is not completely miscible in water. Two properties of colloidal solution are : 1. Particles of colloidal solutions cannot be separated. A colloidal solution appears to be homogeneous but actually it is a heterogeneous mixture of solute and solvent.  2
6,"Q. 8. In an experiment to separate the components of a mixture of sand, common salt and ammonium chloride, which component will be removed by filtration ?",Ans. Sand as it is insoluble in water.
7,"Q. 9. A mixture of ammonium chloride and sodium chloride heated in the apparatus of sublimation. After the experiment, at which place ammonium chloride will be obtained ?",Ans. It is obtained on the walls of the inverted funnel. 2
8,"Q. 10. While heating the mixture of sand, common salt and ammonium chloride in the experiment mention the residue left behind in the china dish ?","Ans. On heating the mixture, ammonium chloride will be obtained on the walls of the inverted funnel. The left behind in the china dish contains sand and common salt."
9,Q. 11. How does sand and common salt get separated in the experiment ?,"Ans. Common salt gets dissolved in water but the sand does not dissolve and settles down in water. Sand is filtered from the mixture by using filter paper. Sand is separated as residue and on heating the mixture, water evaporates and common salt is obtained. 2"
10,Q. 12. Name other two substances which undergo sublimation .,"Ans. Camphor, Iodine. www.excellup.com www.gradestack.com l www.purematter.com l www.ausetute.com l www.wikipedia.com qqq UNIT – II Organization in the Living World"
