,questions,answers
0,Q. 1. Name the tissue which is responsible for increase in length of stem and root. ,Ans. Apical meristem.  1
1,Q. 2. Name the four elements of phloem. ,"Ans. Sieve tubes, companion cells, phloem parenchyma and phloem fibres."
2,Q. 3. What are the types of complex permanent tissues ? ,Ans. Xylem and phloem.
3,Q. 4. Name the two types of plant tissues.,Ans. Meristematic tissue and permanent tissue.
4,Q. 5. What is meristematic tissue ?,Ans. Meristematic tissue is capable of dividing and is found in the developing regions of the plant.
5,Q. 6. How many types of meristematic tissues are there on the basis of their presence ?,"Ans. Three namely—apical, lateral  and intercalary. 1 Mark each"
6,Q. 7. What do you understand by differentiation ?,"Ans. When meristematic tissues lose their ability to divide and become permanent in shape, size and function, the process is called differentiation."
7,Q. 8. How is permanent tissue formed from meristematic tissue ?,Ans. When the cells take up a specific role and lose their ability to divide.
8,Q. 9. What is source of cork ?,"Ans. Cork is obtained from the bark of a tree i.e., oak plant’s stem."
9,Q. 10. What are stomata ?,Ans. Stomata are the small pores present in the epidermis of leaf.
10,Q. 11. What do you mean by guard cells ?,Ans. Stomata are enclosed by two kidney-shaped cells which are called guard cells.
11,Q. 12. Name the complex plant tissues.,Ans. Xylem and phloem.
12,Q. 13. What are vascular bundles ?,"Ans. Vascular bundles consist of xylem and phloem. 1 TISSUES, ORGANS, ORGAN SYSTEM, ORGANISM"
13,"Q. 14. What is the function of cutin, the waxy substance present in epidermis of desert plants ?",Ans. Cutin checks loss of water in desert plants.
14,Q. 15. Water Hyacinth floats on water surface. Explain.,Ans. Water Hyacinth has spongy petioles which enclose a lot of air in its aerenchyma. Air makes the plant lighter than water and so it is able to float on the surface of water.
15,Q. 16. Why is cork impervious to gases and water ? ,Ans. Cork is impervious due to a chemical called suberin.
