,questions,answers
0,Q. 1. Explain measures any three taken in order to resolve the environmental problem in London. ,"Ans.		 Shopkeepers, homeowners and others complained about the black for the that descended on their towns causing bad tempers, smoke-related illness and dirty clothes.  By the 1840s, a towns such as Derby, Leeds and Manchester had laws to.  Control smoke in the city.  Smoke abatement Acts of 1847 and 1853 were important measures taken in order to resolve the problem, but the factory workers rarely followed rules sincerely and the problem continued.  "
1,Q. 2. Highlight any three changes that took place in London between the two world wars. ,Ans.		 Between the two world wars the responsibility for housing the working classes was accepted by the British state.  A million of single family cottages were built by Local authorities.  The city had extended beyond the range where people could walk to work.  New forms of mass transports were introduced. 
2,Q. 3. Explain any three historical processes that have shaped London in decisive ways.  1 mark each 3 marks each,"Ans. 3 historical processes have shaped modern cities namely :  Rise of industrial capitalism,  The establishment of colonial rule over large parts of the world.  Development of democratic ideals."
3,Q. 4. Describe the life of children as depicted in Andrew Mearn’s famous book “The Bitter Cry of Outcast London.” ,"Ans.  Andrew Mearn’s showed why crime was more profitable than labouring in small underpaid factories.  A child of seven years old is easily known to make 10 shillings 6 pence a week from thieving.  Before he can gain as much as a young thief  he must make 56 gross of matchboxes a week or 1,296 a day.  It was only after the passage of the Compulsory Elementary Education Act in 1870 and the Factory Acts beginning from 1902, that children were kept out of industrial work. "
4,"Q. 5. How did air pollution become a nuisance for the Londoners. What steps were taken to solve the problem ?  Or 		State any three steps taken to clean up London.  Or 		Describe various steps which were taken to clean up London.[Board Term 1, KVS-2014, 2012 , 2011 , 2010 ]","Ans.  Large quantities of refuge and waste products polluted air and water.  Widespread use of coal in homes and industries in 19th century England raised serious problems.  In industrial cities such as Leeds, Bradford and Manchester, hundreds of factory chimneys emitted smoke, causing smoke-related illnesses, dirty clothes and bad tempers.      The steps taken to clean up London were : Attempts were made to decongest localities, green the open spaces, reduce pollution and landscape the city. Large blocks of apartments were built like those in Berlin and in New York. Rent control was introduced in Britain during the First World War. Demands were made for new ‘lungs’ for the city and some attempts were made to bridge the countryside through ideas as the Green Belt around London. "
5,Q. 6. Explain any three reasons for the increasing concern for the London poor during the nineteenth century. ,Ans.  The poor and filthy living conditions of one room houses which posed a serious threat to public health.  There was danger of fire hazards.  There was also a fear of social disorder or rebellion by the workers especially after the Russian Revolution in 1917.
6,Q. 7. How was the family life transformed in the industrial city during the 18th century. ,Ans. ‘Family’ as an institution underwent a social change due to industrialization.  Ties between members of household were loosened and the institution of marriage tended to break down among the working class families.  Women lost their jobs due to machines.  Rich upper class women lived easier lives as they were served by domestic maids who made their work easier.
7,Q. 8. What is meant by tenement ? ,"Ans.  A tenement is run-down and often over crowded apartment house especially in a poor section of large city.  In the 19th century, more and more people began crowding into American cities including thousands of newly arrived immigrants seeking a better life. The population got doubled every decade from 1800 to 1880 in New York city. This led to the division of single family dwellings into multiple living spaces to accommodate the growing population.  These narrow low-rise apartment buildings also known as tenements were too often cramped, poorly built and lacked indoor plumbing and proper ventillation.  A full two-third of the New York city population was living in the tenement in 1900. "
8,Q. 9. Who are Philanthropists ? Explain any two steps taken to control crime in London in the 1870s. ,"Ans.  The group of the people who work for social upliftment and charity, donating time and money for the purpose are called philanthropists.  Steps taken to control crime were :  The authorities imposed high penalties for crime.  They offered work to the deserving poor."
9,Q. 10. How did London become a powerful magnet for the migrant population ? Explain. ,"Ans.  London became a powerful magnet for migrant population since it offered employment opportunities.  London dockyard housed a large number of porters, traders and people in the shipping line.  Major industries as clothing, footwear, metal, engineering, etc., attracted labour from outside.  Being capital city also, it attracted people. "
10,Q. 11. How did the London Underground Railways eventually become a huge success ? Explain. ,"Ans.		Underground London Railway became a huge success due to following reasons :  By 1880, the expanded train service carried 40 million passengers a year.  Population in the city became dispersed.  Planned suburbs and a good railway network enabled large number of people to live outside central London. "
11,Q. 12. What was the impact of industrialization and urbanization on the family in Britain in the nineteenth century ? 				 ,"Ans.  Women gradually lost their industrial jobs and were forced to work within households.  Through the activities of tailoring, washing or match-box making they could increase their income.  Large number of children were pushed into low paid work."
12,"Q. 13. Explain any three efforts made by women in London to increase their income during eighteenth century. 			  WORK, LIFE AND LEISURE","Ans.  In the late eighteenth century, large numbers of women were employed in factories.  They were working as maid servants (domestic servant).  A large number of women used their homes to increase family income by taking in lodgers or through such activities as tailoring, washing or match-box making."
13,Q. 14. When was the London underground railway started ? How did it help to solve the housing problem ? ,"Ans. The very first section of the underground railway in London started on 10th January, 1863. It helped to solve the housing problem in the following ways :  The population in the city became more dispersed.  Better planned suburbs were developed.  A good railway network enabled large number of people to live outside Central London and travelled to work."
