questions,answers
The very first section of the underground railways in the world was opened in which city ?,London.
A variety of steps were taken to clean up which city ?,London.
When was Rent Control introduced in Britain ?,During the First World War.
Which movement demanded the ‘Right to Vote’ for adult males in Britain during the 18th Century ?,Chartism Movement.
Name any one film made by Dada Saheb Phalke.,Raja Harishchandra.
Name any two Presidencies in British India.,"Bombay, Bengal and Madras."
When was ‘City of Bombay Improvement Trust’ established ?,1898.
The very first section of the underground railways in the world was opened between which two places ?,Paddington and Farrington street in London.
Who was the architect and planner of London ?,Ebenezer Howard.
How did the East India Company get possession of Bombay ?,The Portuguese government gifted it to Britain’s king Charles-II on the occasion of his marriage. 1
