,questions,answers
0,Q. 1. What led the colonial government to pass the Vernacular Press Act in 1878 ? How did it affect the vernacular Newspaper ? ,"Ans.  Nationalists in India used print media to publish the evil affects of British rule and spread new ideas.  As vernacular newspapers became assertively nationalist, the colonial government decided to take strong measures.  In 1878 the vernacular press act was passed which provided the government with intensive rights to censor reports and efitorials in the vernacular press.  The government started keeping regular track on vernacular news papers. If it published some material which was considered to be seditious, the government seized the press and confiscated the printing machines.  Despite repressive measures nationalist newspapers grew in numbers in all parts of India."
1,Q. 2. What was the attitude of liberal and conservative Indians towards women’s reading ? How did woman like Kailashbashini Debi respond to this in her writings ?  Or 		Describe the attitude of liberal and conservative Indian’s towards women’s reading ?,"Ans.  Liberal husbands and fathers began educating their women folk at home and sent them to schools.  Conservative Hindus believed that a literate girl would be widowed and Muslims feared that educated women would be corrupted by reading romantic books. Kailashbashini Debi wrote books highlighting the experiences of women-how women were imprisoned at home, kept in ignorance, forced to do hard domestic labour. "
2,Q. 3. How were the manuscripts written in India before the age of print ? What were their drawbacks and effect ? ,"Ans.  In India, manuscripts were written on palm leaves or on handmade paper before the age of print.  Pages were sometimes beautifully illustrated.  They would be either pressed between wooden covers or sewn together to ensure preservation.  Manuscripts continued to be produced till well after the introduction of print, down to the late nineteenth century.  Manuscripts, however, were highly expensive and fragile. They had to be handled carefully and they could not be read easily as script was written in different styles."
3,"Q. 4. “From the late 19th century, issues of caste discrimination began to be written about in many printed tracts and essays.” Support the statement by giving examples.  Or 		How did issues of caste discrimination begin to write in many printed tracts and essays from the late nineteenth century ? Explain with examples. ","Ans.		From 19th century, issues of caste discrimination began to be written.  Jyotiba Phule, the Maratha pioneer of low caste, started protest movement. He wrote about the injustice of the caste system in his Gulamgiri.  B. R. Ambedkar in Maharashtra and E.V. Ramaswamy in Madras wrote powerfully on caste. Their writings were read by people all over India.  Local protest movements and sets also created a lot of journals and tracts.  Kashibaba millworker wrote and published ‘Chhote Aur Bade ka Sawal’.  Banglore cotton mill workers set up libraries to educate themselves.  Workers were overburdened and lacked the education to write much. "
4,Q. 5. Evaluate the role of print in connecting various communities in different parts of India. ,"Ans.  In Bengal as the debate developed, tracts and newspapers proliferated, circulating a variety of arguments.  To reach a wider audience, the ideas were printed in the everyday spoken language of ordinary people.  Ram Mohan Roy published the ‘Sambad Kaumudi’ from 1821 and the Hindu orthodoxy commissioned the ‘Samachar Chandrika’ to oppose his opinion.  A wider range of people could not participate in these public discussions and express their views.  New ideas emerged through these clashes of opinions.  Newspapers conveyed news from one place to another, creating pan-Indian identities."
5,"Q. 6. Explain how print culture assisted the growth of Nationalism in India. [Board Term 1, 2013 , 2012 , 2011 ] Or 		What was the contribution of print culture in the growth of nationalism in India ? How did the British attempt to check them ? ","Ans.		Print culture, i.e., Press and literature played a crucial role in growth and spread of nationalism in India :  In the 19th century, huge quantity of national literature was created. Revolutionised minds of people inspired them to throw away the British yoke.  India Mirror, Bombay Samachar, The Hindu, Kesari-Indian newspapers exerted deep imprint on the minds of people.  Nationalist press reported on colonial misrule and encouraged nationalist activities. For example, when Punjab revolutionaries were deported in 1907, Balgangadhar Tilak wrote with great sympathy about them.  Gandhiji spread his ideas of Swadeshi in a powerful way through newspaper. Many Vernacular newspapers came up in India to spread nationalism. British attempt to check them :  In the 1820s, the Calcutta Supreme Court passed regulations to control freedom of press.  Vernacular Press Act provided government with extensive rights to censor reports and editorials in the Vernacular press. "
6,"Q. 7. How did the printed books of India attract the poor class as readers in the 19th century ? Explain.  Or 		What efforts were made to spread the benefits of print culture for the poor people in the 19th century India ? [Board Term 1, 2012 ","Ans. Sources of Attraction :  Very cheap small books were brought to market in the 19th century.  Public libraries were set up to give an easy access to books.  Kashibaba of Kanpur published ‘Chhote Aur Bade ka Sawal’ where caste and class exploitation were linked.  Sacchi Kavitayen, the poems of another Kanpur mill worker who wrote under the pen name of Sudarshan Chakra also attracted the mill workers towards reading printed books, since they could see their lives and sufferings reflected in such books.  Bombay and Bangalore Cotton mill workers set up libraries to educate themselves. These libraries were sponsored by social reformers. "
7,Q. 8. What were the effects of the spread of print culture for poor people in 19th century India ? Describe. ,"Ans.		Effects of Print culture on poor people :  Cheap small books were brought to the markets in Madras and were then sold.  Public libraries were set up from early 20th century expanding the access to books.  When issues to caste discrimination were written by Ambedkar, Jyotiba Phule, it was read by people. ‘Gulamgiri’ of Jyotiba Phule exposed the ill treatment to the low castes.  Local protest movements and sects criticised ancient scriptures.  Workers in factories wrote and published to show links between caste and class explotation.  Bangalore cotton mill workers set up libraries to educate themselves. "
8,Q. 9. “Printing press played a major role in shaping the Indian society of the 19th century.” Support the statement by giving examples. ,"Ans.		The print culture had a significant impact on the growth of nationalism in India.  In spite of passing a Vernacular Press Act, nationalist newspapers grew in numbers.  They reported on colonial misrule and encouraged nationalist activities.  The British government tried to put down nationalised criticism but there were more protests.  ‘Punjab revolutionaries were deported,’ Tilak wrote in Kesari.  It led his imprisonment in 1908 provoking terms of protest. "
9,Q. 10. How did print culture affect the life of poor people and women in nineteenth century India ? Explain. ,"Ans.  The print culture gave birth to new forms of popular literature. Very small books were brought out. They were sold cross roads. The poor people brought these books and read with great interest. Books were cheap even the poor could afford to buy them. Public libraries were set up.  The print culture made the women important, as readers as well as writers. Women’s reading increased enormously in middle class homes. Liberal husbands and fathers began educating their women folk at home and send them to schools. Women’s schools were set up.  NOVELS,     Emergence of the novel as a genre in the west. The relationship between the novel and changes in modern society. Early novels in 19th century India. A study of two or three major writers. zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz zz The novel allowed flexibility in the form of writing. The novel was the first mass-produced item to be sold. TOPIC - 1 Emergence of the Novel in the West .... P. 52 In 1836, Charles Dicken’s “Pickwick Papers” was serialised in a magazine. TOPIC - 2 Charles Dickens in his novels focussed on the terrible Emergence of the Novel in India .... P. 55 conditions of urban life under industrial capitalism. The vast majority of readers of the novel lived in the city. The novel was a bridge between the rural and urban communities. The novel used the vernacular language. The most exciting element of the novel was the involvement of women. The women novelists were broad-minded. Novels for young boys were full of adventure. The early novels made the readers feel they were part of a superior community of fellow colonialists. Novels began to be written in the 17th century, but bloomed in the 18th century. Henry Fielding, Walter Scott and Samuel Richardson are renowned novelists of the 18th century. A famous novel of Charles Dickens is Oliver Twist, 1838. Emile Zola’s ‘Germinal’  is based on the grim conditions of miner’s lives. Love stories written for adolescent girls such as ‘Ramona’ by Helen Hunt Jackson and a series entitled ‘What Katy Did’ by Sarah Chauncey Woolsey were very popular. Writers like Joseph Conrad wrote novels that showed the darker side of colonial occupation. Banabhatta’s Kadambari written in Sanskrit in the 7th century is an early example of stories in prose. The modern novel form developed in India in the 19th century. Some of the earliest Indian novels were written in Bengali and Marathi. Examples—include Yamuna Paryatan  and ‘Muktamala’ . Translations of novel into different regional languages helped to spread the popularity of the novel. Novels appeared in South Indian languages during the period of colonial rule. ‘Indulekha’ was the first modern novel in Malayalam. Kandukuri Viresalingam’s Telugu novel was written by Rajasekhara Caritamu. The first modern novel of Srinivas Das, published in 1882 was titled as ‘Pariksha-Guru’. The famous novels of Devaki Nandan Khatri was ‘Chandrakanta’. Premchand’s novels, especially ‘Rangbhoomi’ and ‘Godan’ were his best known works. Another famous novel of Premchand was ‘Sewa Sadan’. Bangla novelist Bankim Chandra Chattopadhyay’s first novel was ‘Durgesh-Nandini’. Sarat Chandra Chattopadhyay was the most popular novelist in Bengal and the whole of India. Vernacular novels were a valuable source of information on native life and customs of India. zzIn Tamil, detective and mystery novels were reprinted as many as twenty two times. also began to write novels Stories of love were their main theme. zzRokeyya Sakhawat Hossein wrote a satiric fantasy in English called Sultana’s Dream. zz‘Padmarag’ written by Rokeyya Hossein showed the need for women to reform their condition by their own actions. zz‘Karuna O Phulmonir Bibaran’ written by Hannah Mullens was reportedly the first novel in Bengali. zzSailabala Ghosh Jaya, could only write because her husband protected her. zzPotheri Kunjambu from North-Kerala wrote a novel called ‘Saraswativijayam’ mounting a strong attack on caste oppression. zzAdvaita Malla Burman’s ‘Titash Ekti Nadir Naam’ is an epic about the Mallas. zzVaikkom Muhammad Basheer was a renowned early Muslim writer. zzBhudeb Mukhopadhyay’s ‘Anguriya Binimoy’ was the first historical novel written in Bengali. zzBankim’s Anandamath was a novel that inspired many freedom fighters. zzImportant Novels of the young : * Treasure Island		 — R.L. Stevenson * Ramona		 — Helen Hunt * Jungle Book		 — Rudyard Kipling * What Katy Did		 — Sarah Chauncey Woolsey zzImportant Indian Novelist and their works : * Titash Ekti Nadir Naam		 — Advaita Malla Burman * Saraswativijayam		 — Potheri Kunjambu * Anandmath		 — Bankim Chandra Chattopadhyay * Pariksha Guru		 — Shrinivas Das * Godan		 — Prem Chand * Sultana’s Dream		 — Rokeya Hossein * Durgeshnandini		 — Bankim Chandra Chattopadhaya * Indulekha		 — O. Chandu Menon * Karuna O Phulmonir Bibaran		 — Hanah Mullens * Nirmala, Rangbhoomi		 — Premchand * Muktamala		 — Moreshwar Halbe * Chandrakanta		 — Devaki Nandan Khatri * Yamuna Paryatan		 — Baba Padmanji zzImportant Foreign Novelist, and their works : * Germinal		 — Emile Zola * Jungle Book		 — Rudyard Kipling * Ramona		 — Helen Hunt * Major of Casterbridge		 — Thomas Hardy * Robinson Crusoe		 — Daniel Defoe * Jane Eyre		 — Charlotte Bronte * A tale of Two Cities, David Copperfield		 — Charles Dickens. zzWomen zzEpistolary : Written in the form of a series of letters. : The language spoken by a particular area or group. zzSerialised : A format in which story is published in instalments, each part in a new issue of a journal. zzSatire : A way of criticising a person or an idea in a humorous way. zzBhadralok : A Bengali word, meaning a gentleman. zzColonialism : Policy of acquiring or maintaining colonies. zzMeyeli : A language spoken by Bengali women. zzKissa-goi : Art of storytelling. zzFantasy : Fanciful composition or writing involving imaginary characters etc. zzEpic : A long poem narrating adventures or achievements of a heroic figure or a nation. zzGentlemanly classes : People who claimed noble birth and high social position. They were supposed to set the standard for proper behaviour. zzHistorical novel : The novel which is based on historical events. zzDastan : The long tradition of prose tales of adventure and heroism in Persian and Urdu. zzJatra : Dramatic performance in open theatres. It is very popular in rural society of Bengal. zzProtagonist : The main character in a play, film or book. zzVernacular NOVELS, SOCIETY AND HISTORY zzSlave trader : A trader who buys and sells slaves. : Fictitious name used by an author only for the purpose of writing without exposing one’s identity. zzKabirlarai : A Bengali word meaning extempore poetry contests among poets. zzPen-name zz1719 : Daniel Defoe’s Robinson Crusoe was published. : Circulating libraries were set up in Europe. zz1749 : Henry Fielding’s Tom Jones was published. zz1828 : The famous Russian novelist Leo Tolstoy was born. zz1836 : Charles Dicken’s Pickwick Papers was serialised in a magazine. zz1838 : Charles Dicken’s Oliver Twist was published. zz1854 : Clarles Dicken’s wrote about the terrible effects of industrialization on people’s lives and characters in the novel ‘Hard Times’. zz1857 : Baba Padmanji’s Marathi novel ‘Yamuna Paryatan’ was published. zz1857 : Bhudeb Mukhopadhyay’s ‘Anguriya Binimoy’, the first historical novel written in Bengal was published. zz1865 : Bankim Chandra Chattopadhyay’s novel ‘Durgeshnandini’ was published. zz1878 : Kandukuri Viresalingam’s Telugu novel ‘Rajasekhara Caritamu’ was published. zz1882 : First Hindi novel ‘Pariksha Guru’ written by Srinivas Das was published. zz1882 : Bankim Chandra Chattopadhyay’s novel ‘Anandmath’, which inspired freedom fighters was published. zz1883 : R.L. Stevenson’s ‘Treasure Island’ was published. zz1885 : Emile Zola’s ‘Germinal’ shows the grim conditions of miners’ lives. zz1886 : Thomas Hardy’s ‘The Mayor of Casterbridge’ was published. zz1889 : O Chandu Menon’s ‘Indulekha’, the first modern novel in Malayalam was published. zz1892 : Potheri Kunjambu, a lower caste writer from North Kerala, wrote a famous novel called ‘Saraswati Vijayam’. zz1894 : Rudyard Kipling’s ‘Jungle Book’ was published. It became great hit among youngsters. zz1905 : Rokeya Hossein wrote a satiric fantasy in English called ‘Sultana’s Dream’. zz1916 : Premchand’s novel ‘Sewasadan’ was published. zz1936 : Premchand’s novel ‘Godan’ was published and became his best known work. zz1956 : Advaita Malla Burman’s ‘Titash Ekti Nadir Naam’, an epic about the Mallas, a community of fishermen, was published. zz1740 1. Novels in England in the 19th century 		http://www.nvcc.edu/home/ataormina/novels/history/19thcent.html 2. Indian Literature and Novels 		http://www.indianetzone.com/41/history_indian_novels.html"
