questions,answers
What is the full form of HDI?  ,Human Development Index.  1
Why do some people oppose dams ? Give one reason. ,Because this disrupt the lives of people who are displaced.
What other goal is included in the developmental goals besides having better income ? ,"Equal treatment, freedom, education, security and peace."
What is denoted by the life expectancy at birth ?,Average expected length of life.
Why Kerala has low infant mortality rate ?,It has adequate provision of basic health and educational facilities.
How can we achieve the development goals of different sections of our society ?,By democratic political process.
Which state of India has a high infant mortality rate according to data 2003 ?,Bihar.
What is India’s HDI rank in the world?,134.
Which is a development goal for the landless rural labourers ?,More days of work and better wages.
What do you mean by ‘Literacy Rate’ ?,It measures the proportion of literate population in the 7 years and above age group.
"In which state, literacy rate is the highest ?",Kerala.
How we will calculate Body Mass Index ?,Dividing the weight by the square of the height in meters.
Which country has the largest size of illiterate population in the age group of 15 + in the world ?,Bangladesh.
Write the components of Human Development Index ?,"Life expectancy, gross enrolment ratio and per capita income."
