,questions,answers
0,"Q. 1. Why did Mahatma Gandhi relaunch the Civil  As the depression continued and cash invoice Disobedience Movement with great apprehension? dwindled, the small tenants found it difficult to Explain. pay the rent. They wanted the unpaid rent to the  landlords to be remitted and thus they joined the","Ans. Mahatma Gandhi relaunched the Civil Disobedience Movement with great apprehension:  In December, 1931 Gandhiji went to London for the Round Table Conference, but the negotiations broke down and he returned disappointed.  In India, he discovered that the government had begun a new cycle of repression.  Abdul Ghaffar Khan and Jawahar Lal Nehru were both in jail.  The Congress had been declared illegal.  A series of measures had been imposed to prevent meetings, demonstrations and boycotts.1 × 5 = 5 "
1,Q. 2. Why did Mahatma Gandhi find in ‘Salt’ a powerful symbol that could unite the nation ? Explain. ,"Ans. Mahatama Gandhi found ‘Salt’ a powerful symbol: Gandhiji sent a letter to Viceroy Irwin stating eleven demands on 31st January, 1930. The most stirring of all was to abolish the salt tax. Salt was one of the most essential items of food. It was consumed both by rich and poor alike. He urged them to peacefully defy the tax imposed on salt. On 6th April he reached Dandi and violated the law.  5"
2,Q. 3. How did the Civil Disobedience Movement come into force in various parts of the country ? Explain with examples. ,"Ans. Civil Disobedience Movement came into force in various parts of the country :  Gandhiji led the Salt March from Sabarmati Ashram to Dandi with his followers starting the Civil Disobedience Movement.  Thousands in different parts of the country broke the Salt Law, manufactured salt and demonstrated in front of government salt factories.  In the country side like the rich Patidars of Gujarat and Jats of Uttar Pradesh were active in the movement.  As rich peasant communities were very hard hit by the trade depression and falling prices, they became enthusiastic supporters of the Civil Disobedience Movement. movement.  Merchants and industrialists supported the movement by giving the financial assistance and refused to buy and sell the imported goods.  The industrial working class of Nagpur region participated in the CDM.  Railway worker, dock workers, coal mine workers of Chota Nagpur etc. participated in protest rallies and boycott campaigns.  Women also participated in large numbers.  1 × 5 = 5 "
3,"Q. 4. Describe the composition of tricolour flag designed during the Swadeshi Movement in Bengal. [Board Term-2, 2015, Set WVIVSA5)]","Ans.  It was desigined in Bengal.  It was tricolour flag.  Having red, yellow and green colours.  It had eight lotuses representing our eight provinces.  A crescent moon representing Hindus and Muslims.  5"
4,Q. 5. Explain the attitude of the Indian merchants and the industrialists towards the ‘Civil Disobedience‘ Movement’. ,"Ans. The attitude of the Indian merchants and the industrialists towards the Civil Disobedience Movement was :  During the 1st World War, Indian merchants and industrialists had made huge profits and became powerful.  They wanted protection against imports of foreign goods and a Rupee Sterling foreign exchange ratio that would discourage import.  To organize business interest they formed the Indian Industrial and Commercial Congress (in 1920) and the Federation of Indian Chamber of Commerce and Industries - FICCI .  They gave financial assistance and refused to buy or sell imported goods.  Most businessmen came to see ‘Swaraj’ at a time when colonial restrictions on business would no longer exist and trade and industry would flourish without constraints.  After the failure of the Round Table Conference business groups were no longer uniformly enthusiastic.  They were apprehensive of the spread of militant activities and worried about prolonged disruption of business.  1 × 5 = 5 "
5,"Q. 6. Describe the significance of the Civil Disobedience, Movement in the freedom struggle of India. ","Ans. Significance of the Civil Disobedience Movement :  The Civil Disobedience Movement launched against the arrival of the Simon Commission. This continues between 1930-34.  Complete Independence was the main aim of Civil Disobedience Movement which formulated this demand in the Lahore session.  It was full fledged mass movement.  Mahatma Gandhi started famous Salt March.  On 6th April, he ceremonically violated the law, manufacturing salt by boiling sea water.  This marked the beginning of the Civil Disobedience Movement.  1 × 5 = 5 "
6,Q. 7. How did different Social groups participate in the Civil Disobedience Movement ? Explain with examples. ,"Ans.  In the countryside for the rich peasant communities fight, ‘Swaraj’ was a struggle against high revenue.  The countrymen broke the Salt Law.  Foreign clothes were boycotted and liquor shops were picketed.  Peasants refused to pay the land revenue.  Village officials resigned from their jobs.  People violated forest laws. "
7,"Q. 8. “Some of the Muslim political organizations in India, were lukewarm in their response to the ‘Civil Disobedience Movement’.” Examine the statement. ","Ans. Large sections of Muslims were lukewarm in their response to the Civil Disobedience Movement due to the following factors :  The decline of Khilafat and Non-Cooperation Movements led to alienation of Muslims from the Congress.  From the mid 1920’s, the Congress was seen to be visibly associated with Hindu nationalist groups like the Hindu Mahasabha.  Relations between Hindus and Muslims worsened and communal riots took place.  The Muslim League gained prominence with its claim of representing Muslims and demanding separate electorates for them.  5"
8,Q. 9. Explain any five factors which gave rise to the Civil Disobedience Movement of 1930. ,Ans. Factors that gave rise to the Civil Disobedience Movement were :  The problem with the Simon Commission.  Irwin’s vague offer of Dominion Status for India in an unspecified future.  Salt Law.  Neglect of eleven demands of Gandhiji by the British.  Lahore Session of INC . 
9,Q. 10. Why did the poor peasants join the Civil Disobedience Movement  ? Why could not the Congress give full support to their demands ? ,"Ans. The peasants joined the Civil Disobedience Movement  because poor peasantry were not just interested in the lowering of the revenue demand. Many had rented land. They could not pay rent because of the depression and dwindling cash incomes. They wanted the unpaid rent to landlord remitted. Congress could not give full support because they thought rich peasants and landlords would be upset. It was unwilling to support ‘no rent’ campaign in most places. So, the relationship between the poor peasants and the Congress remained uncertain."
