questions,answers
What were the two bases of colonial economy in Vietnam? ,"Bases of colonial economy in Vietnam :  Rice cultivation,  Rubber Plantation."
How was the maritime silk route useful for Vietnam? ,"Vietnam was also linked to what has called the maritime silk route. It brought goods, people and ideas. Other networks of trade connected it to the hinterlands."
When did the French arrive in Vietnam?,1858.
When and how French Indo-China was formed?,"Conquest of Tonkin and Anaam in 1887, led to the formation of French Indo-China."
"The barriers to economic progress in Vietnam, according to Paul Bernard, the French writer, were.  ","High population, low agricultural productivity and extensive indebtedness among peasants."
What was a French citizen living in Vietnam called ?,Colons.
Which group of countries comprises Indo-China ?,"Vietnam, Laos and Cambodia."
What kind of labour was widely used in rubber plantations in Vietnam?,Indentured labours.
In which year Laos was added to French IndoChina?,1893.
When did the Nationalist resistance against colonialism develop in Vietnam?,When French troops landed in Vietnam.
"Who was a member of the French team, who explored Mekong River?",Garnier. 
