,questions,answers
0,Q. 1. French colonisation of Vietnam was based on which two ideas ? ,Ans. Economic Exploitation and the Civilising Mission. 1
1,Q. 2. Name the writer who wrote the book “The History of the Loss of Vietnam”. ,Ans. The writer of the book “The History of the Loss of Vietnam” is ‘Phan Boi Chau’.
2,Q. 3. What was the main aim to establish Tonkin Free School in Vietnam by French ? ,Ans. To provide a western style education.
3,Q. 4. Who were called colons in Vietnam ?  ,Ans. French citizens living in Vietnam were known as Colons.
4,Q. 5. Who led the ‘Scholar Revolt‘ in Vietnam in 1868 ? ,Ans. The ‘Scholar Revolt’ in Vietnam in 1868 was led by officials at the imperial court.
5,Q. 6. What was the main aim of the Scholar Revolt of 1868 ? ,Ans. To oppose French control and expansion of Christianity.
6,"Q. 7. Who founded the Hoa Hao Movement, when and where?","Ans. Founded by Huynh Phu So, in 1939, in the fertile Mekong delta area."
7,Q. 8. Why did a Vietnamese girl in Saigon Native Girls School refuse to move to a back bench ?,Ans. She protested the racial discrimination adopted by the Colonial Government.
8,Q. 9. What was the most significant lesson learnt by the Vietnamese from the rat hunt ?,Ans. Success of collective bargaining.
9,Q. 10. Which place became an important place for political and cultural battle in Vietnam by 1920’s ?,Ans. Schools.
10,Q. 11. Which was an early movement against control and the spread of Christianity in Vietnam ?,Ans. Peasant Revolt.
11,Q. 12. Why was Ngo Dinh Diem’s rule not popular ?,Ans. It permitted Christianity and outlawed Buddhism.
12,Q. 13. Which epidemic struck modern Hanoi in 1903 ?,Ans. Plague.
