,questions,answers
0,Q. 1. What was the Green Belt Movement ? What was the attitude of the government towards this movement ? ,Ans. The Green Belt Movement was the tree plantation movement in Kenya.  30 million trees had been planted across Kenya.  The leader of this movement was Wangari Maathai.  The government officials and politicians did not show any response towards this movement.
1,Q. 4. “The struggle of the Nepali people is a source of inspiration to democrats all over the world.“ Support the statement. ,Ans. The Green Belt Movement was the tree plantation movement in Kenya.  30 million trees had been planted across Kenya.  The leader of this movement was Wangari Maathai.  The government officials and politicians did not show any response towards this movement.
2,Q. 3. State the issue of struggle in Bolivia. Which groups participated in it? ,"Ans. Protest against water privatisation in Bolivia : FEDECOR (comprised local professionals, including engineers and environmentalists), human rights and community leaders. Ways of their Protest :  Organized a successful four-day general strike in the city.  Influenced the decision through direct participation in competitive politics.  Created parties and formed governments.  Formed pressure groups for the protest.  1 + 2 = 3 "
3,Q. 5. Describe the three major demands put forward by the Seven Party Alliance in Nepal. ,"Ans. The struggle of the Nepali people is a source of inspiration to democrats all over the world : The autocratic decision of King Gyanendra in February 2015 resulted in protest by the political parties and people of Nepal. Political parties having diverse ideology joined together and defied the curfew. The leaders rejected the half hearted concessions by the king, ultimately the king was compelled to concede all the three demands made by the protesters. Hence, this struggle of Nepalis known as the Second Movement for Democracy became a source of inspiration to democrats all over the world.  3"
4,Q. 5. Describe the three major demands put forward by the Seven Party Alliance in Nepal. ,Ans. Indirect ways to force the government :  Power to an all-party government.  A new Constituent Assembly.  1 × 3 = 3
5,Q. 6. How are popular struggles integral to the working  democracy ? Explain with an example of Bolivia’s,Ans. Refer to Ans. of Q. 4 Long Answer Type Questions.
6,Q. 7. Explain any three common features of the popular,"Ans.  Both these are instances of political conflict that led to popular struggles.   In both cases, the struggle involves mass mobilisations and public demonstration of mass support clinched the dispute.  Both instances involved the critical role of political organization. "
7,Q. 8. Mention any three indirect ways in which promote citizens interest or view point through people can force the government to listen to their demands.  interest group or pressure groups. 1½ × 2 = 3 ,Ans. Indirect ways to force the government :  By forming organization.  By undertaking activities.  By deciding to act together without forming organization.
8,Q. 9. What is the full form of SPA ? Explain any two demands of the SPA. ,Ans. Seven Party Alliance  is the full form of SPA. Their demands are :  Restoration of Parliament.  Power to all-party government.  A new Contituent Assembly.
9,Q. 10. In what two ways do organizations influence the decisions in a democracy ?,"Ans. The different organizations influence the decisions in a democracy in two ways :  Direct ways : Participation in competitive politics. This is done by creating parties, contesting election and forming governments.  Indirect ways : They could do so by forming an organization and undertaking activities to promote citizens interest or view point through interest group or pressure groups."
